ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
CENTER FOR REPRODUCTIVE MEDICINE,MINNEAPOLIS,MINNESOTA,Yes,Yes,No,Yes,No,93%,7%,0%,28%,0%,22%,21%,1%,5%,20%,26%,5%,79,70,25,45.6,15.7,28.0,40.5,12.9,16.0,(29.7 - 51.3),(5.0 - 20.7),(1.6 - 30.4),50.8,20.0,4/19,50.8,20.5,4/19,20.3,35.7,24.0,3.3,3.6,3.4,33.3,4/11,1/7,28.1,3/9,1/4,4,8,3,0/4,0/8,1/3,2.8,3.3,3.7,8,13,21,5/8,6/13,61.9,0,0,0,,,,3.0,3.2,2.9
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MISSISSIPPI,Yes,No,No,Yes,No,100%,0%,0%,1%,0%,49%,22%,2%,8%,5%,11%,3%,53,33,16,15.1,30.3,1/16,11.3,21.2,0/16,(2.8 - 19.9),(7.3 - 35.2),,12.8,24.1,0/9,14.0,26.9,0/8,11.3,12.1,7/16,4.1,3.4,3.6,2/8,4/10,1/1,2/6,2/7,,0,0,0,,,,,,,3,0,3,2/3,,0/3,0,0,0,,,,4.3,,5.3
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MISSOURI,Yes,Yes,No,No,No,53%,47%,0%,16%,0%,7%,21%,0%,28%,9%,35%,0%,19,17,2,4/19,2/17,0/2,4/19,2/17,0/2,,,,4/14,2/8,0/1,4/12,2/8,0/1,5/19,9/17,1/2,3.3,3.4,3.0,2/4,0/2,,2/4,0/2,,2,3,0,0/2,0/3,,3.0,3.7,,0,0,0,,,,0,0,0,,,,,,
INFERTILITY CENTER OF SAINT LOUIS,SAINT LOUIS,MISSOURI,Yes,No,Yes,Yes,Yes,49%,24%,27%,69%,0%,8%,1%,0%,6%,69%,3%,13%,118,66,33,35.6,33.3,9.1,31.4,21.2,9.1,(23.0 - 39.7),(11.3 - 31.1),(0.0 - 18.9),31.6,21.2,10.0,31.9,24.1,11.1,0.8,0.0,9.1,4.2,5.0,4.4,59.5,31.8,2/3,54.1,5/14,2/3,10,7,1,1/10,2/7,0/1,3.8,4.3,3.0,5,2,10,1/5,1/2,5/10,0,0,0,,,,4.8,4.0,3.9
SAINT LUKE'S HOSPITAL,CHESTERFIELD,MISSOURI,Yes,No,No,No,No,100%,0%,0%,10%,0%,45%,19%,5%,20%,4%,2%,5%,64,42,15,39.1,23.8,2/15,29.7,14.3,2/15,(18.5 - 40.9),(3.7 - 24.9),,31.1,16.2,2/14,33.9,18.8,2/12,4.7,11.9,1/15,4.1,4.2,4.0,52.0,5/10,0/2,12/19,4/6,0/2,5,4,0,1/5,0/4,,4.4,4.0,,0,0,0,,,,0,0,0,,,,,,
INFERTILITY & IVF CENTER,SAINT LOUIS,MISSOURI,Yes,Yes,No,Yes,Yes,100%,0%,0%,17%,0%,34%,7%,0%,21%,26%,0%,12%,12,8,3,0/12,3/8,1/3,0/12,2/8,0/3,,,,0/11,2/6,0/3,0/9,2/4,0/3,1/12,2/8,0/3,4.0,4.5,4.7,,1/3,0/1,,1/2,,2,2,2,0/2,0/2,0/2,3.0,2.5,3.0,1,2,3,0/1,0/2,0/3,1,0,0,0/1,,,5.5,4.5,4.3
METHODIST HOSPITAL REPRODUCTIVE ENDOCRINOLOGY/INFERTILITY,OMAHA,NEBRASKA,Yes,Yes,Yes,Yes,Yes,72%,5%,23%,25%,0%,32%,17%,2%,35%,10%,4%,0%,213,129,46,30.0,24.8,13.0,24.4,18.6,13.0,(18.6 - 30.2),(11.9 - 25.3),(3.3 - 22.8),26.8,21.8,17.6,28.4,22.6,18.8,8.9,14.7,26.1,4.4,4.4,3.9,60.9,43.8,2/6,57.7,45.8,1/6,18,6,2,1/18,0/6,0/2,4.9,5.2,4.5,11,15,23,4/11,3/15,17.4,1,1,0,0/1,0/1,,3.9,4.3,4.1
UNIVERSITY OF NEBRASKA CENTER FOR REPRODUCTIVE MEDICINE,OMAHA,NEBRASKA,Yes,Yes,Yes,Yes,No,51%,9%,40%,24%,0%,27%,25%,0%,31%,8%,9%,0%,117,46,18,28.2,26.1,1/18,25.6,17.4,0/18,(17.7 - 33.6),(6.4 - 28.3),,27.8,21.6,0/15,30.6,24.2,0/15,7.7,19.6,3/18,4.4,4.6,3.5,48.5,3/12,0/1,53.3,1/8,,15,4,0,3/15,1/4,,4.4,4.3,,2,3,12,0/2,1/3,4/12,0,0,0,,,,2.5,5.7,5.2
UNIVERSITY INSTITUTE FOR FERTILITY,LAS VEGAS,NEVADA,Yes,Yes,No,Yes,No,100%,0%,0%,13%,0%,51%,3%,0%,15%,13%,8%,10%,26,15,5,15.4,2/15,1/5,7.7,1/15,0/5,(0.0 - 17.9),,,7.7,1/15,0/5,7.7,1/15,0/5,0.0,0/15,0/5,4.6,4.5,4.2,0/4,2/2,0/1,0/2,1/1,,1,1,2,0/1,0/1,0/2,0.0,3.0,4.0,2,5,3,1/2,2/5,0/3,1,0,1,0/1,,0/1,3.7,4.8,4.5
FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,NEVADA,Yes,Yes,No,Yes,No,100%,0%,0%,24%,0%,35%,5%,1%,4%,41%,14%,0%,75,35,12,36.0,11.4,2/12,33.3,11.4,2/12,(22.7 - 44.0),(0.9 - 22.0),,36.2,12.9,2/12,46.3,16.0,2/8,8.0,11.4,0/12,4.2,3.6,3.3,55.6,2/4,1/2,44.0,2/4,1/2,0,0,0,,,,,,,2,2,8,1/2,2/2,5/8,0,0,0,,,,4.5,4.5,4.8
PRINCETON CENTER FOR INFERTILITY AND REPRODUCTIVE MEDICINE,LAWRENCEVILLE,NEW JERSEY,Yes,Yes,No,Yes,No,88%,<1%,11%,29%,0%,5%,27%,0%,20%,31%,17%,0%,11,12,5,1/11,0/12,0/5,1/11,0/12,0/5,,,,1/10,0/11,0/3,1/8,0/8,0/2,1/11,1/12,2/5,3.6,3.9,2.5,0/1,,,0/1,,,4,7,0,2/4,2/7,,3.3,3.9,,0,0,2,,,0/2,0,0,0,,,,,,3.0
IVF NEW JERSEY,SOMERSET,NEW JERSEY,Yes,Yes,No,Yes,No,98%,1%,1%,23%,0%,13%,4%,7%,7%,17%,51%,1%,41,28,22,36.6,25.0,0.0,24.4,21.4,0.0,(11.2 - 37.5),(6.2 - 36.6),(0.0 - 0.0),28.6,26.1,0/15,29.4,28.6,0/13,14.6,17.9,31.8,3.5,3.1,4.1,4/15,1/7,,4/10,1/6,,7,4,3,0/7,2/4,1/3,3.7,2.5,3.7,10,9,47,7/10,5/9,40.4,1,3,13,0/1,0/3,6/13,2.8,3.6,3.7
CENTER FOR REPRODUCTIVE MEDICINE,HASBROUCK HEIGHTS,NEW JERSEY,Yes,Yes,No,Yes,No,100%,0%,0%,45%,0%,32%,7%,2%,10%,34%,5%,10%,65,65,9,44.6,24.6,1/9,36.9,18.5,1/9,(25.2 - 48.7),(9.0 - 27.9),,42.9,22.2,1/9,46.2,23.1,1/9,13.8,16.9,0/9,4.7,4.4,4.3,44.8,4/16,0/1,45.8,3/12,0/1,16,10,4,1/16,1/10,1/4,3.9,3.0,2.5,3,1,0,2/3,0/1,,0,0,0,,,,4.3,5.0,
"IVF OF NORTH JERSEY, P.A.",CLIFTON,NEW JERSEY,Yes,No,No,Yes,No,71%,3%,26%,13%,0%,34%,15%,7%,11%,8%,23%,2%,39,32,7,33.3,25.0,0/7,33.3,21.9,0/7,(18.5 - 48.1),(7.6 - 36.2),,33.3,21.9,0/7,34.2,21.9,0/7,0.0,0.0,0/7,4.1,3.9,3.0,4/13,3/8,,3/13,2/7,,0,0,0,,,,,,,0,3,3,,2/3,3/3,0,0,0,,,,,4.0,5.3
"SOUTH JERSEY FERTILITY CENTER, P.A.",MARLTON,NEW JERSEY,Yes,Yes,No,No,No,91%,8%,1%,23%,1%,52%,19%,0%,2%,14%,9%,4%,80,46,34,30.0,19.6,17.6,26.3,15.2,17.6,(16.6 - 35.9),(4.8 - 25.6),(4.8 - 30.5),27.3,16.7,21.4,27.3,17.1,22.2,3.8,8.7,17.6,3.6,3.8,3.3,41.7,1/9,1/6,42.9,1/7,1/6,18,5,1,4/18,1/5,0/1,2.5,3.4,1.0,0,0,0,,,,0,0,0,,,,,,
CHR-NEW JERSEY,WESTWOOD,NEW JERSEY,Yes,Yes,No,Yes,Yes,100%,0%,0%,38%,0%,20%,20%,2%,34%,12%,11%,1%,60,45,5,35.0,33.3,3/5,31.7,24.4,2/5,(19.9 - 43.4),(11.9 - 37.0),,32.8,27.5,2/5,33.9,27.5,2/5,3.3,11.1,0/5,4.0,4.1,4.8,57.1,7/15,1/3,11/19,5/11,0/2,10,7,0,1/10,3/7,,3.0,4.1,,5,6,14,1/5,3/6,5/14,3,2,5,1/3,0/2,1/5,3.9,3.4,3.4
"COOPER CENTER FOR IVF, P.C.",MARLTON,NEW JERSEY,Yes,Yes,Yes,Yes,Yes,98%,<1%,1%,24%,0%,39%,12%,2%,16%,22%,3%,6%,239,234,182,13.4,12.8,3.3,11.7,11.5,2.2,(7.6 - 15.8),(7.4 - 15.6),(0.1 - 4.3),13.6,15.8,3.5,19.2,21.6,5.8,13.8,26.9,37.9,3.5,3.8,3.8,50.0,50.0,0/6,46.4,40.7,0/4,232,150,51,20.7,12.0,5.9,3.6,3.8,3.3,8,4,26,5/8,1/4,19.2,17,10,48,2/17,3/10,14.6,3.8,3.5,3.7
"REPRODUCTIVE  GYNECOLOGISTS, P.C.",CHERRY HILL,NEW JERSEY,Yes,Yes,No,No,No,100%,0%,0%,17%,0%,39%,19%,0%,14%,16%,7%,5%,35,28,13,25.7,25.0,0/13,20.0,17.9,0/13,(6.7 - 33.3),(3.7 - 32.0),,21.9,5/19,0/5,24.1,5/19,0/5,8.6,32.1,8/13,3.9,3.6,4.2,2/9,3/7,,2/7,3/5,,3,1,0,1/3,0/1,,3.3,1.0,,0,0,0,,,,0,0,0,,,,,,
SOUTHWEST FERTILITY SERVICES,ALBUQUERQUE,NEW MEXICO,Yes,Yes,No,Yes,No,92%,8%,0%,23%,0%,39%,18%,4%,4%,16%,19%,0%,30,13,9,16.7,1/13,0/9,13.3,1/13,0/9,(1.2 - 25.5),,,14.3,1/12,0/8,14.8,1/12,0/7,6.7,1/13,1/9,3.3,3.2,4.4,2/5,1/1,,2/4,1/1,,7,4,1,0/7,0/4,0/1,2.9,3.0,3.0,0,4,2,,1/4,0/2,0,3,2,,0/3,0/2,,3.0,3.8
"REPRODUCTIVE ENDOCRINOLOGY ASSOCIATES,  NEW MEXICO",ALBUQUERQUE,NEW MEXICO,Yes,Yes,Yes,Yes,No,100%,0%,0%,15%,0%,37%,18%,1%,18%,16%,1%,9%,27,46,14,48.1,28.3,2/14,44.4,21.7,2/14,(25.7 - 63.2),(9.8 - 33.7),,48.0,27.0,2/13,48.0,27.0,2/13,7.4,19.6,1/14,4.4,4.2,3.8,7/13,3/13,1/2,5/12,3/10,1/2,2,5,4,0/2,0/5,1/4,4.5,2.8,4.8,1,1,11,0/1,1/1,4/11,0,0,0,,,,3.0,4.0,4.2
DIVISION OF REPRODUCTIVE ENDOCRINOLOGY,STONY BROOK,NEW YORK,Yes,Yes,No,No,No,81%,19%,0%,23%,3%,26%,15%,0%,19%,16%,14%,10%,63,40,47,44.4,20.0,10.6,31.7,10.0,4.3,(20.3 - 43.2),(0.7 - 19.3),(0.0 - 10.0),32.3,12.5,4.8,33.9,12.9,5.0,1.6,20.0,10.6,3.8,4.5,3.2,64.3,5/8,1/5,60.0,2/4,0/2,8,1,1,2/8,1/1,0/1,2.1,0.0,3.0,0,0,0,,,,0,0,0,,,,,,
GARDEN CITY CENTER FOR ART,GARDEN CITY,NEW YORK,Yes,Yes,No,No,No,98%,2%,0%,17%,0%,34%,44%,0%,1%,12%,5%,4%,20,24,19,45.0,29.2,1/19,35.0,29.2,1/19,(14.1 - 55.9),(11.0 - 47.4),,7/19,7/18,1/13,7/18,7/17,1/11,5.0,25.0,6/19,3.5,3.2,4.1,3/9,5/7,1/1,2/7,5/7,0/1,5,8,3,3/5,1/8,0/3,3.2,3.0,4.3,0,0,0,,,,1,0,2,1/1,,1/2,4.0,,2.5
LONG ISLAND IVF ASSOCIATES,PORT JEFFERSON,NEW YORK,Yes,Yes,Yes,Yes,Yes,82%,17%,<1%,30%,0%,39%,18%,2%,8%,22%,6%,5%,242,194,89,36.4,28.4,14.6,31.0,24.7,7.9,(25.2 - 36.8),(18.7 - 30.8),(2.3 - 13.5),34.1,30.8,10.4,36.9,32.4,11.3,9.1,19.6,24.7,4.6,4.2,4.4,43.2,27.3,3/13,40.0,25.0,2/7,58,34,11,20.7,14.7,1/11,2.9,3.0,2.6,1,1,4,0/1,1/1,0/4,0,2,1,,0/2,0/1,3.0,4.0,4.0
NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,38%,0%,29%,17%,1%,5%,31%,7%,10%,137,126,31,42.3,32.5,25.8,35.8,27.8,19.4,(27.7 - 43.8),(20.0 - 35.6),(5.4 - 33.3),39.5,31.8,21.4,40.8,32.1,21.4,9.5,12.7,9.7,4.1,4.2,4.8,41.4,22.0,3/8,46.9,20.0,3/6,48,25,6,12.5,8.0,0/6,5.1,5.0,4.5,0,0,0,,,,0,0,0,,,,,,
"ADVANCED FERTILITY SERVICES,  P.C.",NEW YORK,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,54%,0%,26%,10%,0%,10%,25%,23%,6%,155,162,70,34.2,17.9,17.1,27.1,11.1,5.7,(20.1 - 34.1),(6.3 - 16.0),(0.3 - 11.2),27.1,11.5,6.2,27.3,12.0,6.7,0.0,3.7,7.1,4.9,5.0,4.4,32.1,20.7,1/12,38.1,3/18,1/4,35,20,31,17.1,30.0,6.5,4.6,4.5,4.7,3,10,45,1/3,4/10,22.2,0,0,0,,,,4.3,5.1,5.0
INSTITUTE FOR REPRODUCTIVE HEALTH AND INFERTILITY,ROCHESTER,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,0%,50%,17%,1%,15%,3%,3%,11%,25,24,1,20.0,20.8,0/1,12.0,12.5,0/1,(0.0 - 24.7),(0.0 - 25.7),,12.5,13.6,0/1,3/16,3/19,0/1,4.0,8.3,0/1,3.3,3.4,1.0,1/5,1/5,,0/3,1/3,,8,2,0,0/8,0/2,,3.1,3.5,,1,2,6,1/1,0/2,2/6,2,0,0,1/2,,,1.7,3.0,2.5
REPRODUCTIVE MEDICINE AND IVF,WILLIAMSVILLE,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,37%,0%,45%,19%,0%,4%,17%,3%,12%,34,22,12,35.3,18.2,2/12,35.3,13.6,0/12,(19.2 - 51.4),(0.0 - 28.0),,38.7,3/17,0/11,44.4,3/16,0/11,8.8,22.7,1/12,4.2,3.9,4.6,9/12,2/4,0/2,8/12,1/3,,1,0,0,1/1,,,5.0,,,0,0,0,,,,0,0,0,,,,,,
WESTCHESTER FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,WHITE PLAINS,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,100%,0%,29%,21%,0%,0%,33%,0%,17%,6,8,8,2/6,1/8,1/8,2/6,1/8,0/8,,,,2/6,1/8,0/8,2/6,1/8,0/8,0/6,0/8,0/8,4.3,3.6,4.1,1/2,0/1,0/1,1/2,0/1,,1,1,0,1/1,0/1,,3.0,3.0,,0,0,0,,,,0,0,0,,,,,,
BROOKLYN/CENTRAL PARK WEST FERTILITY CENTER,NEW YORK,NEW YORK,Yes,Yes,Yes,Yes,No,100%,0%,0%,24%,0%,18%,2%,3%,35%,21%,4%,17%,28,23,15,39.3,26.1,1/15,39.3,17.4,0/15,(21.2 - 57.4),(1.9 - 32.9),,40.7,18.2,0/13,40.7,19.0,0/13,3.6,4.3,2/15,3.8,3.7,3.2,6/11,1/6,0/1,6/11,1/4,,9,6,4,0/9,0/6,0/4,4.0,3.3,4.3,1,1,13,1/1,0/1,3/13,0,1,6,,0/1,2/6,4.0,4.0,3.7
THE FERTILITY INSTITUTE AT THE BROOKLYN HOSPITAL,BROOKLYN,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,92%,0%,21%,40%,0%,34%,2%,2%,1%,25,10,4,24.0,1/10,0/4,20.0,1/10,0/4,(4.3 - 35.7),,,20.0,1/10,0/4,20.0,1/10,0/4,0.0,0/10,0/4,4.0,4.4,3.8,5/6,0/1,,4/5,0/1,,43,19,13,20.9,2/19,1/13,3.8,3.7,3.8,0,0,4,,,2/4,0,0,0,,,,,,4.8
MONTEFIORE'S FERTILITY & HORMONE CENTER,DOBBS FERRY,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,37%,1%,33%,7%,0%,7%,41%,3%,9%,100,73,54,44.0,21.9,5.6,41.0,19.2,1.9,(31.4 - 50.6),(10.1 - 28.2),(0.0 - 5.4),45.1,23.0,3.2,47.1,24.6,3.6,9.0,16.4,42.6,2.9,2.8,2.4,43.2,6/16,0/3,46.3,5/14,0/1,21,2,0,19.0,0/2,,3.0,2.5,,1,1,5,0/1,1/1,1/5,0,0,0,,,,3.0,4.0,3.2
IVF PROGRAM CHILDREN'S HOSPITAL OF BUFFALO,BUFFALO,NEW YORK,Yes,Yes,No,No,No,95%,5%,0%,6%,0%,49%,22%,0%,7%,9%,0%,13%,51,29,5,27.5,20.7,0/5,19.6,10.3,0/5,(8.7 - 30.5),(0.0 - 21.4),,22.7,13.6,0/5,24.4,3/19,0/5,13.7,24.1,0/5,4.2,4.5,4.6,3/14,0/6,,2/10,0/3,,14,6,1,1/14,0/6,0/1,3.2,2.8,4.0,0,0,0,,,,0,0,0,,,,,,
CORNELL UNIVERSITY MEDICAL CENTER,NEW YORK,NEW YORK,Yes,No,Yes,Yes,Yes,99%,<1%,<1%,47%,0%,21%,6%,1%,4%,47%,10%,11%,425,578,366,54.8,44.1,23.5,49.2,36.9,16.7,(44.4 - 53.9),(32.9 - 40.8),(12.8 - 20.5),56.5,42.8,21.9,58.1,45.0,22.8,12.9,13.8,24.0,3.1,3.6,3.9,52.4,47.1,23.3,48.8,41.3,21.3,78,69,23,35.9,30.4,17.4,3.0,3.3,2.8,7,9,43,3/7,6/9,48.8,0,0,0,,,,2.9,3.0,2.9
COLUMBIA PRESBYTERIAN MEDICAL CENTER,NEW YORK,NEW YORK,Yes,Yes,No,Yes,No,99%,1%,0%,16%,14%,26%,10%,1%,33%,8%,18%,4%,57,26,34,8.8,11.5,5.9,7.0,7.7,5.9,(0.4 - 13.6),(0.0 - 17.9),(0.0 - 13.8),8.7,2/17,7.4,9.8,2/16,7.4,19.3,34.6,20.6,3.5,3.2,4.3,1/5,1/3,0/2,1/4,1/2,0/2,18,6,13,0/18,1/6,1/13,4.0,3.7,4.0,5,5,33,3/5,1/5,21.2,7,3,9,1/7,1/3,0/9,4.2,5.3,4.3
STRONG INFERTILITY & IVF CENTER,ROCHESTER,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,26%,0%,47%,9%,2%,6%,19%,7%,10%,74,58,25,36.5,31.0,36.0,31.1,31.0,20.0,(20.5 - 41.6),(19.1 - 42.9),(4.3 - 35.7),35.4,38.3,22.7,35.9,40.0,22.7,12.2,19.0,12.0,3.9,4.0,4.5,48.1,11/18,1/9,47.8,10/18,1/5,9,11,1,2/9,3/11,1/1,3.4,4.5,4.0,0,3,5,,2/3,4/5,1,1,2,0/1,1/1,1/2,3.0,3.3,3.4
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK,NEW YORK,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,27%,0%,18%,12%,2%,6%,27%,28%,7%,190,274,175,50.5,38.0,18.9,43.2,31.8,13.1,(36.1 - 50.2),(26.2 - 37.3),(8.1 - 18.1),49.1,38.7,18.1,50.9,39.7,19.2,12.1,17.9,27.4,3.2,3.6,4.0,53.1,45.2,42.4,50.0,40.2,34.8,20,23,10,15.0,21.7,1/10,3.5,3.7,4.2,15,12,60,8/15,8/12,58.3,3,4,5,1/3,0/4,1/5,3.3,2.7,3.0
WOMEN'S HEALTH CENTER OF ALBANY MEDICAL CENTER,ALBANY,NEW YORK,Yes,Yes,No,Yes,No,97%,3%,0%,20%,0%,37%,15%,1%,20%,21%,4%,2%,47,27,13,14.9,11.1,1/13,12.8,11.1,0/13,(3.2 - 22.3),(0.0 - 23.0),,14.6,13.6,0/10,15.4,14.3,0/9,12.8,18.5,3/13,5.7,6.5,4.2,2/7,1/3,0/1,2/6,1/3,,9,7,1,0/9,2/7,0/1,4.2,3.3,4.0,0,0,2,,,0/2,0,0,1,,,0/1,,,8.3
OFFICES FOR FERTILITY AND REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,No,Yes,No,No,No,99%,1%,0%,25%,0%,33%,4%,2%,35%,11%,11%,4%,21,39,27,47.6,23.1,33.3,47.6,20.5,22.2,(26.3 - 69.0),(7.8 - 33.2),(6.5 - 37.9),47.6,21.6,22.2,50.0,21.6,23.1,0.0,5.1,0.0,5.1,5.2,4.5,3/10,3/9,2/9,3/10,3/8,2/6,9,7,5,2/9,0/7,1/5,2.7,4.1,3.6,0,0,0,,,,0,0,0,,,,,,
EAST CAROLINA UNIVERSITY,GREENVILLLE,NORTH CAROLINA,Yes,No,No,No,No,92%,8%,0%,0%,0%,54%,0%,0%,8%,0%,0%,38%,9,4,0,2/9,0/4,,2/9,0/4,,,,,2/7,0/4,,2/6,0/4,,2/9,0/4,,4.3,5.0,,0/2,,,0/2,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
METROHEALTH MEDICAL CENTER,CLEVELAND,OHIO,Yes,Yes,No,No,No,100%,0%,0%,20%,0%,30%,30%,0%,20%,20%,0%,0%,10,0,0,4/10,,,4/10,,,,,,4/8,,,4/7,,,2/10,,,2.9,,,2/4,,,2/4,,,0,0,0,,,,,,,0,0,0,,,,0,0,0,,,,,,
"REPROTECH, INC.",ALLENTOWN,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,0%,61%,0%,5%,0%,10%,5%,19%,4,11,0,1/4,1/11,,1/4,1/11,,,,,1/4,1/10,,1/4,1/9,,0/4,1/11,,2.8,3.3,,0/1,1/1,,0/1,1/1,,0,1,2,,0/1,0/2,,2.0,3.5,0,0,2,,,1/2,0,0,0,,,,,,5.0
NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,55%,0%,8%,21%,2%,50%,14%,5%,0%,27,33,17,51.9,45.5,3/17,48.1,42.4,2/17,(29.3 - 67.0),(25.6 - 59.3),,48.1,42.4,2/16,52.0,45.2,2/13,0.0,0.0,1/17,5.3,4.7,3.8,5/14,2/15,1/3,5/13,2/14,1/2,3,1,4,1/3,0/1,2/4,6.7,7.0,4.5,2,1,12,0/2,1/1,8/12,0,0,0,,,,5.0,6.0,6.0
DUKE UNIVERSITY MEDICAL CENTER,DURHAM,NORTH CAROLINA,Yes,No,No,Yes,No,100%,0%,0%,22%,0%,27%,19%,1%,23%,13%,12%,5%,56,49,9,48.2,20.4,0/9,44.6,20.4,0/9,(31.6 - 57.7),(9.1 - 31.7),,47.2,21.3,0/8,49.0,23.3,0/8,5.4,4.1,1/9,3.9,3.7,4.4,44.4,3/10,,44.0,1/10,,8,8,9,1/8,2/8,2/9,3.5,3.6,3.8,6,11,19,3/6,5/11,7/19,0,0,1,,,0/1,3.7,3.3,3.4
WAKE FOREST UNIVERSITY PROGRAM FOR ASSISTED REPRODUCTION,WINSTON-SALEM,NORTH CAROLINA,Yes,No,No,Yes,No,95%,0%,5%,19%,0%,46%,15%,0%,8%,20%,2%,9%,27,12,4,25.9,2/12,1/4,18.5,2/12,1/4,(3.9 - 33.2),,,20.0,2/12,1/4,20.8,2/12,1/2,7.4,0/12,0/4,3.3,3.2,3.0,2/7,1/2,0/1,2/5,1/2,0/1,15,6,0,0/15,0/6,,2.6,2.7,,0,0,1,,,0/1,0,0,0,,,,,,3.0
PROGRAM FOR ASSISTED REPRODUCTION,CHARLOTTE,NORTH CAROLINA,Yes,Yes,No,Yes,No,97%,3%,0%,23%,0%,46%,17%,0%,17%,17%,0%,3%,17,12,2,11/17,7/12,1/2,10/17,6/12,1/2,,,,10/17,6/12,1/2,10/16,6/12,1/2,0/17,0/12,0/2,4.4,3.7,3.5,6/11,3/7,0/1,5/10,3/6,0/1,0,1,0,,0/1,,,4.0,,0,0,1,,,0/1,0,1,0,,0/1,,,5.0,5.0
INSTITUTE FOR ASSISTED REPRODUCTION,CHARLOTTE,NORTH CAROLINA,Yes,Yes,No,Yes,No,100%,0%,0%,40%,0%,33%,12%,0%,10%,26%,9%,10%,103,106,30,56.3,24.5,16.7,50.5,18.9,10.0,(40.8 - 60.1),(11.4 - 26.3),(0.0 - 20.7),54.7,27.4,15.0,55.9,29.0,15.0,7.8,31.1,33.3,3.8,4.3,5.1,56.9,19.2,0/5,55.8,25.0,0/3,8,4,0,1/8,2/4,,3.3,3.0,,0,0,4,,,0/4,1,0,2,1/1,,0/2,4.0,,3.7
NORTH CAROLINA CENTER FOR REPRODUCTIVE MEDICINE,CARY,NORTH CAROLINA,Yes,Yes,No,Yes,No,100%,0%,0%,26%,0%,23%,16%,1%,15%,11%,21%,13%,68,49,12,39.7,18.4,1/12,35.3,14.3,1/12,(23.9 - 46.7),(4.5 - 24.1),,37.5,17.9,1/11,38.7,18.4,1/10,5.9,20.4,1/12,4.0,3.8,4.1,48.1,1/9,0/1,37.5,1/7,0/1,9,8,2,2/9,2/8,0/2,3.2,3.8,3.5,5,16,29,3/5,8/16,34.5,0,0,1,,,0/1,3.8,3.9,4.2
UNIVERSITY OF NORTH CAROLINA ART CLINIC,CHAPEL HILL,NORTH CAROLINA,Yes,Yes,No,Yes,No,96%,2%,2%,33%,0%,25%,4%,1%,33%,25%,2%,10%,50,26,8,24.0,23.1,2/8,22.0,23.1,2/8,(10.5 - 33.5),(6.9 - 39.3),,27.5,6/17,2/6,29.7,6/16,2/6,20.0,34.6,2/8,4.0,3.8,6.2,4/12,0/6,0/2,3/11,0/6,0/2,6,0,3,0/6,,1/3,2.7,,2.3,5,3,8,2/5,0/3,2/8,0,0,1,,,1/1,4.2,4.7,4.9
MERITCARE MEDICAL GROUP FERTILITY CENTER,FARGO,NORTH DAKOTA,Yes,No,No,No,No,100%,0%,0%,53%,0%,44%,2%,2%,44%,6%,2%,0%,19,17,7,7/19,4/17,2/7,6/19,4/17,0/7,,,,6/16,4/12,0/2,6/15,4/11,0/2,3/19,5/17,5/7,3.8,4.3,2.5,3/7,2/4,0/2,3/6,2/4,,3,2,0,0/3,0/2,,3.3,2.5,,0,0,0,,,,0,0,0,,,,,,
