PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
IVF NEW JERSEY,SOMERSET,SOMERSET,NEW JERSEY,Yes,Yes,No,Yes,No,100%,0%,0%,0%,31%,1%,21%,7%,3%,14%,8%,46%,1%,41,29,19,14,41.5,37.9,6/19,4/14,36.6,31.0,4/19,3/14,(21.8 - 51.3),(14.2 - 47.9),,,40.5,40.9,4/16,3/12,44.1,9/19,4/15,3/11,9.8,24.1,3/19,2/14,3.7,4.4,4.1,4.7,4/17,4/11,2/6,1/4,4/17,1/11,1/6,0/4,8/15,5/9,1/4,0/3,6,0,2,6,2/6,,1/2,1/6,3.0,,5.0,4.5,9,4,15,34,6/9,3/4,5/15,44.1,1,2,3,15,1/1,0/2,0/3,6/15,3.8,3.7,3.1,3.5
CENTER FOR HUMAN REPRODUCTION OF NEW JERSEY,WESTWOOD,WESTWOOD,NEW JERSEY,Yes,Yes,Yes,Yes,Yes,99%,0%,0%,1%,39%,0%,32%,12%,2%,12%,33%,8%,1%,70,23,18,3,44.3,43.5,6/18,0/3,37.1,30.4,5/18,0/3,(25.8 - 48.5),(11.6 - 49.2),,,38.8,7/18,5/15,0/3,41.9,7/18,5/12,0/3,4.3,21.7,3/18,0/3,3.6,3.7,3.8,3.7,29.0,2/10,1/6,,19.4,0/10,0/6,,50.0,2/7,1/5,,15,8,2,2,4/15,1/8,0/2,0/2,3.5,3.8,3.5,3.5,2,2,5,10,0/2,0/2,0/5,2/10,3,0,2,4,0/3,,0/2,0/4,3.2,3.5,3.4,3.6
CENTER FOR REPRODUCTIVE MEDICINE OF NEW MEXICO,ALBUQUERQUE,ALBUQUERQUE,NEW MEXICO,Yes,Yes,No,Yes,No,100%,0%,0%,0%,17%,1%,36%,16%,2%,15%,18%,3%,10%,38,26,19,6,44.7,46.2,7/19,2/6,42.1,42.3,6/19,2/6,(26.4 - 57.8),(23.3 - 61.3),,,44.4,55.0,6/17,2/5,47.1,55.0,6/17,2/5,5.3,23.1,2/19,1/6,3.1,3.6,3.8,3.8,4/17,2/12,3/7,0/2,3/17,3/12,0/7,1/2,6/16,2/11,2/6,0/2,8,2,2,3,3/8,0/2,0/2,0/3,4.3,5.5,1.5,3.3,2,0,2,6,1/2,,2/2,5/6,0,0,0,0,,,,,2.5,,3.5,3.7
SOUTHWEST FERTILITY SERVICES,ALBUQUERQUE,ALBUQUERQUE,NEW MEXICO,Yes,Yes,No,Yes,No,80%,12%,0%,8%,24%,0%,18%,20%,1%,12%,6%,25%,18%,17,3,14,17,3/17,1/3,2/14,1/17,3/17,0/3,2/14,0/17,,,,,3/15,0/3,2/13,0/11,3/15,0/3,2/13,0/11,2/17,0/3,1/14,6/17,3.9,4.3,3.4,4.1,2/3,0/1,1/2,0/1,0/3,0/1,0/2,0/1,2/3,,1/2,,3,6,1,2,0/3,0/6,0/1,0/2,3.7,3.8,3.0,1.5,0,0,2,5,,,0/2,0/5,0,1,2,1,,0/1,0/2,0/1,,2.0,3.0,3.0
FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,LAS VEGAS,NEVADA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,9%,0%,30%,8%,2%,36%,9%,15%,0%,66,17,14,11,25.8,5/17,3/14,0/11,22.7,4/17,0/14,0/11,(12.6 - 32.8),,,,25.9,4/14,0/11,0/10,39.5,4/11,0/10,0/8,12.1,3/17,3/14,1/11,3.8,3.5,4.1,4.1,2/17,2/5,1/3,,6/17,2/5,0/3,,7/15,3/4,,,0,0,0,0,,,,,,,,,0,1,1,6,,1/1,0/1,4/6,0,0,0,0,,,,,,3.0,2.0,4.0
UNIVERSITY INSTITUTE OF FERTILITY,LAS VEGAS,LAS VEGAS,NEVADA,Yes,Yes,No,Yes,No,100%,0%,0%,0%,21%,0%,37%,9%,1%,13%,28%,5%,7%,24,5,12,12,16.7,0/5,2/12,2/12,8.3,0/5,2/12,1/12,(0.0 - 19.4),,,,8.3,0/5,2/12,1/11,8.3,0/5,2/11,1/10,0.0,0/5,0/12,1/12,4.0,4.2,4.3,3.4,0/4,,1/2,1/2,1/4,,0/2,0/2,1/2,,0/2,1/1,10,3,3,3,2/10,0/3,0/3,0/3,3.7,5.0,3.3,3.7,0,1,0,6,,0/1,,3/6,0,0,0,0,,,,,,4.0,,4.5
NORTHERN NEVADA FERTILITY CENTER,RENO,RENO,NEVADA,Yes,Yes,Yes,Yes,Yes,90%,10%,0%,0%,27%,0%,36%,8%,6%,13%,29%,8%,0%,53,42,33,27,43.4,28.6,24.2,22.2,32.1,23.8,21.2,14.8,(19.5 - 44.6),(10.9 - 36.7),(7.3 - 35.2),(1.4 - 28.2),34.0,25.0,24.1,16.7,34.0,25.6,25.0,17.4,5.7,4.8,12.1,11.1,5.1,5.8,5.5,6.1,34.8,3/12,2/8,0/6,21.7,3/12,0/8,0/6,12/17,5/10,2/7,0/4,8,0,1,1,0/8,,0/1,0/1,4.0,,3.0,1.0,0,3,1,11,,2/3,1/1,6/11,0,0,0,0,,,,,,5.7,5.0,5.3
"ALBANY IVF, FERTILITY AND GYNECOLOGY",ALBANY,ALBANY,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,0%,20%,0%,50%,17%,0%,0%,17%,17%,0%,2,1,1,1,0/2,0/1,0/1,0/1,0/2,0/1,0/1,0/1,,,,,0/2,0/1,0/1,0/1,0/2,0/1,0/1,0/1,0/2,0/1,0/1,0/1,4.5,4.0,5.0,2.0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
LEADING INSTITUTE FOR FERTILITY ENHANCEMENT (LIFE),ALBANY,ALBANY,NEW YORK,Yes,No,No,No,No,100%,0%,0%,0%,0%,0%,53%,16%,21%,5%,0%,0%,5%,4,5,8,1,2/4,1/5,2/8,1/1,1/4,1/5,1/8,0/1,,,,,1/4,1/3,1/3,0/1,1/4,1/2,1/3,0/1,0/4,2/5,5/8,0/1,4.3,3.5,4.3,3.0,0/2,1/1,0/2,0/1,0/2,0/1,0/2,0/1,0/1,1/1,0/1,,1,0,0,0,0/1,,,,0.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
WOMEN'S HEALTH CENTER OF ALBANY MEDICAL CENTER,ALBANY,ALBANY,NEW YORK,Yes,Yes,No,No,No,97%,3%,0%,0%,26%,0%,55%,11%,0%,5%,18%,0%,11%,17,8,5,1,3/17,2/8,1/5,0/1,3/17,2/8,1/5,0/1,,,,,3/16,2/8,1/4,0/1,3/16,2/7,1/4,,1/17,0/8,1/5,0/1,4.8,5.9,5.8,,1/3,0/2,1/1,,1/3,1/2,0/1,,2/3,1/2,1/1,,4,0,2,1,0/4,,0/2,0/1,4.0,,4.5,2.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
BROOKLYN IVF,BROOKLYN,BROOKLYN,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,0%,30%,0%,39%,10%,0%,25%,11%,2%,13%,59,20,26,26,16.9,10.0,15.4,11.5,15.3,10.0,11.5,7.7,(6.1 - 24.4),(0.0 - 23.1),(0.0 - 23.8),(0.0 - 17.9),18.8,2/13,3/17,8.7,19.6,2/13,3/16,9.5,18.6,35.0,34.6,11.5,3.2,3.5,3.8,5.0,2/10,0/2,0/4,2/3,2/10,0/2,0/4,0/3,2/9,0/2,0/3,2/2,28,4,1,3,7.1,1/4,0/1,0/3,3.2,3.5,4.0,5.0,0,0,0,1,,,,1/1,0,0,0,0,,,,,,,,4.0
THE FERTILITY INSTITUTE AT THE BROOKLYN HOSPITAL,BROOKLYN,BROOKLYN,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,0%,90%,0%,42%,27%,4%,18%,0%,9%,0%,40,11,17,12,22.5,1/11,3/17,2/12,17.5,1/11,3/17,2/12,(5.7 - 29.3),,,,17.9,1/8,3/16,2/12,17.9,1/8,3/16,2/12,2.5,3/11,1/17,0/12,5.0,5.0,4.4,4.0,2/9,0/1,0/3,1/2,2/9,0/1,1/3,0/2,3/7,0/1,1/3,1/2,29,5,10,5,3.4,1/5,3/10,1/5,4.4,3.0,3.8,5.4,0,0,1,1,,,1/1,0/1,1,2,0,3,0/1,1/2,,0/3,3.0,1.5,4.0,3.5
MONTEFIORE'S FERTILITY & HORMONE CENTER,DOBBS FERRY,DOBBS FERRY,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,33%,0%,31%,8%,0%,34%,5%,4%,17%,151,90,76,47,39.7,27.8,22.4,8.5,35.8,24.4,17.1,4.3,(28.1 - 43.4),(15.6 - 33.3),(8.6 - 25.6),(0.0 - 10.0),41.2,30.1,25.5,5.9,44.6,30.1,27.1,6.5,13.2,18.9,32.9,27.7,2.9,2.8,3.0,2.8,30.0,40.0,4/17,0/4,20.0,8.0,2/17,0/4,44.4,54.5,5/13,0/2,21,17,8,8,14.3,2/17,2/8,2/8,2.9,2.4,2.1,2.4,5,0,1,7,2/5,,1/1,4/7,0,1,0,3,,1/1,,0/3,2.6,1.0,3.0,3.1
"GARDEN CITY CENTER FOR ART,YK YING, M.D.",GARDEN CITY,GARDEN CITY,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,0%,28%,0%,39%,29%,1%,17%,11%,3%,0%,21,21,9,10,52.4,42.9,4/9,2/10,52.4,38.1,4/9,2/10,(31.0 - 73.7),(17.3 - 58.9),,,11/18,40.0,4/9,2/6,11/18,8/19,4/9,2/6,14.3,4.8,0/9,4/10,3.4,3.0,3.2,4.5,4/11,3/9,0/4,0/2,1/11,1/9,0/4,0/2,4/11,3/8,0/4,0/2,6,4,1,2,1/6,3/4,0/1,0/2,2.3,4.0,3.0,3.0,0,0,0,0,,,,,0,1,0,0,,0/1,,,,2.0,,
NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,MANHASSET,NEW YORK,Yes,Yes,Yes,No,No,100%,0%,0%,0%,49%,0%,32%,13%,2%,26%,3%,6%,17%,125,75,57,26,44.0,36.0,24.6,50.0,38.4,30.7,21.1,30.8,(29.9 - 46.9),(20.2 - 41.1),(10.5 - 31.6),(13.0 - 48.5),40.7,35.4,25.0,32.0,40.7,35.9,25.5,33.3,5.6,13.3,15.8,3.8,3.7,3.9,4.1,5.0,34.5,22.2,2/14,1/13,20.0,11.1,0/14,0/13,58.3,39.1,1/12,0/8,29,20,18,5,13.8,10.0,3/18,2/5,4.7,4.6,5.8,4.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"ADVANCED FERTILITY SERVICES, P.C.",NEW YORK,NEW YORK,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,64%,0%,28%,6%,0%,22%,12%,29%,3%,207,80,77,53,25.6,20.0,18.2,7.5,22.2,18.8,14.3,5.7,(16.6 - 27.9),(10.2 - 27.3),(6.5 - 22.1),(0.0 - 11.9),22.2,18.8,14.3,5.9,23.5,19.5,15.3,6.0,0.0,0.0,0.0,3.8,4.2,4.2,4.2,4.2,28.3,8/16,1/14,0/4,5.7,0/16,0/14,0/4,32.6,8/15,1/11,0/3,43,9,14,14,16.3,1/9,0/14,1/14,4.4,4.1,3.9,3.8,7,8,18,52,3/7,2/8,5/18,23.1,4,1,3,20,0/4,0/1,0/3,35.0,4.2,4.4,3.9,4.0
BROOKLYN/CENTRAL PARK WEST FERTILITY CENTER,NEW YORK,NEW YORK,NEW YORK,Yes,No,Yes,Yes,No,100%,0%,0%,0%,25%,0%,22%,5%,0%,11%,60%,2%,0%,24,6,13,12,29.2,3/6,2/13,1/12,25.0,1/6,1/13,1/12,(7.7 - 42.3),,,,26.1,1/6,1/10,1/11,27.3,1/6,1/10,1/11,4.2,0/6,3/13,1/12,3.7,3.5,3.7,2.3,1/7,0/3,0/2,1/1,1/7,0/3,0/2,0/1,2/6,0/1,0/1,1/1,8,2,4,2,1/8,0/2,0/4,0/2,3.9,3.0,2.0,4.0,0,2,2,8,,0/2,1/2,3/8,0,0,1,3,,,0/1,0/3,,3.5,4.0,4.3
THE CENTER FOR REPRODUCTIVE MEDICINE & INFERTILITY,NEW YORK,NEW YORK,NEW YORK,Yes,No,Yes,Yes,Yes,100%,0%,0%,0%,54%,1%,20%,6%,1%,45%,4%,16%,8%,436,315,341,243,52.1,47.0,31.1,25.5,46.8,39.4,24.0,12.3,(42.1 - 51.5),(34.0 - 44.8),(19.5 - 28.6),(8.2 - 16.5),52.0,45.6,30.4,16.0,53.0,46.6,32.0,16.6,10.1,13.7,20.8,22.6,3.1,3.5,3.7,3.8,33.5,28.4,25.5,16.1,16.7,20.9,8.5,6.5,48.0,44.4,25.6,20.0,69,38,35,18,31.9,28.9,17.1,2/18,3.1,3.1,3.3,3.5,7,4,15,37,2/7,2/4,6/15,54.1,1,0,0,0,0/1,,,,2.8,2.8,2.9,2.9
COLUMBIA PRESBYTERIAN MEDICAL CENTER,NEW YORK,NEW YORK,NEW YORK,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,42%,5%,14%,5%,1%,9%,51%,19%,1%,50,16,33,47,32.0,3/16,0.0,2.1,24.0,2/16,0.0,2.1,(12.2 - 35.8),,,(0.0 - 6.3),29.3,2/14,0.0,3.4,31.6,2/14,0.0,3.7,18.0,2/16,,38.3,3.4,3.4,3.7,3.8,6/16,1/3,,0/1,4/16,0/3,,1/1,9/12,1/2,,1/1,9,4,6,0,2/9,0/4,0/6,,4.2,2.5,4.3,,8,3,10,88,4/8,1/3,4/10,30.7,6,2,0,30,1/6,1/2,,16.7,5.5,3.4,4.6,3.8
"LILLIAN D. NASH, M.D.",NEW YORK,NEW YORK,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,0%,33%,0%,49%,15%,0%,28%,6%,1%,1%,32,15,11,8,18.8,2/15,0/11,1/8,18.8,2/15,0/11,0/8,(5.2 - 32.3),,,,22.2,2/12,0/7,0/6,23.1,2/12,0/5,0/5,15.6,3/15,4/11,2/8,4.9,4.0,3.8,4.4,2/6,0/2,,0/1,1/6,0/2,,0/1,2/6,0/2,,,1,0,0,0,0/1,,,,6.0,,,,0,0,1,0,,,0/1,,0,0,0,0,,,,,,,5.0,
NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,NEW YORK,Yes,Yes,No,Yes,No,99%,0%,0%,1%,45%,0%,17%,14%,5%,11%,44%,9%,0%,27,12,25,60,33.3,7/12,24.0,11.7,22.2,5/12,16.0,6.7,(6.5 - 37.9),,(1.6 - 30.4),(0.4 - 13.0),23.1,5/12,19.0,8.9,23.1,5/12,20.0,10.3,3.7,0/12,16.0,25.0,5.4,4.7,4.6,2.9,0/9,2/7,2/6,0/7,1/9,0/7,1/6,1/7,0/6,1/5,0/4,0/4,6,2,1,1,1/6,0/2,0/1,0/1,3.8,7.0,5.0,4.0,1,0,2,11,1/1,,2/2,6/11,0,0,0,0,,,,,6.0,,4.0,4.6
NEW YORK MEDICAL SERVICES FOR REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,NEW YORK,Yes,Yes,No,No,No,47%,5%,38%,9%,44%,0%,21%,6%,14%,10%,48%,0%,1%,27,14,27,23,37.0,8/14,18.5,8.7,22.2,5/14,3.7,8.7,(6.5 - 37.9),,(0.0 - 10.8),(0.0 - 20.2),22.2,5/14,3.8,10.0,22.2,5/14,3.8,2/19,0.0,0/14,3.7,13.0,4.9,4.9,4.2,2.8,3/10,0/8,0/5,1/2,0/10,0/8,0/5,0/2,3/6,0/5,0/1,1/2,9,0,3,0,1/9,,0/3,,4.2,,4.7,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK,NEW YORK,NEW YORK,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,34%,0%,18%,13%,5%,21%,4%,32%,7%,219,170,211,218,57.5,47.1,32.2,17.0,50.7,38.8,25.6,11.5,(44.1 - 57.3),(31.5 - 46.1),(19.7 - 31.5),(7.2 - 15.7),55.8,44.0,35.8,16.2,57.5,44.6,36.2,17.0,9.1,11.8,28.4,29.4,3.1,3.6,3.8,3.8,34.9,32.5,20.6,13.5,22.2,16.3,7.4,2.7,53.2,50.0,22.2,20.0,35,21,13,16,31.4,28.6,3/13,3/16,3.1,3.5,3.6,4.2,15,13,20,77,6/15,5/13,55.0,46.8,3,1,1,23,0/3,1/1,0/1,30.4,2.8,3.1,2.9,3.1
OFFICES FOR FERTILITY AND REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,NEW YORK,No,Yes,No,Yes,No,100%,0%,0%,0%,50%,0%,18%,5%,1%,20%,45%,9%,2%,41,23,34,29,29.3,47.8,23.5,13.8,22.0,43.5,23.5,10.3,(9.3 - 34.6),(23.2 - 63.7),(9.3 - 37.8),(0.0 - 21.4),22.0,43.5,25.0,10.7,22.5,45.5,25.8,11.1,0.0,0.0,5.9,3.4,4.6,5.6,5.0,5.1,5/12,3/11,1/8,0/4,0/12,1/11,2/8,0/4,3/9,3/10,2/8,0/3,24,5,14,10,20.8,1/5,4/14,0/10,4.1,4.8,4.1,4.6,1,2,1,16,0/1,1/2,1/1,5/16,5,1,4,33,0/5,0/1,2/4,18.2,3.7,3.7,3.4,3.8
CAPITAL REGION GENETICS & IVF AT BELLEVUE HOSPITAL,NISKAYUNA,NISKAYUNA,NEW YORK,No,Yes,No,No,No,100%,0%,0%,0%,26%,0%,26%,19%,0%,18%,5%,0%,32%,19,9,7,3,4/19,4/9,1/7,1/3,4/19,4/9,1/7,1/3,,,,,4/19,4/9,1/7,1/3,4/17,4/8,1/6,1/3,0/19,0/9,0/7,0/3,2.9,3.0,3.0,2.7,1/4,1/4,0/1,0/1,0/4,0/4,0/1,0/1,1/4,1/4,0/1,0/1,9,5,2,2,4/9,1/5,0/2,0/2,2.9,2.8,2.5,3.5,0,0,0,0,,,,,0,1,0,0,,1/1,,,,3.0,,
LONG ISLAND IVF ASSOCIATES,PORT JEFFERSON,PORT JEFFERSON,NEW YORK,Yes,Yes,Yes,Yes,No,71%,13%,0%,15%,35%,<1%,36%,20%,1%,18%,14%,6%,5%,275,118,118,80,35.3,38.1,23.7,10.0,28.4,28.0,17.8,6.3,(23.0 - 33.7),(19.9 - 36.1),(10.9 - 24.7),(0.9 - 11.6),32.1,32.0,25.0,8.3,36.3,35.5,29.6,9.4,11.6,12.7,28.8,25.0,3.8,4.3,4.4,4.1,24.7,26.7,14.3,0/8,8.2,13.3,7.1,0/8,33.3,42.4,19.0,0/5,70,37,21,12,22.9,18.9,23.8,2/12,3.1,3.0,2.8,3.0,2,1,5,5,0/2,1/1,2/5,3/5,2,0,4,1,0/2,,0/4,0/1,3.5,4.0,3.6,3.8
INSTITUTE FOR REPRODUCTIVE HEALTH AND INFERTILITY,ROCHESTER,ROCHESTER,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,0%,38%,0%,47%,12%,1%,21%,9%,4%,6%,28,23,13,1,32.1,30.4,2/13,0/1,28.6,21.7,2/13,0/1,(11.8 - 45.3),(4.9 - 38.6),,,28.6,22.7,2/13,0/1,34.8,5/16,2/8,0/1,0.0,4.3,0/13,0/1,3.6,3.2,3.1,5.0,2/9,5/7,0/2,,0/9,0/7,0/2,,2/8,3/5,0/2,,3,1,1,2,0/3,0/1,0/1,0/2,4.3,3.0,3.0,3.0,0,0,0,1,,,,1/1,0,0,0,0,,,,,,,,6.0
STRONG INFERTILITY AND IVF CENTER,ROCHESTER,ROCHESTER,NEW YORK,Yes,Yes,No,Yes,No,100%,0%,0%,0%,36%,0%,33%,14%,<1%,27%,14%,2%,10%,96,53,28,21,45.8,30.2,10.7,0.0,43.8,26.4,10.7,0.0,(33.8 - 53.7),(14.5 - 38.3),(0.0 - 22.2),,53.8,37.8,3/13,0/10,53.8,40.0,3/13,0/9,18.8,30.2,53.6,50.0,3.6,4.1,4.8,5.7,29.5,5/16,1/3,,11.4,2/16,0/3,,42.9,6/14,1/3,,16,5,5,2,3/16,0/5,2/5,1/2,3.6,4.0,6.0,3.5,1,4,1,4,0/1,2/4,1/1,2/4,0,2,0,2,,1/2,,1/2,3.0,3.0,4.0,3.0
IVF PROGRAM CHILDREN'S HOSPITAL OF BUFFALO,SNYDER,SNYDER,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,0%,32%,0%,37%,21%,0%,25%,6%,0%,11%,52,22,22,3,36.5,36.4,9.1,1/3,30.8,31.8,9.1,1/3,(18.2 - 43.3),(12.4 - 51.3),(0.0 - 21.1),,33.3,7/19,2/16,1/2,33.3,7/18,2/14,1/2,7.7,13.6,27.3,1/3,3.7,3.2,3.4,5.0,5/19,2/8,2/2,1/1,1/19,0/8,0/2,0/1,5/16,1/7,1/2,1/1,11,8,4,1,3/11,3/8,0/4,0/1,2.7,2.5,3.3,3.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CNY FERTILITY CENTER,SYRACUSE,SYRACUSE,NEW YORK,Yes,Yes,No,No,No,88%,12%,0%,0%,36%,0%,31%,4%,0%,19%,8%,0%,38%,14,3,6,2,4/14,2/3,1/6,1/2,3/14,2/3,1/6,0/2,,,,,3/14,2/3,1/6,0/2,3/12,2/3,1/6,0/2,0/14,0/3,0/6,0/2,4.8,5.7,5.8,4.0,0/4,0/2,0/1,0/1,1/4,0/2,0/1,0/1,1/3,0/2,0/1,,0,0,1,0,,,0/1,,,,9.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
WESTCHESTER FERTILITY & REPRODUCTIVE ENDOCRINOLOGY,WHITE PLAINS,WHITE PLAINS,NEW YORK,Yes,No,No,No,No,100%,0%,0%,0%,51%,0%,39%,18%,0%,30%,0%,4%,9%,12,13,12,2,4/12,3/13,1/12,1/2,3/12,3/13,1/12,0/2,,,,,3/12,3/13,1/12,0/2,3/11,3/13,1/12,0/2,0/12,0/13,0/12,0/2,4.2,3.3,4.2,6.0,2/4,1/3,0/1,0/1,1/4,1/3,0/1,0/1,2/3,0/3,0/1,,1,0,2,2,0/1,,0/2,0/2,7.0,,3.5,4.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
REPRODUCTIVE MEDICINE AND IVF,WILLIAMSVILLE,WILLIAMSVILLE,NEW YORK,Yes,Yes,No,No,No,100%,0%,0%,0%,42%,0%,33%,17%,3%,23%,4%,3%,17%,45,23,9,2,40.0,17.4,4/9,0/2,35.6,8.7,3/9,0/2,(21.6 - 49.5),(0.0 - 20.2),,,40.0,10.0,3/9,0/1,42.1,2/18,3/9,0/1,11.1,13.0,0/9,1/2,4.1,4.3,3.0,1.0,6/18,1/4,1/4,,6/18,0/4,0/4,,9/16,1/2,1/3,,2,0,0,0,1/2,,,,3.5,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
AKRON CITY HOSPITAL IVF CENTER,AKRON,AKRON,OHIO,Yes,No,No,No,No,94%,6%,0%,0%,35%,0%,27%,15%,2%,32%,9%,1%,14%,55,15,17,6,32.7,4/15,5/17,1/6,25.5,3/15,5/17,1/6,(13.9 - 37.0),,,,26.9,3/8,5/12,1/4,27.5,3/8,5/12,1/4,5.5,7/15,5/17,2/6,3.2,3.3,3.6,3.8,4/18,0/4,2/5,0/1,2/18,2/4,0/5,0/1,4/14,2/3,2/5,0/1,20,2,7,0,20.0,1/2,0/7,,3.8,4.0,3.3,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"FERTILITY UNLIMITED, INC.",AKRON,AKRON,OHIO,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,32%,0%,29%,25%,5%,6%,10%,21%,3%,41,27,10,3,19.5,7.4,3/10,1/3,9.8,7.4,2/10,0/3,(0.7 - 18.8),(0.0 - 17.3),,,11.1,2/17,2/7,0/1,11.1,2/17,2/7,0/1,12.2,37.0,3/10,2/3,3.7,3.1,3.0,6.0,1/8,1/2,1/3,0/1,0/8,0/2,1/3,0/1,1/4,1/2,1/2,,12,8,0,0,2/12,1/8,,,2.3,2.0,,,3,1,1,8,2/3,0/1,1/1,2/8,0,0,1,3,,,0/1,0/3,3.0,6.0,3.5,3.9
BETHESDA CENTER FOR REPRODUCTIVE HEALTH AND FERTILITY,CINCINNATI,CINCINNATI,OHIO,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,36%,0%,29%,6%,0%,28%,26%,2%,9%,90,35,25,9,33.3,34.3,12.0,1/9,30.0,25.7,12.0,0/9,(20.5 - 39.5),(11.2 - 40.2),(0.0 - 24.7),,34.2,31.0,3/17,0/4,35.1,31.0,3/16,0/4,12.2,17.1,32.0,5/9,3.5,3.9,3.6,4.3,30.0,5/12,1/3,0/1,13.3,2/12,1/3,0/1,40.7,6/9,1/3,,6,4,1,0,2/6,1/4,1/1,,2.8,3.0,5.0,,7,3,6,5,2/7,2/3,2/6,3/5,0,1,1,2,,0/1,1/1,0/2,3.4,3.0,3.6,3.3
CENTER FOR REPRODUCTIVE HEALTH,CINCINNATI,CINCINNATI,OHIO,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,23%,0%,20%,11%,3%,12%,45%,5%,4%,22,11,12,3,22.7,4/11,2/12,0/3,22.7,2/11,1/12,0/3,(5.2 - 40.2),,,,5/18,2/9,1/10,0/2,5/16,2/8,1/9,0/2,18.2,2/11,2/12,1/3,3.6,3.1,3.0,1.5,2/5,0/4,0/2,,1/5,0/4,0/2,,3/5,0/2,0/1,,4,1,2,1,0/4,1/1,1/2,0/1,1.5,4.0,3.0,2.0,4,5,5,11,1/4,1/5,1/5,6/11,1,5,9,14,0/1,0/5,2/9,0/14,3.0,2.8,2.9,2.8
CLEVELAND CLINIC FOUNDATION,CLEVELAND,CLEVELAND,OHIO,Yes,Yes,No,No,No,100%,0%,0%,0%,38%,8%,18%,16%,2%,36%,7%,3%,18%,104,60,53,30,27.9,20.0,15.1,10.0,20.2,16.7,15.1,6.7,(12.5 - 27.9),(7.2 - 26.1),(5.5 - 24.7),(0.0 - 15.6),23.1,19.2,20.0,10.0,26.3,22.7,25.0,2/17,12.5,13.3,24.5,33.3,2.7,2.7,2.8,2.7,27.6,3/12,2/8,1/3,3.4,0/12,0/8,0/3,33.3,2/10,2/8,0/2,67,21,17,3,9.0,14.3,1/17,1/3,2.4,2.4,2.4,1.7,0,0,0,0,,,,,0,0,0,0,,,,,,,,
