Clinic_Name,Clinic_City,Clinic_State,SART_Member,Single_Women,Surrogates,Donor_Eggs_Shared,IVF_Rate,GIFT_Rate,ZIFT_Rate,ICSI_Rate,Diag_TubalRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Number_Cycles_LT35,Number_Cycles_35to39,Number_Cycles_GT39,Preg_Per_Cycle_LT35,Preg_Per_Cycle_35to39,Preg_Per_Cycle_GT39,Preg_Per_Cycle_Conf,Live_Births_Cycle_LT35,Live_Births_Cycle_35to39,Live_Births_Cycle_GT39,Live_Birthsr_Cycle_Conf,Live_Births_Retrv_LT35,Live_Births_Retrv_35to39,Live_Births_Retrv_GT39,Live_Births_Retrv_Conf,Live_Births_Trans_LT35,Live_Births_Trans_35to39,Live_Births_Trans_GT39,Live_Births_Trans_Conf,Cancel_LT35,Cancel_35to39,Cancel_GT39,AVG_Embryos_LT35,AVG_Embryos_35to39,AVG_Embryos_GT39,MultBirth_TW_LT35,MultBirth_TW_35to39,MultBirth_TW_GT39,MultBirth_TR_LT35,MultBirth_TR_35to39,MultBirth_TRW_GT39,Num_Transfer_LT35,Num_Transfer_35to39,Num_Transfer_GT39,Live_Births_TX_LT35,Live_Births_TX_35to39,Live_Births_TX_GT39,AVG_Num_TX_LT35,AVG_Num_TX_35to39,AVG_Num_TX_GT39,Num_Fresh_TX_LT35,Num_Fresh_TX_35to39,Num_Fresh_TX_GT39,Live_TX_LT35,Live_TX_35_39,Live_TX_GT39,AVG_TX_LT35,AVG_TX_35to39,AVG_TX_GT39
REPRODUCTIVE HEALTH ASSOCIATES,ST.PAUL,MINNESOTA,YES,YES,YES,13%,99%,1%,0%,25%,31%,4%,3%,28%,12%,22%,   60,   42,   13,41.7,42.9,3/13,38.8 (29.9-47.6),33.3,33.3,2/13,30.1 (21.8-38.4),33.3,34.1,2/13,30.4 (22.0-38.8),33.9,35.0,2/13,30.7 (22.3-39.1),0.0,2.4,0/13,4.3,4.5,4.7,18.6,10.0,1/13,1.7,0.0,0/13,8,3,1,0/8,0/3,0/1,4.1,5.3,2.0,3,3,9,2/3,3/3,5/9,3.7,3.0,3.3
UNIVERSITY OF MISSISSIPI MEDICAL CENTER IVF PROGRAM,JACKSON,MISSISSIPPI,YES,NO,NO,5%,100%,0%,0%,0%,40%,34%,0%,3%,19%,4%,   66,   32,   19,12.1,15.6,0/19,11.2 (5.4-17.0),10.6,6.3,0/19,7.1 (2.6-11.7),12.3,8.3,0/13,8.6 (3.1-14.2),15.6,2/17,0/7,11.4 (4.0-18.7),13.6,25.0,6/19,4.5,4.3,1.9,6.7,1/17,0/7,0.0,0/17,0/7,0,0,0,,,,,,,1,2,2,0/1,0/2,0/2,5.0,8.0,5.0
UNIVERSITY OF MISSOURI HOSPITAL AND CLINICS ART PROGRAM,COLUMBIA,MISSOURI,YES,YES,NO,0%,59%,41%,0%,25%,21%,18%,0%,15%,46%,0%,   18,   17,    4,3/18,3/17,1/4,,3/16,3/17,0/4,,3/16,3/11,0/4,,3/14,3/10,0/3,,2/18,6/17,0/4,4.7,4.4,6.0,1/14,0/10,0/3,0/14,0/10,0/3,5,5,0,2/5,0/5,,4.0,2.4,,0,0,0,,,,,,
ADVANCED ASSISTED REPRODUCTIVE TECHNOLOGY PROGRAM,ST. LOUIS,MISSOURI,YES,YES,NO,6%,79%,21%,0%,25%,41%,18%,0%,15%,15%,11%,   69,   61,   13,20.3,13.1,2/13,16.8 (10.4-23.2),18.8,13.1,2/13,16.2 (9.9-22.5),19.4,15.7,2/11,17.9 (10.9-24.8),22.4,17.0,2/9,20.4 (12.5-28.4),2.9,16.4,2/13,3.9,4.0,3.9,10.3,2.1,1/9,0.0,0.0,0/9,6,5,0,2/6,1/5,,3.6,1.7,,1,6,7,0/1,0/6,2/7,4.0,4.0,4.0
ADVANCED REPRODUCTIVE SPECIALISTS,ST. LOUIS,MISSOURI,YES,NO,NO,0%,100%,0%,0%,0%,47%,23%,12%,3%,5%,10%,   52,   46,   18,38.5,39.1,4/18,35.7 (27.1-44.4),30.8,28.3,2/18,26.3 (18.5-34.2),31.4,34.2,2/14,29.3 (20.7-38.0),34.0,39.4,2/13,32.6 (23.3-41.9),1.9,17.4,4/18,4.1,4.3,3.7,12.8,0.0,1/13,0.0,6.1,0/13,2,1,0,1/2,0/1,,4.0,3.0,,0,0,0,,,,,,1
INFERTILITY CENTER OF ST. LOUIS AT,ST. LOUIS,MISSOURI,YES,YES,YES,YES,71%,26%,3%,54%,8%,0%,1%,68%,2%,21%,   99,   64,   23,30.3,7.8,13.0,19.1 (13.7-24.5),28.3,6.3,8.7,16.8 (11.8-21.9),28.6,6.3,8.7,17.0 (11.9-22.0),29.8,7.0,2/18,18.2 (12.7-23.8),1.0,0.0,0.0,4.3,4.4,4.4,6.4,0.0,0/18,3.2,0.0,0/18,16,5,1,1/16,2/5,0/1,3.4,4.8,2.0,2,4,16,2/2,1/4,4/16,5.5,4.3,4.4
NEBRASKA METHODIST HOSPITAL REPRODUCTIVE ENDOCRINOLOGY,OMAHA,NEBRASKA,YES,YES,YES,75%,98%,1%,1%,11%,33%,19%,29%,15%,3%,1%,  117,   59,   19,30.8,22.0,4/19,25.9 (19.5-32.2),27.4,20.3,1/19,20.9 (15.3-26.4),29.4,24.0,1/13,23.5 (17.2-29.9),30.5,30.8,1/13,26.2 (19.2-33.2),6.8,15.3,6/19,4.3,4.7,3.0,16.2,12.8,0/13,1.9,0.0,0/13,13,5,0,4/13,0/5,,3.9,3.4,,4,3,6,2/4,1/3,0/6,5.3,3.3,2.3
UNIVERISTY OF NEBRASKA IVF PROGRAM,OMAHA,NEBRASKA,YES,YES,YES,7%,93%,6%,1%,9%,21%,24%,28%,11%,13%,3%,   88,   38,   23,27.3,31.6,8.7,25.5 (18.3-32.6),22.7,26.3,4.3,20.7 (14.1-27.3),24.1,30.3,5.0,22.9 (15.6-30.2),26.3,38.5,1/17,26.3 (18.1-34.5),5.7,10.5,13.0,4.4,4.5,3.2,6.6,7.7,0/17,5.3,3.8,0/17,2,2,0,0/2,0/2,,6.5,3.0,,1,3,9,0/1,0/3,4/9,2.0,4.0,5.8
FERTILITY CENTER OF LAS VEGAS,LAS VEGAS,NEVADA,YES,YES,NO,0%,100%,0%,0%,20%,38%,8%,2%,50%,2%,0%,   54,   33,   22,18.5,15.2,9.1,15.6 (8.8-22.5),14.8,9.1,9.1,11.7 (5.7-17.7),17.0,11.1,2/13,14.6 (7.2-22.0),19.1,13.0,2/12,16.5 (8.2-24.8),13.0,12.1,36.4,4.3,5.0,4.1,2.4,4.3,0/12,4.8,0.0,0/12,0,0,0,,,,,,,0,1,1,,0/1,0/1,,7.0,4.0
UNIVERSITY INSTITUTE FOR FERTILITY,LAS VEGAS,NEVADA,YES,YES,NO,0%,100%,0%,0%,7%,58%,16%,0%,19%,0%,7%,   24,   13,    3,20.8,5/13,0/3,,4.2,4/13,0/3,,4.2,4/13,0/3,,4.3,4/12,0/2,,4.2,0/13,0/3,3.8,4.1,1.5,0.0,3/12,0/2,0.0,0/12,0/2,5,1,0,1/5,0/1,,3.0,2.0,,1,1,7,0/1,0/1,2/7,5.0,4.0,4.2
NORTHERN NEVADA FERTILITY,RENO,NEVADA,YES,YES,YES,0%,68%,32%,0%,0%,35%,34%,10%,3%,18%,0%,   32,   26,   19,34.4,46.2,2/19,34.3 (23.8-44.9),28.1,34.6,1/19,26.3 (16.4-36.2),29.0,34.6,1/17,26.9 (16.8-36.9),29.0,34.6,1/16,26.9 (16.8-37.0),3.1,0.0,2/19,6.3,6.1,4.3,9.7,23.1,0/16,3.2,0.0,0/16,0,0,0,,,,,,,1,1,5,0/1,0/1,3/5,6.0,6.0,5.6
DARMOUTH-HITCHCOCK MEDICAL CENTER ART PROGRAM,LEBANON,NEW HAMPSHIRE,YES,YES,YES,0%,81%,19%,0%,0%,48%,14%,14%,5%,10%,9%,   10,   10,    1,0/10,2/10,0/1,,0/10,2/10,0/1,,0/10,2/8,0/1,,0/9,2/8,0/1,,0/10,2/10,0/1,4.1,2.8,4.0,0/9,0/8,0/1,0/9,0/8,0/1,5,1,0,0/5,0/1,,3.0,4.0,,0,0,0,,,,,,
EAST COAST INFERTILITY AND IVF,LITTLE SILVER,NEW JERSEY,YES,YES,NO,1%,100%,0%,0%,27%,42%,30%,0%,19%,9%,0%,   36,   34,   16,41.7,35.3,1/16,33.0 (23.4-42.6),38.9,32.4,0/16,29.5 (20.3-38.3),41.2,39.3,0/12,33.1 (23.1-43.1),42.4,42.3,0/11,34.7 (24.4-45.1),5.6,17.7,5/16,4.4,3.8,2.6,9.1,7.7,0/11,6.1,3.9,0/11,0,0,0,,,,,,,1,0,0,0/1,,,5.0,,
INSTITUTE OF REPRODUCTIVE MEDICINE,LIVINGSTON,NEW JERSEY,YES,,,,100%,0%,0%,20%,15%,8%,34%,27%,9%,7%,  176,  159,   52,61.4,41.5,34.6,49.4 (44.5-54.3),51.7,35.8,23.1,40.8 (36.1-45.6),56.9,41.0,32.4,46.8 (41.4-52.1),59.5,43.2,33.3,48.7 (43.2-54.1),9.1,12.6,28.9,3.7,3.9,4.4,24.2,16.7,8.3,6.5,6.8,0.0,13,11,3,2/13,2/11,0/3,3.7,4.0,2.0,0,3,7,,1/3,2/7,,3.7,3.6
COOPER CENTER FOR IVF,MARLTON,NEW JERSEY,YES,YES,YES,79%,99%,1%,0%,38%,46%,8%,1%,21%,15%,9%,  309,  217,  168,11.3,9.2,1.8,8.9 (6.7-11.0),10.0,7.8,1.2,7.7 (5.6-9.7),11.9,10.4,1.8,9.5 (7.0-12.1),20.0,15.6,3.9,15.5 (11.6-19.4),15.5,24.9,34.5,3.3,3.3,3.0,3.9,4.6,0.0,0.7,0.9,0.0,247,119,40,9.7,16.8,5.0,3.3,3.4,3.1,9,4,18,2/9,0/4,4/18,4.0,3.3,3.4
"SOUTH JERSEY FERTILITY CENTER, P.A.",MARLTON,NEW JERSEY,YES,YES,YES,0%,88%,11%,1%,7%,49%,18%,1%,19%,1%,12%,   97,   43,   36,20.6,16.3,8.3,16.8 (11.2-22.5),15.5,14.0,5.6,13.1 (8.0-18.3),18.3,15.8,8.7,15.7 (9.6-21.7),20.8,18.2,2/19,17.5 (10.8-24.3),15.5,11.6,36.1,3.9,3.8,3.3,6.9,0.0,0/19,2.8,0.0,0/19,7,6,3,0/7,0/6,0/3,2.9,3.2,2.7,0,0,0,,,,,,
DIAMOND INSTITUTE FOR INFERTILITY IVF PROGRAM,MILLBURN,NEW JERSEY,YES,YES,NO,0%,100%,0%,0%,42%,50%,9%,5%,21%,11%,4%,   72,   72,   62,26.4,29.2,8.1,24.1 (18.0-30.2),23.6,25.0,3.2,20.4 (14.6-26.3),28.8,29.0,4.9,24.9 (17.8-31.4),30.9,29.5,5.3,25.8 (18.7-32.9),18.1,13.9,33.9,4.8,4.7,4.2,9.1,8.2,2.6,5.2,0.0,0.0,0,3,3,,0/3,1/3,,3.0,2.3,4,2,8,1/4,1/2,3/8,4.0,3.5,5.5
ROBERT WOOD JOHNSON MEDICAL SCHOOL ART PROGRAM,NEW BRUNSWICK,NEW JERSEY,YES,YES,NO,13%,68%,28%,4%,26%,27%,18%,0%,34%,13%,8%,  127,  102,   43,29.1,19.6,11.6,22.6 (17.7-27.4),27.6,15.7,7.0,19.6 (15.0-24.2),29.9,20.0,10.0,22.8 (17.4-28.1),32.1,22.9,10.7,24.9 (19.2-30.7),7.9,21.6,30.2,3.7,4.2,6.0,13.8,5.7,0.0,3.7,0.0,0.0,52,20,5,3.9,5.0,0/7,2.9,3.4,2.6,3,1,4,0/3,1/1,1/4,4.0,3.0,4.0
IVF NEW JERSEY,SOMERSET,NEW JERSEY,YES,YES,YES,0%,95%,3%,2%,16%,29%,13%,3%,15%,39%,1%,   67,   58,   26,28.4,30.5,23.1,28.2 (21.1-35.3),22.4,27.1,23.1,24.2 (17.4-31.0),25.0,36.4,27.3,29.5 (21.6-37.4),26.8,37.2,5/16,31.3 (23.0-39.7),10.4,25.4,15.4,3.7,3.7,4.6,7.7,12.5,9.1,0.0,2.5,4.6,6,9,10,3/6,3/9,3/10,3.0,3.8,4.0,9,10,59,6/9,5/10,46.3,3.4,3.3,3.2
REPRODUCTIVE ENDOCRINOLOGY,ALBUQUERQUE,NEW MEXICO,YES,YES,YES,0%,100%,0%,0%,8%,30%,25%,14%,14%,5%,12%,   23,   23,   17,34.8,30.4,1/17,28.0 (16.6-39.4),26.1,26.1,0/17,21.4 (10.9-31.9),30.0,6/19,0/9,25.2 (13.3-37.1),30.0,6/17,0/7,25.8 (13.7-37.9),13.0,17.4,8/17,4.4,4.9,4.6,5.0,0/17,0/7,0.0,0/17,0/7,4,2,1,0/4,0/2,0/1,4.3,4.0,5.0,0,0,3,,,1/3,,,3.7
SOUTHWEST FERTILITY SERVICES,ALBUQUERQUE,NEW MEXICO,YES,YES,NO,0%,92%,8%,0%,,58%,18%,8%,8%,8%,0%,   10,   15,   13,6/10,2/15,1/13,33.6 (18.2-49.0),5/10,1/15,0/13,25.3 (10.4-40.1),5/10,1/15,0/11,25.3 (10.4-40.1),5/9,1/13,0/11,28.1 (12.4-43.8),0/10,0/15,2/13,3.4,3.9,3.0,0/9,0/13,0/11,0/9,0/13,0/11,0,0,0,,,,,,,0,3,1,,0/3,0/1,,3.7,3.0
WOMEN'S HEALTH CENTER OF ALBANY MEDICAL CENTER,ALBANY,NEW YORK,YES,YES,NO,0%,100%,0%,0%,0%,58%,15%,0%,11%,15%,1%,   29,   31,   26,3.4,9.7,15.4,5.7 (0.9-10.5),3.4,9.7,3.8,4.9 (0.3-9.4),6.3,10.0,5.9,6.0 (0.4-11.5),7.1,11.8,6.7,6.9 (0.6-13.2),13.8,16.1,15.4,5.6,4.6,5.5,0.0,4.3,0.0,0.0,0.0,0.0,9,6,5,0/9,1/6,0/5,4.7,3.3,4.2,0,0,0,,,,,,
BROOKLYN FERTILITY CENTER,BROOKLYN,NEW YORK,YES,YES,YES,0%,100%,0%,0%,14%,26%,3%,5%,26%,19%,21%,   26,   35,   12,26.9,20.0,1/12,21.1 (11.5-30.7),23.1,8.6,1/12,15.2 (6.6-23.8),24.0,9.1,1/12,15.8 (6.9-24.7),25.0,10.3,1/12,16.7 (7.4-26.1),3.9,8.6,0/12,3.8,3.7,2.8,0.0,0.0,0/12,0.0,0.0,1/12,6,6,1,0/6,0/6,0/1,3.5,3.0,5.0,1,4,20,0/1,1/4,25.0,5.0,4.5,3.9
CHILDREN'S HOSPITAL IVF PROGRAM,BUFFALO,NEW YORK,YES,YES,NO,0%,95%,5%,0%,,40%,18%,0%,22%,10%,10%,   45,   41,    5,11.1,19.5,0/5,12.1 (6.1-18.2),8.9,14.6,0/5,9.4 (3.9-14.8),11.1,18.2,0/4,,11.8,20.0,0/4,,20.0,19.5,1/5,5.6,5.0,3.8,5.9,3.3,0/4,2.9,3.3,0/4,2,1,0,2/2,0/1,,5.0,5.0,,0,0,0,,,,,,
MONTEFIORE'S FERTILITY AND HORMONE CENTER,DOBBS FERRY,NEW YORK,YES,YES,NO,90%,100%,0%,0%,10%,42%,9%,11%,20%,6%,12%,   51,   52,   25,23.5,23.1,24.0,23.5 (16.1-30.9),19.6,19.2,12.0,18.1 (11.4-24.8),22.7,23.8,3/15,22.6 (14.4-30.8),25.0,26.3,3/12,24.7 (15.8-33.5),13.7,19.2,40.0,3.3,2.9,3.6,10.0,10.5,1/12,2.5,2.6,0/12,3,2,1,1/3,0/2,0/1,4.0,2.0,4.0,0,4,4,,1/4,2/4,,3.3,4.8
GARDEN CITY CENTER FOR ADVANCED REPRODUCTIVE TECHNOLOGIES,GARDEN CITY,NEW YORK,YES,YES,NO,0%,98%,0%,2%,21%,26%,38%,0%,21%,13%,2%,   29,   19,    4,41.4,7/19,0/4,,37.9,5/19,0/4,,42.3,5/14,0/3,,42.3,5/13,0/2,,10.3,5/19,1/4,4.0,4.7,3.5,26.9,2/13,0/2,0.0,1/13,0/2,10,8,3,2/10,1/8,0/3,3.5,2.9,2.7,0,0,0,,,,,,
NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NEW YORK,YES,YES,YES,,100%,0%,0%,14%,31%,19%,6%,25%,4%,15%,  124,  127,   39,37.9,25.2,2.6,27.0 (22.1-31.8),35.5,21.3,0.0,24.0 (19.3-28.6),39.6,25.5,0.0,27.4 (22.3-32.5),42.3,26.2,0.0,28.6 (23.3-33.9),10.5,16.5,20.5,4.1,4.1,4.4,12.5,3.9,0.0,3.9,1.0,0.0,32,26,3,6.3,11.5,0/3,4.2,4.2,4.0,0,0,0,,,,,,
ADVANCED FERTILITY SERVICES,NEW YORK,NEW YORK,YES,YES,NO,0%,100%,0%,0%,39%,31%,8%,0%,26%,16%,19%,  235,  187,   81,25.1,17.1,4.9,18.6 (15.3-21.9),20.0,13.9,3.7,14.9 (11.8-17.9),21.0,15.0,4.3,15.8 (12.6-19.0),21.8,16.2,3.8,16.5 (13.2-19.9),4.7,7.5,8.6,4.5,4.4,4.4,7.4,6.8,2.9,1.4,0.6,0.0,23,13,7,0.0,1/13,0/7,3.6,3.9,3.6,8,8,33,0/8,4/8,33.3,4.0,4.8,4.9
COLUMBIA UNIVERSITY COLLEGE OF PHYSICIANS AND SURGEONS,NEW YORK,NEW YORK,YES,YES,NO,0%,100%,0%,0%,0%,69%,8%,1%,10%,8%,4%,   22,   26,   21,18.2,11.5,14.3,15.1 (6.1-24.1),18.2,11.5,4.8,13.4 (4.6-22.2),20.0,14.3,1/18,15.3 (5.5-25.2),4/17,3/19,1/17,17.6 (6.4-28.7),9.1,19.2,14.3,3.7,3.8,5.2,1/17,1/19,0/17,0/17,0/19,0/17,4,5,1,1/4,0/5,0/1,3.8,3.6,6.0,1,1,8,1/1,1/1,3/8,4.0,5.0,4.5
CORNELL UNIVERSITY MEDICAL COLLEGE,NEW YORK,NEW YORK,YES,YES,YES,74%,100%,0%,0%,35%,24%,9%,4%,46%,5%,12%,  458,  541,  394,51.3,37.7,24.4,41.6 (38.9-44.2),45.4,28.8,14.7,33.9 (31.3-36.5),51.5,35.3,20.8,40.1 (37.2-43.0),54.2,37.5,22.5,42.5 (39.5-45.4),11.8,18.3,28.9,3.2,3.5,3.7,20.3,12.5,5.0,6.0,2.9,0.0,55,56,24,20.0,35.7,20.8,2.9,2.9,2.8,9,8,49,4/9,4/8,49.0,3.0,3.0,3.1
NEW YORK FERTILITY INSTITUTE,NEW YORK,NEW YORK,YES,YES,NO,0%,97%,3%,0%,26%,9%,20%,45%,26%,0%,0%,   46,   57,   64,52.2,38.6,32.8,43.8 (35.5-52.1),52.2,35.1,25.0,41.1 (32.9-49.4),52.2,35.1,25.0,41.1 (32.9-49.4),60.0,40.8,32.7,46.5 (37.7-55.2),0.0,0.0,0.0,5.0,4.6,3.7,10.0,2.0,6.1,0.0,0.0,0.0,0,0,0,,,,,,,1,3,8,1/1,3/3,4/8,7.0,5.0,5.9
NEW YORK MEDICAL SERVICES REPRODUCTIVE MEDICINE,NEW YORK,NEW YORK,YES,,,,40%,40%,20%,0%,28%,10%,30%,14%,6%,12%,   31,   37,   18,32.3,24.3,4/18,27.6 (17.9-37.3),19.4,18.9,3/18,18.7 (10.3-27.2),23.1,30.4,3/14,25.4 (14.6-36.2),23.1,30.4,3/14,25.4 (14.6-36.2),16.1,32.4,4/18,4.8,4.9,3.4,7.7,0.0,0/14,7.7,4.4,0/14,1,0,0,1/1,,,5.0,,,0,0,0,,,,,,
NEW YORK UNIVERSITY MEDICAL CENTER,NEW YORK,NEW YORK,YES,YES,NO,5%,100%,0%,0%,17%,36%,12%,7%,25%,10%,10%,  109,  127,   58,49.5,42.5,19.0,41.5 (35.9-47.1),45.9,38.6,13.8,37.5 (32.0-43.0),47.6,42.6,16.7,40.2 (34.5-46.0),49.0,42.6,16.7,40.9 (35.1-46.7),3.7,9.5,17.2,3.7,4.0,4.5,18.6,18.3,6.3,2.0,3.5,0.0,21,18,8,33.3,3/18,1/8,3.2,3.5,3.9,1,1,19,0/1,0/1,11/19,3.0,3.0,3.2
LONG ISLAND IVF,PORT JEFFERSON,NEW YORK,YES,YES,YES,2%,88%,12%,0%,13%,42%,20%,2%,20%,12%,4%,  198,  161,   78,41.9,26.7,23.1,33.1 (28.7-37.4),38.4,18.6,15.4,27.1 (23.1-31.2),40.0,22.2,18.2,29.7 (25.3-34.1),41.8,24.4,20.3,31.5 (26.9-36.2),4.0,16.2,15.4,4.7,4.8,5.1,13.2,7.3,1.7,3.3,1.6,1.7,48,42,5,16.7,11.9,1/5,3.9,3.3,4.2,3,3,14,1/3,2/3,6/14,2.0,5.7,4.1
INSTITUTE FOR REPRODUCTIVE HEALTH AND INFERTILITY,ROCHESTER,NEW YORK,YES,YES,NO,0%,94%,6%,0%,0%,66%,15%,2%,3%,2%,12%,   36,   27,    2,25.0,11.1,0/2,,22.2,11.1,0/2,,22.2,13.0,0/2,,24.2,15.0,0/1,,0.0,14.8,0/2,4.2,3.5,2.0,3.0,0.0,0/1,12.1,0.0,0/1,8,2,0,1/8,2/2,,2.9,2.5,,0,0,0,,,,,,
STRONG INFERTILITY AND IVF CENTER,ROCHESTER,NEW YORK,YES,YES,YES,0%,100%,0%,0%,9%,52%,14%,7%,15%,2%,10%,  100,   51,   10,36.0,31.4,4/10,35.1 (26.7-43.4),31.0,21.6,3/10,27.4 (19.7-35.2),36.1,31.4,3/8,34.6 (25.2-44.1),38.3,31.4,3/8,35.5 (25.9-45.0),14.0,29.4,2/10,3.8,3.8,4.6,13.6,2.9,0/8,4.9,2.9,0/8,6,5,4,1/6,1/5,0/4,3.0,2.8,2.3,2,3,4,1/2,1/3,0/4,3.5,3.3,3.8
REPRODUCTIVE MEDICINE/IVF,WILLIAMSVILLE,NEW YORK,YES,YES,NO,0%,100%,0%,0%,6%,53%,18%,1%,7%,0%,21%,   45,   23,    4,35.6,21.7,1/4,,26.7,13.0,0/4,,34.3,3/17,0/3,,36.4,3/14,0/3,,20.0,26.1,1/4,5.2,3.9,5.0,12.1,0/14,0/3,6.1,0/14,0/3,0,0,0,,,,,,,0,0,0,,,,,,
NORTH CAROLINA CENTER FOR REPRODUCTIVE MEDICINE,CARY,NORTH CAROLINA,YES,YES,YES,0%,100%,0%,0%,26%,38%,32%,0%,11%,3%,16%,   54,   46,    4,27.8,30.4,1/4,,24.1,26.1,0/4,,24.5,27.9,0/4,,25.5,33.3,0/4,,1.9,6.5,0/4,3.9,4.1,4.8,7.8,13.9,0/4,0.0,0.0,0/4,7,8,3,1/7,0/8,0/3,3.3,2.6,5.0,8,11,38,2/8,4/11,29.0,4.1,4.3,5.3
CHAPEL HILL FERTILITY CENTER,CHAPEL HILL,NORTH CAROLINA,YES,NO,NO,0%,63%,37%,0%,0%,38%,62%,0%,0%,0%,0%,    5,    3,    0,1/5,1/3,,,1/5,0/3,,,1/4,0/3,,,1/3,0/3,,,1/5,0/3,,6.0,3.3,,0/3,0/3,,0/3,0/3,,0,0,0,,,,,,,0,0,0,,,,,,
UNIVERSITY OF NORTH CAROLINA ART PROGRAM,CHAPEL HILL,NORTH CAROLINA,YES,YES,NO,0%,89%,8%,3%,20%,33%,14%,0%,16%,26%,11%,   29,   18,    7,34.5,5/18,2/7,31.1 (18.6-43.5),34.5,4/18,1/7,26.4 (14.9-38.0),38.5,4/17,1/6,29.2 (16.7-41.6),41.2,4/16,1/5,31.8 (18.3-45.2),10.3,1/18,1/7,4.6,3.9,6.4,16.7,2/16,0/5,0.0,0/16,0/5,9,9,3,0/9,2/9,0/3,3.2,3.1,3.0,0,1,9,,0/1,2/9,,5.0,4.6
INSTITUTE FOR ASSISTED REPRODUCTION,CHARLOTTE,NORTH CAROLINA,YES,YES,YES,0%,100%,0%,0%,29%,37%,15%,3%,26%,15%,4%,   85,   63,   23,54.1,27.0,26.1,39.3 (32.3-46.4),43.5,23.8,13.0,30.9 (24.3-37.6),50.7,35.7,3/18,39.2 (31.1-47.2),50.7,36.6,3/13,40.6 (32.1-49.2),14.1,33.3,21.7,3.6,3.6,4.7,13.7,12.2,0/13,4.1,0.0,0/13,2,0,0,2/2,,,3.0,,,0,1,0,,1/1,,,3.0,
PROGRAM FOR ASSISTED REPRODUCTION,CHARLOTTE,NORTH CAROLINA,YES,YES,NO,0%,80%,20%,0%,0%,60%,10%,20%,10%,0%,0%,    7,    3,    0,3/7,2/3,,,3/7,1/3,,,3/7,1/3,,,3/7,1/3,,,0/7,0/3,,4.2,4.3,,1/7,0/3,,1/7,0/3,,1,0,0,0/1,,,4.0,,,1,0,0,1/1,,,5.0,,
REPRODUCTIVE DIAGNOSTICS CENTER FOR REPRODUCTIVE MEDICINE,CHARLOTTE,NORTH CAROLINA,YES,NO,YES,5%,100%,0%,0%,0%,50%,0%,0%,20%,13%,17%,   14,    9,    1,6/14,1/9,1/1,,5/14,1/9,0/1,,5/14,1/9,0/1,,5/13,1/8,0/1,,0/14,0/9,0/1,4.9,4.9,3.0,0/13,0/8,0/1,0/13,0/8,0/1,2,1,0,0/2,0/1,,4.0,1.0,,10,2,3,1/10,1/2,0/3,4.4,3.5,5.7
DUKE UNIVERSITY MEDICAL CENTER ART PROGRAM,DURHAM,NORTH CAROLINA,YES,YES,NO,0%,100%,0%,0%,0%,31%,32%,1%,10%,20%,6%,   61,   59,    4,29.5,25.4,0/4,,24.6,18.6,0/4,,25.0,20.0,0/4,,30.6,21.6,0/4,,1.6,6.8,0/4,4.0,4.1,6.0,8.2,7.8,0/4,4.1,0.0,0/4,2,4,2,1/2,1/4,1/2,3.5,4.8,4.5,4,6,20,2/4,4/6,30.0,4.0,4.0,3.5
EAST CAROLINA UNIVERSITY WOMEN'S PHYSICIANS,GREENVILLE,NORTH CAROLINA,YES,YES,NO,0%,96%,4%,0%,0%,74%,4%,9%,0%,4%,9%,   14,    9,    0,1/14,1/9,,,0/14,1/9,,,0/8,1/8,,,0/6,1/6,,,6/14,1/9,,3.5,3.5,,0/6,0/6,,0/6,0/6,,0,0,0,,,,,,,0,0,0,,,,,,
BOWMAN GRAY SCHOOL OF MEDICINE,WINSTON-SALEM,NORTH CAROLINA,YES,NO,NO,0%,94%,0%,6%,0%,42%,15%,0%,24%,8%,11%,   35,   24,    3,25.7,37.5,1/3,,22.9,25.0,1/3,,23.5,25.0,1/3,,25.8,27.3,1/3,,2.9,0.0,0/3,3.2,3.6,2.0,16.1,4.6,0/3,3.2,0.0,0/3,9,4,0,0/9,1/4,,2.7,2.5,,0,1,0,,0/1,,,4.0,
AKRON CITY HOSPITAL IVF CENTER,AKRON,OHIO,YES,NO,NO,0%,91%,9%,0%,24%,43%,20%,5%,23%,4%,5%,   36,   16,    4,44.4,6/16,1/4,,41.7,4/16,0/4,,42.9,4/14,0/3,,44.1,4/13,0/3,,2.8,2/16,1/4,3.3,3.0,4.0,11.8,1/13,0/3,8.8,0/13,0/3,10,1,1,3/10,1/1,1/1,3.5,3.0,3.0,0,0,1,,,1/1,,,4.0
"FERTILITY UNLIMITED, INC.",AKRON,OHIO,YES,YES,YES,<5%,100%,0%,0%,5%,34%,35%,8%,5%,8%,10%,   53,   35,    8,35.9,11.4,1/8,22.9 (14.7-31.0),26.4,11.4,1/8,18.5 (10.7-26.3),31.1,13.3,1/6,22.1 (12.8-31.4),32.6,13.8,1/6,22.6 (13.2-32.1),15.1,14.3,2/8,4.0,3.1,3.7,9.3,6.9,0/6,0.0,0.0,0/6,14,5,1,2/14,0/5,0/1,3.0,2.8,2.0,3,1,11,1/3,0/1,5/11,3.7,5.0,3.6
