PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
"CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE, P.A.",,ORLANDO,FL,99%,0%,0%,<1%,30%,0%,30%,18%,24%,23%,<1%,<1%,4%,Randall,A.,Loy,", M.D.",151,72,58,11,36.4,34.7,22.4,1/11,33.8,29.2,15.5,1/11,(26.2 - 41.3),(18.7 - 39.7),(6.2 - 24.8),,43.2,37.5,20.0,1/8,45.9,37.5,20.9,1/7,21.9,22.2,22.4,3/11,2.8,2.9,3.5,3.3,34.5,32.0,3/13,0/1,9.1,4.0,1/13,0/1,41.2,33.3,4/9,0/1,11,10,12,4,3/11,0/10,3/12,1/4,2.9,2.6,3.0,1.8,0,1,0,4,,0/1,,1/4,,3.0,,2.8,0,0,1,0,,,0/1,,,,3.0,,"Center for Infertility & Reproductive Medicine, P.A.",,Yes,Yes,No,Yes,Yes,Yes,Yes
REPRODUCTIVE MEDICINE AND FERTILITY CENTER,,ORLANDO,FL,98%,0%,0%,2%,49%,0%,31%,30%,26%,11%,0%,0%,2%,Mark,L.,Jutras,", M.D.",32,8,5,2,53.1,4/8,2/5,0/2,50.0,4/8,2/5,0/2,(32.7 - 67.3),,,,51.6,4/7,2/2,0/1,55.2,4/7,2/2,0/1,3.1,1/8,3/5,1/2,2.5,3.1,4.5,3.0,2/17,0/4,1/2,,1/17,0/4,0/2,,3/16,0/4,1/2,,2,1,0,0,0/2,0/1,,,4.5,3.0,,,2,0,1,2,2/2,,1/1,0/2,3.0,,2.0,2.5,0,0,0,1,,,,0/1,,,,3.0,Reproductive Medicine and Fertility Center,,Yes,No,No,Yes,Yes,Yes,Pending
UNIVERSITY OF FLORIDA-PENSACOLA,,PENSACOLA,FL,100%,0%,0%,0%,60%,0%,22%,55%,0%,6%,11%,0%,6%,Barry,A.,Ripps,", M.D.",7,1,2,0,1/7,0/1,0/2,,1/7,0/1,0/2,,,,,,1/7,0/1,0/1,,1/6,0/1,0/1,,0/7,0/1,1/2,,3.3,4.0,2.0,,0/1,,,,0/1,,,,0/1,,,,7,0,1,0,2/7,,0/1,,3.1,,1.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,University of Florida-Pensacola,,Yes,Yes,No,No,Yes,Yes,Yes
CENTER FOR ADVANCED REPRODUCTIVE ENDOCRINOLOGY,,PLANTATION,FL,82%,3%,0%,15%,62%,0%,29%,33%,10%,14%,2%,1%,11%,Mick,,Abae,", M.D.",33,16,7,5,33.3,4/16,2/7,0/5,30.3,1/16,1/7,0/5,(14.6 - 46.0),,,,30.3,1/15,1/6,0/4,32.3,1/15,1/6,0/4,0.0,1/16,1/7,1/5,3.1,3.5,4.2,6.0,3/11,1/4,0/2,,0/11,0/4,0/2,,2/10,1/1,0/1,,2,1,0,1,0/2,0/1,,0/1,3.5,2.0,,5.0,0,1,0,3,,1/1,,0/3,,3.0,,3.0,0,0,0,0,,,,,,,,,Center for Advanced Reproductive Endocrinology,,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY INSTITUTE OF FORT LAUDERDALE,,PLANTATION,FL,100%,0%,0%,0%,35%,0%,39%,13%,9%,26%,0%,4%,9%,Eliezer,J.,Livnat,", M.D.",7,5,7,1,3/7,0/5,1/7,0/1,3/7,0/5,1/7,0/1,,,,,3/7,0/5,1/6,0/1,3/7,0/3,1/6,,0/7,0/5,1/7,0/1,4.3,2.3,3.5,,2/3,,0/1,,0/3,,1/1,,2/3,,1/1,,0,1,1,0,,0/1,0/1,,,3.0,2.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Fertility Institute of Fort Lauderdale,,Yes,No,Yes,Yes,Yes,Yes,Yes
FERTILITY CENTER OF SARASOTA,"JULIO E. PABON, M.D., P.A.",SARASOTA,FL,100%,0%,0%,0%,33%,0%,24%,18%,29%,23%,6%,0%,0%,Julio,E.,Pabon,", M.D.",5,4,4,2,2/5,1/4,2/4,0/2,2/5,1/4,2/4,0/2,,,,,2/5,1/4,2/4,0/2,2/5,1/3,2/3,0/1,0/5,0/4,0/4,0/2,3.4,3.0,4.0,1.0,1/2,0/1,0/2,,0/2,0/1,1/2,,1/2,0/1,1/2,,0,0,0,0,,,,,,,,,0,0,0,2,,,,0/2,,,,3.5,0,0,0,0,,,,,,,,,"Fertility Center of Sarasota, Julio E. Pabon, M.D., P.A.",,Yes,Yes,Yes,Yes,Yes,Yes,Pending
SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,,SOUTH MIAMI,FL,96%,4%,0%,<1%,45%,<1%,26%,30%,7%,12%,1%,19%,5%,Maria,,Bustillo,", M.D.",139,67,62,40,36.0,26.9,21.0,15.0,30.9,16.4,12.9,7.5,(23.3 - 38.6),(7.5 - 25.3),(4.6 - 21.2),(0.0 - 15.7),35.8,19.6,15.4,10.0,38.1,20.0,17.0,10.7,13.7,16.4,16.1,25.0,3.4,3.8,3.8,3.8,48.0,3/18,2/13,0/6,8.0,3/18,0/13,0/6,46.5,4/11,0/8,0/3,17,2,4,1,3/17,0/2,1/4,0/1,3.5,1.5,4.8,5.0,4,2,4,15,2/4,1/2,1/4,6/15,2.8,3.0,3.3,3.2,0,0,1,1,,,1/1,0/1,,,4.0,3.0,South Florida Institute for Reproductive Medicine,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED REPRODUCTIVE TECHNOLOGIES PROGRAM AT UNIVERSITY COMMUNITY HOSPITAL,"DRS. VERKAUF, BERNHISEL AND TARANTINO",TAMPA,FL,81%,9%,4%,6%,26%,0%,34%,22%,1%,11%,0%,16%,16%,Samuel,,Tarantino,", M.D.",121,72,65,30,38.8,30.6,23.1,10.0,32.2,26.4,16.9,6.7,(23.9 - 40.6),(16.2 - 36.6),(7.8 - 26.0),(0.0 - 15.6),34.2,30.2,23.4,9.5,34.8,30.2,24.4,2/19,5.8,12.5,27.7,30.0,3.2,3.4,3.6,3.5,31.9,27.3,2/15,2/3,14.9,9.1,0/15,1/3,53.8,4/19,1/11,1/2,5,1,1,6,0/5,0/1,0/1,0/6,2.8,3.0,3.0,1.8,1,1,4,21,1/1,0/1,2/4,47.6,3.0,3.0,2.5,2.7,0,0,0,1,,,,1/1,,,,4.0,"Advanced Reproductive Technologies Program at University Community Hospital Drs. Verkauf, Bernhisel and Tarantino",,Yes,No,Yes,Yes,Yes,Yes,Yes
GENETICS & IVF OF FLORIDA,,WEST PALM BEACH,FL,100%,0%,0%,0%,8%,0%,55%,5%,6%,0%,0%,17%,17%,Gene,F.,Manko,", M.D.",2,3,5,3,0/2,0/3,1/5,1/3,0/2,0/3,1/5,0/3,,,,,0/2,0/3,1/2,0/3,0/2,0/3,1/2,0/2,0/2,0/3,3/5,0/3,2.5,2.3,2.0,3.0,,,0/1,0/1,,,0/1,0/1,,,0/1,,2,2,0,0,2/2,0/2,,,2.0,1.5,,,0,0,1,0,,,0/1,,,,6.0,,0,0,0,0,,,,,,,,,Reproductive Medicine & Genetics,,Yes,No,Yes,No,Yes,No,No
EMORY CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,,ATLANTA,GA,100%,0%,0%,0%,37%,0%,30%,17%,18%,24%,1%,4%,6%,Ana,,Murphy,", M.D.",114,42,36,14,32.5,31.0,22.2,3/14,26.3,26.2,19.4,3/14,(18.2 - 34.4),(12.9 - 39.5),(6.5 - 32.4),,34.9,35.5,7/18,3/10,40.5,42.3,7/14,3/8,24.6,26.2,50.0,4/14,2.5,3.0,3.6,3.8,24.3,6/13,2/8,0/3,13.5,3/13,1/8,0/3,40.0,7/11,3/7,0/3,24,7,4,0,29.2,2/7,1/4,,2.5,3.0,2.3,,3,0,1,6,3/3,,0/1,2/6,3.0,,3.0,2.7,0,0,1,3,,,0/1,0/3,,,2.0,2.0,Emory Center for Reproductive Medicine and Fertility,,No,No,Yes,Yes,Yes,Yes,Pending
REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GA,100%,0%,0%,0%,46%,0%,16%,15%,34%,22%,7%,6%,<1%,Joe,B.,Massey,", M.D.",427,206,166,94,39.8,32.5,20.5,11.7,33.0,30.1,14.5,6.4,(28.6 - 37.5),(23.8 - 36.4),(9.1 - 19.8),(1.4 - 11.3),38.2,36.7,19.2,9.4,39.6,39.5,20.2,10.3,13.6,18.0,24.7,31.9,3.2,3.4,3.5,3.3,29.4,28.4,32.4,2/11,9.4,9.0,0.0,0/11,40.4,38.7,45.8,1/6,110,55,34,21,14.5,16.4,14.7,19.0,3.3,3.5,3.6,3.3,16,16,19,79,4/16,6/16,5/19,50.6,3.1,2.8,2.7,2.8,10,5,12,33,1/10,1/5,2/12,15.2,4.2,2.8,3.7,3.1,Reproductive Biology Associates,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
AUGUSTA REPRODUCTIVE BIOLOGY ASSOCIATES,,AUGUSTA,GA,100%,0%,0%,0%,25%,0%,21%,30%,16%,15%,1%,17%,0%,Edouard,J.,Servy,", M.D.",36,19,7,6,27.8,5/19,0/7,1/6,27.8,3/19,0/7,0/6,(13.1 - 42.4),,,,29.4,3/17,0/5,0/5,38.5,3/16,0/5,0/5,5.6,2/19,2/7,1/6,2.5,2.7,2.8,3.4,4/10,0/5,,0/1,0/10,1/5,,0/1,4/10,0/3,,,8,1,0,0,1/8,0/1,,,1.9,1.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Augusta Reproductive Biology Associates,,Yes,No,No,No,Yes,Yes,Yes
PACIFIC IVF INSTITUTE,,HONOLULU,HI,100%,0%,0%,0%,24%,0%,34%,22%,3%,34%,<1%,2%,5%,Kenneth,K.C.,Vu,", M.D.",67,65,65,52,52.2,32.3,21.5,15.4,43.3,24.6,15.4,11.5,(31.4 - 55.1),(14.1 - 35.1),(6.6 - 24.2),(2.9 - 20.2),51.8,31.4,18.5,16.7,54.7,34.8,19.6,17.6,16.4,21.5,16.9,30.8,3.6,4.2,4.2,4.2,31.4,28.6,4/14,0/8,25.7,4.8,2/14,1/8,51.7,6/16,5/10,1/6,8,12,10,7,4/8,1/12,2/10,2/7,3.9,4.3,4.4,4.6,0,0,2,8,,,2/2,5/8,,,4.5,4.3,0,0,0,2,,,,0/2,,,,3.5,Pacific IVF Institute,,Yes,No,No,No,Yes,Yes,Yes
TRIPLER ARMY MEDICAL CENTER,,TRIPLER AMC,HI,100%,0%,0%,0%,21%,0%,48%,16%,8%,11%,0%,3%,14%,Kenneth,K.C.,Vu,", M.D.",36,11,6,0,63.9,6/11,4/6,,47.2,3/11,3/6,,(30.9 - 63.5),,,,53.1,3/11,3/6,,56.7,3/11,3/6,,11.1,0/11,0/6,,3.2,4.2,3.3,,34.8,1/6,1/4,,13.0,1/6,0/4,,9/17,2/3,0/3,,10,1,0,0,5/10,1/1,,,3.8,4.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Tripler Army Medical Center,,No,No,No,No,Yes,Yes,Yes
"MCFARLAND CLINIC, P.C.",,AMES,IA,98%,<1%,<1%,0%,61%,0%,28%,45%,9%,6%,<1%,3%,8%,Alan,K.,Munson,", M.D.",82,23,20,7,43.9,26.1,25.0,0/7,36.6,21.7,15.0,0/7,(26.2 - 47.0),(4.9 - 38.6),(0.0 - 30.6),,39.0,23.8,3/17,0/7,39.5,23.8,3/17,0/5,6.1,8.7,15.0,0/7,2.8,3.0,3.0,2.8,33.3,3/6,0/5,,5.6,0/6,0/5,,46.7,2/5,0/3,,20,3,2,3,10.0,0/3,0/2,0/3,3.4,2.7,3.0,2.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"McFarland Clinic, P.C.",,No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF IOWA HOSPITALS AND CLINICS,CENTER FOR ADVANCED REPRODUCTIVE CARE,IOWA CITY,IA,98%,0%,2%,0%,54%,0%,29%,31%,10%,10%,<1%,11%,8%,Craig,H.,Syrop,", M.D.",144,50,36,20,39.6,42.0,22.2,20.0,36.8,40.0,16.7,10.0,(28.9 - 44.7),(26.4 - 53.6),(4.5 - 28.8),(0.0 - 23.1),39.6,41.7,23.1,2/17,41.1,41.7,25.0,2/17,6.9,4.0,27.8,15.0,2.9,3.3,3.0,4.1,29.8,28.6,2/8,0/4,14.0,14.3,0/8,0/4,35.8,40.0,2/6,0/2,72,25,14,5,23.6,24.0,4/14,1/5,3.3,3.4,3.2,3.8,5,3,0,9,4/5,1/3,,3/9,3.0,3.0,,3.0,5,5,5,15,1/5,2/5,2/5,2/15,3.6,2.8,4.2,3.0,"University of Iowa Hospitals and Clinics, Center for Advanced Reproductive Care",,Yes,Yes,No,No,Yes,Yes,Yes
"MID-IOWA FERTILITY, P.C.",,WEST DES MOINES,IA,100%,0%,0%,0%,29%,0%,30%,23%,5%,24%,2%,5%,11%,Donald,C.,Young,", D.O.",81,13,11,2,33.3,1/13,1/11,0/2,27.2,1/13,1/11,0/2,(17.5 - 36.8),,,,30.1,1/11,1/10,0/1,36.7,1/9,1/8,0/1,9.9,2/13,1/11,1/2,3.1,2.9,3.6,5.0,25.9,0/1,0/1,,11.1,0/1,0/1,,40.9,0/1,0/1,,12,2,2,0,0/12,0/2,0/2,,2.8,3.5,3.5,,0,1,0,2,,0/1,,0/2,,5.0,,4.0,1,0,0,0,0/1,,,,4.0,,,,"Mid-Iowa Fertility, P.C.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED INSTITUTE OF FERTILITY,,ARLINGTON HEIGHTS,IL,94%,0%,0%,6%,68%,0%,9%,41%,23%,9%,9%,9%,0%,K.,P.,Katayama,", M.D.",18,10,2,1,6/18,2/10,0/2,0/1,6/18,2/10,0/2,0/1,,,,,6/16,2/9,0/2,0/1,6/15,2/6,0/2,0/1,2/18,1/10,0/2,0/1,4.0,3.0,3.5,4.0,2/6,0/2,,,1/6,0/2,,,3/6,0/2,,,2,3,0,0,0/2,2/3,,,3.5,3.7,,,0,1,1,1,,1/1,0/1,1/1,,3.0,2.0,2.0,0,0,2,0,,,0/2,,,,2.5,,Advanced Institute of Fertility,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,,AURORA,IL,99%,<1%,0%,0%,30%,0%,21%,34%,30%,14%,0%,<1%,0%,Zvi,,Binor,", M.D.",54,35,9,7,18.5,8.6,0/9,1/7,14.8,5.7,0/9,0/7,(5.3 - 24.3),(0.0 - 13.4),,,18.6,6.9,0/5,0/5,19.5,7.1,0/4,0/5,20.4,17.1,4/9,2/7,3.7,4.1,5.0,5.0,0/10,2/3,,0/1,2/10,0/3,,0/1,1/8,2/2,,,5,0,1,1,0/5,,0/1,0/1,3.6,,1.0,2.0,0,0,0,1,,,,0/1,,,,3.0,0,0,0,0,,,,,,,,,Rush-Copley Center for Reproductive Health,,Yes,No,Yes,No,Yes,Yes,Pending
CENTER FOR HUMAN REPRODUCTION,,CHICAGO,IL,100%,0%,0%,<1%,67%,0%,16%,17%,22%,17%,1%,25%,2%,Vishvanath,C.,Karande,", M.D.",584,277,188,55,28.4,25.6,14.9,14.5,22.4,19.1,11.7,9.1,(19.0 - 25.8),(14.5 - 23.8),(7.1 - 16.3),(1.5 - 16.7),25.0,23.6,16.1,12.8,31.6,29.9,21.6,17.9,10.3,18.8,27.1,29.1,3.0,3.1,3.3,3.3,30.1,28.2,25.0,2/8,12.7,18.3,7.1,1/8,42.0,41.5,31.8,2/5,132,65,22,16,36.4,30.8,18.2,2/16,2.8,2.9,3.2,3.2,12,14,6,32,4/12,4/14,1/6,40.6,2.8,3.4,2.5,3.0,9,6,4,8,1/9,1/6,0/4,2/8,2.7,3.7,3.5,2.5,Center for Human Reproduction,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"IVF ILLINOIS, INC.",,CHICAGO,IL,100%,0%,0%,<1%,61%,0%,26%,19%,24%,9%,1%,2%,19%,Aaron,S.,Lifchez,", M.D.",299,165,157,117,31.1,21.2,19.7,7.7,27.8,17.6,15.3,6.8,(22.7 - 32.8),(11.8 - 23.4),(9.7 - 20.9),(2.3 - 11.4),30.7,21.8,18.2,8.8,32.2,22.8,20.7,10.7,9.7,19.4,15.9,22.2,3.0,2.8,2.7,2.4,34.4,25.7,16.1,0/9,7.5,0.0,0.0,0/9,39.8,31.0,16.7,0/8,28,7,8,1,14.3,1/7,1/8,0/1,3.2,2.9,3.1,1.0,4,7,7,33,0/4,2/7,0/7,27.3,3.5,2.9,3.3,3.3,0,0,0,0,,,,,,,,,"IVF Illinois, Inc.",,Yes,No,Yes,Yes,Yes,Yes,Yes
NORTHWESTERN UNIVERSITY,,CHICAGO,IL,99%,0%,<1%,0%,49%,0%,15%,28%,20%,9%,1%,14%,13%,Edmond,,Confino,", M.D.",65,36,40,25,44.6,44.4,35.0,8.0,38.5,30.6,27.5,8.0,(26.6 - 50.3),(15.5 - 45.6),(13.7 - 41.3),(0.0 - 18.6),38.5,31.4,28.2,8.0,41.0,31.4,28.2,8.3,0.0,2.8,2.5,0.0,3.7,4.2,5.0,5.3,34.5,6/16,4/14,0/2,3.4,2/16,3/14,0/2,40.0,6/11,5/11,0/2,25,8,9,16,36.0,2/8,2/9,4/16,3.6,3.6,3.8,4.2,2,2,4,6,0/2,1/2,0/4,2/6,3.0,2.5,4.5,3.7,0,1,0,1,,0/1,,1/1,,4.0,,4.0,Northwestern University,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
RUSH CENTER FOR ADVANCED REPRODUCTIVE CARE,,CHICAGO,IL,94%,3%,2%,<1%,26%,0%,24%,15%,29%,18%,7%,7%,<1%,Zvi,,Binor,", M.D.",110,64,47,62,21.8,20.3,19.1,3.2,10.9,18.8,6.4,1.6,(5.1 - 16.7),(9.2 - 28.3),(0.0 - 13.4),(0.0 - 4.7),13.8,26.1,10.0,3.1,15.4,30.8,11.1,3.6,20.9,28.1,36.2,48.4,4.0,4.0,4.2,3.0,8.3,3/13,1/9,0/2,12.5,3/13,2/9,0/2,5/12,6/12,1/3,0/1,5,1,0,0,0/5,0/1,,,2.8,1.0,,,1,1,0,2,0/1,0/1,,0/2,1.0,1.0,,4.5,0,0,0,0,,,,,,,,,Rush Center for Advanced Reproductive Care,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"WATER TOWER WOMEN'S CENTER, LLC",,CHICAGO,IL,96%,2%,2%,0%,16%,0%,2%,3%,59%,16%,2%,18%,0%,Jan,,Friberg,", M.D.",7,6,11,20,1/7,1/6,2/11,5.0,0/7,1/6,0/11,5.0,,,,(0.0 - 14.6),0/7,1/6,0/11,1/18,0/4,1/4,0/10,1/10,0/7,0/6,0/11,10.0,5.3,3.8,3.7,2.5,0/1,0/1,0/2,0/1,0/1,1/1,0/2,1/1,,1/1,,1/1,2,1,3,2,1/2,0/1,0/3,1/2,3.0,0.0,3.7,2.5,2,1,0,3,0/2,1/1,,1/3,3.5,3.0,,3.3,0,1,0,1,,0/1,,0/1,,2.0,,3.0,"Water Tower Women's Center, LLC",,Yes,Yes,Yes,No,Yes,Yes,No
MIDWEST FERTILITY CENTER,,DOWNERS GROVE,IL,100%,0%,0%,0%,17%,0%,21%,27%,7%,36%,4%,5%,0%,Amos,E.,Madanes,", M.D.",80,24,20,8,25.0,29.2,10.0,1/8,17.5,29.2,10.0,1/8,(9.2 - 25.8),(11.0 - 47.4),(0.0 - 23.1),,20.9,33.3,2/13,1/6,23.0,7/18,2/10,1/6,16.3,12.5,35.0,2/8,3.5,3.5,3.5,2.7,10.0,2/7,0/2,1/1,20.0,0/7,0/2,0/1,5/14,2/7,0/2,1/1,3,0,0,3,0/3,,,0/3,4.0,,,3.0,1,0,0,0,0/1,,,,1.0,,,,0,0,1,1,,,0/1,0/1,,,1.0,2.0,Midwest Fertility Center,,Yes,No,Yes,Yes,Yes,Yes,Pending
ADVANCED FERTILITY CENTER OF CHICAGO,,GURNEE,IL,100%,0%,0%,0%,28%,0%,20%,22%,6%,21%,1%,18%,12%,Richard,P.,Sherbahn,", M.D.",56,9,13,4,53.6,2/9,6/13,2/4,46.4,2/9,5/13,1/4,(33.4 - 59.5),,,,51.0,2/8,5/13,1/3,52.0,2/8,5/13,1/3,8.9,1/9,0/13,1/4,3.2,3.4,3.5,3.0,36.7,1/2,1/6,1/2,6.7,0/2,0/6,0/2,38.5,1/2,1/5,0/1,5,2,0,0,2/5,0/2,,,2.8,3.0,,,8,0,4,6,3/8,,2/4,1/6,3.4,,3.3,2.7,2,0,0,1,0/2,,,0/1,4.0,,,4.0,Advanced Fertility Center of Chicago,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
HIGHLAND PARK HOSPITAL IVF CENTER,,HIGHLAND PARK,IL,100%,0%,0%,<1%,77%,0%,20%,29%,15%,12%,<1%,21%,2%,Edward,L.,Marut,", M.D.",208,114,134,50,47.6,35.1,28.4,10.0,45.7,27.2,23.1,4.0,(38.9 - 52.4),(19.0 - 35.4),(16.0 - 30.3),(0.0 - 9.4),54.6,33.3,31.3,6.3,54.6,33.3,32.3,6.9,16.3,18.4,26.1,36.0,3.6,4.1,4.5,5.1,30.3,27.5,31.6,0/5,20.2,20.0,13.2,0/5,50.5,38.7,29.0,0/2,14,4,5,2,1/14,0/4,0/5,0/2,4.1,4.0,3.2,3.0,2,4,2,11,0/2,2/4,1/2,5/11,3.5,4.5,4.0,3.9,0,0,0,3,,,,1/3,,,,3.3,Highland Park Hospital IVF Center,,Yes,Yes,Yes,Yes,Yes,Yes,Pending
HINSDALE CENTER FOR REPRODUCTION,,HINSDALE,IL,100%,0%,0%,0%,50%,0%,16%,2%,21%,34%,16%,9%,2%,Jay,H.,Levin,", M.D.",39,10,9,2,30.8,5/10,1/9,0/2,23.1,2/10,1/9,0/2,(9.9 - 36.3),,,,23.1,2/10,1/9,0/2,24.3,2/10,1/8,0/2,0.0,0/10,0/9,0/2,3.8,4.0,3.9,5.0,3/12,0/5,0/1,,4/12,1/5,1/1,,4/9,0/2,1/1,,1,0,0,0,1/1,,,,4.0,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Hinsdale Center for Reproduction,,Yes,Yes,No,Yes,Yes,Yes,Yes
"REPRODUCTIVE HEALTH SPECIALISTS, LTD.",,JOLIET,IL,100%,0%,0%,0%,9%,0%,46%,9%,0%,36%,0%,9%,0%,Marek,W.,Piekos,", M.D.",14,9,7,3,5/14,0/9,0/7,0/3,3/14,0/9,0/7,0/3,,,,,3/13,0/5,0/4,0/3,3/12,0/5,0/2,,1/14,4/9,3/7,0/3,3.5,3.0,2.0,,0/5,,,,2/5,,,,2/3,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Reproductive Health Specialists, Ltd.",,Yes,No,Yes,No,Yes,Yes,Yes
OAK BROOK FERTILITY CENTER,,OAK BROOK,IL,98%,0%,2%,0%,62%,0%,12%,2%,33%,42%,4%,7%,0%,W. Paul,,Dmowski,", M.D., Ph.D.",25,14,11,15,52.0,7/14,5/11,0/15,40.0,6/14,3/11,0/15,(20.8 - 59.2),,,,40.0,6/14,3/8,0/9,41.7,6/13,3/8,0/4,0.0,0/14,3/11,6/15,2.7,2.5,3.1,3.0,4/13,1/7,1/5,,1/13,0/7,1/5,,5/10,0/6,0/3,,2,2,1,0,1/2,0/2,0/1,,3.0,2.5,3.0,,1,1,1,5,1/1,0/1,1/1,2/5,3.0,2.0,2.0,2.8,0,2,0,2,,0/2,,1/2,,2.0,,2.0,Oak Brook Fertility Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"REENA JABAMONI, M.D.",,OAKBROOK,IL,100%,0%,0%,0%,21%,0%,26%,11%,19%,28%,4%,4%,8%,Reena,,Jabamoni,", M.D.",29,7,7,5,44.8,4/7,2/7,1/5,41.4,4/7,2/7,1/5,(23.5 - 59.3),,,,41.4,4/6,2/7,1/4,42.9,4/6,2/5,1/3,0.0,1/7,0/7,1/5,3.2,3.7,3.2,4.0,4/13,1/4,0/2,0/1,2/13,1/4,0/2,0/1,6/12,2/4,0/2,0/1,1,0,0,0,0/1,,,,3.0,,,,1,0,0,2,0/1,,,1/2,4.0,,,3.5,0,0,0,0,,,,,,,,,"Reena Jabamoni, M.D.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LUTHERAN GENERAL HOSPITAL IVF PROGRAM,,PARK RIDGE,IL,94%,<1%,0%,6%,50%,0%,18%,14%,44%,16%,0%,1%,7%,John,J.,Rapisarda,", M.D.",109,42,50,20,32.1,23.8,4.0,5.0,30.3,21.4,2.0,5.0,(21.6 - 38.9),(9.0 - 33.8),(0.0 - 5.9),(0.0 - 14.6),33.3,25.7,3.6,1/16,34.4,26.5,3.8,1/15,9.2,16.7,44.0,20.0,3.7,3.4,3.8,4.3,31.4,0/10,0/2,0/1,11.4,0/10,0/2,0/1,36.4,0/9,0/1,0/1,31,20,17,3,19.4,15.0,1/17,0/3,3.8,3.9,4.2,1.7,1,0,2,2,0/1,,0/2,2/2,4.0,,3.0,3.5,1,1,3,6,1/1,0/1,0/3,1/6,4.0,6.0,3.7,3.7,Lutheran General Hospital IVF Program,,Yes,No,Yes,No,Yes,Yes,Yes
"ADVANCED REPRODUCTIVE CENTER, LTD.",,ROCKFORD,IL,88%,6%,6%,0%,52%,0%,31%,33%,14%,14%,4%,4%,0%,John,P.,Holden,", M.D.",35,12,16,3,60.0,6/12,2/16,0/3,51.4,5/12,2/16,0/3,(34.9 - 68.0),,,,52.9,5/12,2/12,0/2,52.9,5/12,2/10,0/2,2.9,0/12,4/16,1/3,3.0,3.6,3.8,3.0,47.6,1/6,0/2,,9.5,0/6,0/2,,10/18,1/5,0/2,,3,1,0,0,1/3,0/1,,,3.0,1.0,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,"Advanced Reproductive Center, Ltd.",,Yes,No,No,Yes,Yes,Yes,Yes
