PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
BETHESDA CENTER FOR REPRODUCTIVE HEALTH & FERTILITY,,CINCINNATI,OHIO,100%,0%,0%,0%,41%,0%,24%,4%,18%,3%,<1%,15%,2%,12%,11%,11%,"Glen E. Hofmann, M.D., Ph.D.",84,34,31,15,39.3,32.4,22.6,0.066666667,39.3,29.4,19.4,0.066666667,-20.9,-30.6,-27.9,=,45.2,30.3,26.1,0.111111111,46.5,33.3,26.1,0.111111111,13.1,2.9,25.8,0.4,2.6,2.8,3.2,3,39.4,0.090909091,0.142857143,0,3,0.090909091,0,0,39.4,0.2,0.166666667,0,14,11,3,1,0.214285714,0.181818182,0.333333333,0,2,2.5,2,4,29,14,44.8,0.214285714,2.3,2.5,Bethesda Center for Reproductive Health & Fertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE HEALTH,,CINCINNATI,OHIO,100%,0%,0%,0%,50%,0%,11%,<1%,11%,5%,5%,15%,<1%,<1%,16%,34%,"Michael A. Thomas, M.D.",55,21,6,0,29.1,38.1,0.166666667,=,27.3,28.6,0.166666667,=,-23.5,-38.7,=,=,30,0.352941176,0.25,=,34.1,0.352941176,0.25,=,9.1,19,0.333333333,=,2.7,2.6,4,=,0.4375,0.5,0,=,0,0,0,=,0.4,0.5,0,=,17,7,2,0,0.411764706,0.142857143,0.5,=,2.9,3,3,=,18,17,0.666666667,0.294117647,2.9,2.3,Center for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes
INSTITUTE FOR REPRODUCTIVE HEALTH,,CINCINNATI,OHIO,>99%,<1%,0%,0%,45%,0%,13%,4%,3%,13%,<1%,12%,1%,5%,22%,26%,"Sherif G. Awadalla, M.D.",310,124,87,14,39,37.9,31,0,36.1,29.8,23,0,-10.7,-16.1,-17.7,=,41.5,34.9,29,0,42.6,35.6,29.9,0,12.9,14.5,20.7,0.285714286,2.7,3.6,3.8,4.8,26.4,10.6,25.9,=,5,10.6,3.7,=,33,27,35,=,76,27,22,4,22.4,18.5,13.6,0.5,3.1,3.1,3.4,3.8,42,36,47.6,19.4,3,3,Institute for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes
METROHEALTH MEDICAL CENTER FERTILITY CLINIC,,CLEVELAND,OHIO,100%,0%,0%,0%,19%,0%,31%,0%,11%,11%,8%,15%,4%,4%,8%,8%,"Khalid M. Ataya, M.D.",7,5,6,1,0.428571429,0,0.166666667,0,0.285714286,0,0.166666667,0,=,=,=,=,0.333333333,0,0.2,0,0.333333333,0,0.2,0,0.142857143,0.4,0.166666667,0,2.3,2.7,2.4,4,0,=,0,=,0.333333333,=,1,=,0,=,1,=,1,0,4,0,0,=,0,=,3,=,2,=,0,0,=,=,=,=,MetroHealth Medical Center Fertility Clinic,No,No,Yes,No,Yes,Yes,Yes
OHIO REPRODUCTIVE MEDICINE,,COLUMBUS,OHIO,>99%,<1%,<1%,0%,37%,0%,25%,3%,4%,12%,1%,22%,2%,24%,2%,5%,"Grant Schmidt, M.D., Ph.D.",253,126,111,25,41.5,31,27,16,37.5,29.4,20.7,16,-11.9,-15.9,-15.1,-28.8,40.4,33,23.7,19,41.3,34.6,25,0.210526316,7.1,11.1,12.6,16,2.7,3.2,3.3,4,32.4,30.8,33.3,0.25,10.5,12.8,0,0,37.9,37.8,26.1,0.25,55,17,14,3,27.3,0.352941176,0.142857143,0,2.5,2.4,2.1,2.3,14,15,0.357142857,0.066666667,2.5,2.8,"Ohio Reproductive Medicine, Ohio State University",Yes,Yes,Yes,No,Yes,Yes,Yes
MIAMI VALLEY HOSPITAL FERTILITY CENTER,,DAYTON,OHIO,100%,0%,0%,0%,44%,0%,21%,2%,19%,3%,0%,9%,1%,0%,9%,36%,"Parvis Daneshjoo, M.D.",30,6,2,5,13.3,0.166666667,0,0,13.3,0.166666667,0,0,-24.3,=,=,=,17.4,0.166666667,0,0,0.222222222,0.25,0,0,23.3,0,0,0.2,2.6,2.5,3,2,0.25,0,=,=,0.25,0,=,=,0.5,0,=,=,11,6,2,2,0.181818182,0.166666667,0,0.5,3,3.2,3.5,3,10,12,0.1,0.166666667,2.9,3.2,Miami Valley Hospital Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
KETTERING REPRODUCTIVE MEDICINE,,KETTERING,OHIO,100%,0%,0%,0%,41%,0%,8%,6%,6%,4%,0%,12%,0%,3%,16%,45%,"Mark C. Bidwell, M.D.",54,2,8,2,18.5,0,0.125,0,16.7,0,0.125,0,-19.9,=,=,=,21.4,0,0.142857143,0,23.1,0,0.166666667,0,22.2,0,0.125,0.5,3,4,3.2,3,0.4,=,0,=,0.2,=,0,=,0.555555556,=,0,=,13,3,1,0,0.076923077,0,0,=,2.8,3.7,4,=,4,1,0.5,0,2.5,1,Kettering Reproductive Medicine,Yes,Yes,No,Yes,Yes,Yes,Yes
FERTILITY CENTER OF NORTHWESTERN OHIO,,TOLEDO,OHIO,100%,0%,0%,0%,29%,0%,34%,7%,1%,3%,2%,16%,4%,8%,16%,9%,"Joseph V. Karnitis, M.D.",57,25,16,0,22.8,32,0.3125,=,15.8,24,0.1875,=,-19,-33.4,=,=,20.9,0.352941176,0.25,=,29,0.461538462,0.3,=,24.6,32,0.25,=,2.6,2.8,2.7,=,0.230769231,0,0.2,=,0.076923077,0,0,=,0.333333333,0,0,=,11,8,4,0,0.272727273,0,0,=,2.1,2,3,=,4,3,0,0.333333333,2.8,1.7,Fertility Center of Northwestern Ohio,Yes,No,Yes,Yes,Yes,Yes,Yes
THE REPRODUCTIVE CENTER,,YOUNGSTOWN,OHIO,100%,0%,0%,0%,65%,0%,14%,4%,11%,4%,0%,38%,0%,<1%,4%,24%,"Robert L. Collins, M.D.",43,19,10,6,14,0.157894737,0,0.166666667,14,0.157894737,0,0.166666667,-20.7,=,=,=,15.4,0.230769231,0,0.166666667,15.4,0.230769231,0,0.166666667,9.3,0.315789474,0.1,0,3.8,4.2,4.1,3.7,0.166666667,0,=,1,0.166666667,0,=,0,0.333333333,0,=,1,15,3,3,0,0,0,0,=,3.5,2.7,3.3,=,11,5,0.363636364,0.2,3.9,4,The Reproductive Center,Yes,Yes,Yes,No,Yes,Yes,Yes
"HENRY G. BENNETT, JR., FERTILITY INSTITUTE",,OKLAHOMA CITY,OKLAHOMA,100%,0%,0%,0%,38%,0%,16%,11%,<1%,8%,0%,18%,<1%,2%,26%,17%,"Eli Reshef, M.D.",104,60,41,4,47.1,40,31.7,0.25,41.3,35,22,0,-18.9,-24.2,-25.3,=,43.4,40.4,25.7,0,46.7,42.9,26.5,0,4.8,13.3,14.6,0,2.7,2.7,2.6,3.3,24.5,25,0.153846154,0,10.2,8.3,0,0,39.5,33.3,0.111111111,=,13,12,1,1,0.076923077,0.083333333,0,0,2.5,2.8,2,4,12,10,0.416666667,0.2,3.1,2.5,"Henry G. Bennett, Jr., Fertility Institute",Yes,Yes,No,No,Yes,Yes,Yes
"CENTER FOR REPRODUCTIVE HEALTH, P.C.",,OKLAHOMA CITY,OKLAHOMA,100%,0%,0%,0%,38%,0%,25%,0%,9%,1%,1%,30%,9%,10%,6%,9%,"Gilbert G. Haas, Jr., M.D.",22,7,7,0,22.7,0,0.428571429,=,22.7,0,0.142857143,=,-35,=,=,=,25,0,0.166666667,=,0.294117647,0,0.2,=,9.1,0.285714286,0.142857143,=,2,2.4,2.6,=,0.2,=,0,=,0,=,0,=,0.2,=,0,=,13,3,1,0,0.153846154,0.333333333,0,=,2,1.7,2,=,4,7,0.25,0,2,2.1,"Center for Reproductive Health, P.C.",Yes,Yes,No,No,Yes,Yes,Yes
TULSA CENTER FOR FERTILITY & WOMEN'S HEALTH,,TULSA ,OKLAHOMA,99%,<1%,<1%,0%,44%,0%,17%,10%,2%,10%,<1%,21%,12%,8%,8%,11%,"Stanley G. Prough, M.D.",95,33,18,5,46.3,21.2,0.166666667,0.2,43.2,18.2,0.166666667,0.2,-19.9,-26.3,=,=,51.3,23.1,0.230769231,0.25,52.6,24,0.230769231,0.333333333,15.8,21.2,0.277777778,0.2,2.8,3.2,2.8,3.7,38.6,0.571428571,0,0,6.8,0,0,0,46.3,0.666666667,0,0,16,2,4,1,0.3125,0,0,0,2.8,3,3,3,8,3,0.25,0.666666667,2.6,2.3,Tulsa Center for Fertility & Women's Health,Yes,Yes,No,No,Yes,Yes,Yes
NORTHWEST FERTILITY CENTER,,PORTLAND,OREGON,100%,0%,0%,0%,48%,0%,14%,3%,2%,12%,1%,17%,19%,1%,15%,16%,"Eugene M. Stoelk, M.D.",54,20,7,7,42.6,20,0.142857143,0.285714286,37,20,0,0.285714286,-25.7,-35,=,=,37.7,20,0,0.285714286,43.5,0.222222222,0,0.333333333,1.9,0,0.142857143,0,2.7,3.1,3,3.5,17.4,0.5,0,0,4.3,0.25,0,0,25,0.75,=,0,24,8,4,1,12.5,0.125,0,1,2.9,2.9,2.5,2,24,22,20.8,27.3,2.3,3,Northwest Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
PORTLAND CENTER FOR REPRODUCTIVE MEDICINE,,PORTLAND,OREGON,100%,0%,0%,0%,45%,0%,7%,3%,11%,5%,2%,15%,8%,8%,11%,30%,"Robert K. Matteri, M.D.",75,27,32,9,45.3,40.7,31.3,0.111111111,42.7,40.7,28.1,0.111111111,-22.4,-37.1,-31.2,=,50.8,50,45,0.142857143,53.3,0.578947368,0.473684211,0.142857143,16,18.5,37.5,0.222222222,2.9,3.6,3.6,4,44.1,0.636363636,0.3,1,8.8,0.090909091,0.1,0,46.9,0.636363636,0.333333333,1,3,2,2,0,0.333333333,0.5,0.5,=,4.3,3.5,3.5,=,44,2,72.7,0,2.8,1.5,Portland Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY FERTILITY CONSULTANTS,OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OREGON,100%,0%,0%,0%,36%,0%,18%,4%,10%,9%,<1%,21%,3%,6%,9%,19%,"Marsha J. Gorrill, M.D.",137,77,67,14,32.8,32.5,17.9,0.142857143,28.5,28.6,14.9,0.142857143,-15.1,-20.2,-17.1,=,36.8,40.7,18.9,0.2,40.6,44,22.2,0.333333333,22.6,29.9,20.9,0.285714286,2.4,2.6,3.1,3,28.9,32,0.333333333,0.5,4.4,8,0,0,33.3,31.8,0.4,0.5,23,17,14,5,26.1,0.058823529,0.285714286,0.2,2.3,2.3,2.4,2,42,29,52.4,10.3,2.2,2.2,"University Fertility Consultants, Oregon Health & Science University",Yes,Yes,Yes,Yes,Yes,Yes,Yes
TOLL CENTER FOR REPRODUCTIVE SCIENCES AT ABINGTON MEMORIAL HOSPITAL,"ABINGTON REPRODUCTIVE MEDICINE, P.C.",ABINGTON,PENNSYLVANIA,>99%,0%,<1%,0%,42%,0%,15%,9%,8%,9%,0%,27%,7%,3%,12%,10%,"Stephen G. Somkuti, M.D., Ph.D.",111,63,42,10,35.1,14.3,21.4,0,30.6,7.9,14.3,0,-17.1,-13.3,-21.2,=,33.3,9.4,16.2,0,34.7,9.8,16.7,0,8.1,15.9,11.9,0,3.8,3.7,4.2,3.2,23.1,0.333333333,0,=,20.5,0,0.111111111,=,41.2,0.2,0.166666667,=,35,21,9,5,28.6,19,0,0.2,3.6,3.3,3.1,3.8,14,13,0.071428571,0.230769231,3.5,4.1,"Toll Center for Reproductive Sciences, Abington Reproductive Medicine, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"INFERTILITY SOLUTIONS, P.C.",,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,69%,0%,12%,8%,6%,13%,0%,19%,0%,6%,7%,29%,"Bruce I. Rose, M.D., Ph.D.",34,19,10,5,11.8,0.052631579,0.1,0,8.8,0.052631579,0.1,0,-18.4,=,=,=,9.1,0.0625,0.1,0,10.3,0.083333333,0.1,0,2.9,0.157894737,0,0.6,3.3,2.8,4.9,3,0.25,0,0,=,0,0,0,=,0.333333333,0,0,=,6,2,2,0,0.333333333,0.5,0,=,2.5,2.5,2,=,1,0,1,=,3,=,"Infertility Solutions, P.C.",Yes,Yes,Yes,No,Yes,Yes,Yes
REPRODUCTIVE ENDOCRINOLOGY & INFERTILITY SPECIALISTS,,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,52%,0%,17%,2%,3%,0%,0%,29%,3%,8%,5%,33%,"Albert J. Peters, D.O.",38,29,28,9,31.6,27.6,17.9,0.222222222,28.9,20.7,10.7,0.222222222,-28.9,-29.5,-22.2,=,31.4,25,0.166666667,0.285714286,31.4,26.1,0.166666667,0.4,7.9,17.2,35.7,0.222222222,4.2,4.3,4.4,5,0.416666667,0.375,0,0,0.083333333,0,0,0,0.454545455,0.333333333,0,0,0,1,0,1,=,0,=,0,=,1,=,1,0,0,=,=,=,=,Reproductive Endocrinology & Infertility Specialists,No,No,Yes,No,Yes,Yes,Pending
"REPROTECH, INC",,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,0%,0%,75%,0%,0%,0%,25%,0%,0%,0%,0%,0%,"Eric Rittenhouse, M.D.",5,0,2,0,0.6,=,0,=,0.6,=,0,=,=,=,=,=,0.6,=,0,=,0.6,=,0,=,0,=,0,=,4,=,3,=,0.333333333,=,=,=,0,=,=,=,0.333333333,=,=,=,0,0,1,0,=,=,0,=,=,=,3,=,0,0,=,=,=,=,"Reprotech, Inc",Yes,Yes,Yes,Yes,Yes,Yes,No
FAMILY FERTILITY CENTER,,BETHLEHEM,PENNSYLVANIA,100%,0%,0%,0%,62%,0%,14%,0%,8%,0%,0%,15%,0%,2%,15%,46%,"H. Christina Lee, M.D.",25,11,5,1,28,0.636363636,0.2,0,20,0.454545455,0.2,0,-31.4,=,=,=,20.8,0.454545455,0.25,0,21.7,0.454545455,0.25,0,4,0,0.2,0,3.9,4.7,5.3,1,0.142857143,0.142857143,1,=,0.285714286,0,0,=,0.6,0.2,1,=,0,0,0,0,=,=,=,=,=,=,=,=,2,0,0.5,=,2.5,=,Family Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes
IVF MARRERO,,BRIDGEVILLE,PENNSYLVANIA,98%,0%,2%,0%,48%,0%,0%,11%,0%,6%,0%,0%,2%,4%,45%,32%,"Miguel A. Marrero, M.D.",28,7,3,4,17.9,0.285714286,0.333333333,0,17.9,0,0.333333333,0,-28.3,=,=,=,18.5,0,0.333333333,0,19.2,0,0.333333333,0,3.6,0.142857143,0,0.25,3.9,2.7,2.3,6,0.4,0,0,=,0,0,0,=,0.4,=,0,=,4,2,1,1,0,0.5,0,0,4.5,3,5,4,1,0,0,=,3,=,IVF Marrero,Yes,No,Yes,No,Yes,No,Yes
"MAIN LINE FERTILITY AND REPRODUCTIVE MEDICINE, LTD.",,BRYN MAWR,PENNSYLVANIA,>99%,<1%,0%,0%,24%,<1%,21%,3%,3%,4%,2%,18%,26%,12%,6%,5%,"Michael J. Glassner, M.D.",103,72,71,36,26.2,23.6,15.5,5.6,23.3,16.7,12.7,2.8,-16.4,-17.2,-15.5,-8.1,25.8,18.5,13.8,3.8,28.2,20.3,15,4.5,9.7,9.7,8.5,27.8,3.9,4,3.7,4,25.9,0.117647059,0.181818182,0,11.1,0.058823529,0.181818182,0,37.5,0.083333333,0.333333333,0,35,20,20,2,25.7,15,20,0,3.6,3.8,3.4,5,2,0,0.5,=,4.5,=,"Main Line Fertility and Reproductive Medicine, Ltd.",Yes,No,Yes,Yes,Yes,Yes,Yes
GEISINGER MEDICAL CENTER FERTILITY PROGRAM,,DANVILLE,PENNSYLVANIA,100%,0%,0%,0%,48%,7%,32%,0%,4%,0%,1%,27%,9%,21%,0%,6%,"Latif L. Awad, M.D.",20,9,9,2,20,0.111111111,0.222222222,0,15,0,0.111111111,0,-30.6,=,=,=,15,0,0.142857143,=,0.166666667,0,0.142857143,=,0,0.111111111,0.222222222,1,3,3.3,3.3,=,0.5,0,0,=,0.25,0,0,=,0.333333333,=,0,=,10,5,0,0,0.2,0,=,=,2.6,2.8,=,=,4,3,0,0,2.8,2.7,Geisinger Medical Center Fertility Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MILTON S. HERSHEY MEDICAL CENTER,,HERSHEY,PENNSYLVANIA,100%,0%,0%,0%,39%,0%,31%,16%,2%,11%,<1%,10%,6%,14%,3%,6%,"William C. Dodson, M.D.",72,18,11,1,12.5,0.055555556,0.272727273,0,8.3,0,0.181818182,0,-12.8,=,=,=,9.7,0,0.2,0,12.5,0,0.25,=,13.9,0.111111111,0.090909091,0,2.5,2.6,2.5,=,0.111111111,0,0,=,0,0,0,=,0,=,0,=,25,4,6,1,4,0,0,0,2.2,2.5,2,3,3,3,0,0.333333333,2.7,2,Milton S. Hershey Medical Center,Yes,No,No,No,Yes,Yes,Yes
"JENKINTOWN REPRODUCTIVE ENDOCRINE & GYNECOLOGY ASSOCIATES, P.C.",,JENKINTOWN,PENNSYLVANIA,100%,0%,0%,0%,27%,0%,6%,0%,6%,0%,0%,0%,0%,0%,54%,34%,"Jeffrey S. Chase, M.D.",8,2,0,1,0.375,0.5,=,0,0.375,0.5,=,0,=,=,=,=,0.5,0.5,=,0,0.5,1,=,0,0.25,0,=,0,4.3,4,=,4,0,1,=,=,0.333333333,0,=,=,0.333333333,0,=,=,0,0,0,0,=,=,=,=,=,=,=,=,13,4,0.153846154,0,5.2,2.3,"Jenkintown Reproductive Endocrine & Gynecology Associates, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
"NORTHERN FERTILITY AND REPRODUCTIVE ASSOCIATES, P.C.",,MEADOWBROOK,PENNSYLVANIA,100%,0%,0%,0%,41%,0%,6%,4%,10%,11%,0%,20%,1%,4%,20%,24%,"Martin F. Freedman, M.D.",66,25,22,2,48.5,28,22.7,0.5,45.5,24,13.6,0.5,-24.1,-33.4,-28,=,50,26.1,15,0.5,50.8,28.6,0.157894737,0.5,9.1,8,9.1,0,2.9,3.2,3.7,5,25,0.285714286,0,0,6.3,0.142857143,0.2,0,26.7,0.5,0.333333333,0,11,8,5,1,0.454545455,0.375,0.4,0,3.5,2.8,3.2,2,11,7,0.090909091,0.285714286,2.9,3.1,"Northern Fertility and Reproductive Associates, P.C.",Yes,Yes,Yes,Yes,Yes,Yes,Yes
PENNSYLVANIA REPRODUCTIVE ASSOCIATES,"WOMEN'S INSTITUTE FOR FERTILITY, ENDOCRINOLOGY, AND MENOPAUSE",PHILADELPHIA ,PENNSYLVANIA,100%,0%,0%,0%,51%,0%,13%,<1%,10%,5%,5%,18%,3%,15%,16%,14%,"Stephen L. Corson, M.D.",149,73,72,22,31.5,27.4,26.4,36.4,26.8,23.3,15.3,22.7,-14.3,-19.4,-16.6,-35,28,25.8,19,23.8,30.5,29.3,19,25,4,9.6,19.4,4.5,2.8,3.2,2.9,3.2,36.2,25,0.052631579,0.125,6.4,10,0.052631579,0,40,0.294117647,0.090909091,0.2,7,5,1,1,0.285714286,0,0,0,2.4,1.8,1,3,54,1,48.1,0,2.8,1,"Pennsylvania Reproductive Associates, Women's Institute for Fertility, Endocrinology, and Menopause",Yes,Yes,Yes,Yes,Yes,Yes,Yes
THOMAS JEFFERSON IVF PROGRAM,,PHILADELPHIA ,PENNSYLVANIA,100%,0%,0%,0%,21%,0%,36%,9%,0%,20%,2%,7%,11%,5%,5%,5%,"Gregory T. Fossum, M.D.",10,8,4,7,0.6,0,0,0.285714286,0.5,0,0,0.285714286,=,=,=,=,0.625,0,0,0.333333333,0.625,0,0,0.5,0.2,0,0.25,0.142857143,3.8,3.5,2.7,3.8,0.333333333,=,=,0,0.166666667,=,=,0,0.6,=,=,0,0,2,3,0,=,0,0,=,=,3.5,5,=,2,2,0,0,4,4,Thomas Jefferson IVF Program,Yes,No,Yes,No,Yes,No,Yes
UNIVERSITY OF PENNSYLVANIA,,PHILADELPHIA ,PENNSYLVANIA,>99%,<1%,0%,0%,20%,0%,14%,1%,3%,9%,4%,11%,11%,11%,21%,15%,"Christos B. Coutifaris, M.D., Ph.D.",105,64,59,12,34.3,40.6,22,0.166666667,31.4,37.5,15.3,0.083333333,-17.8,-23.8,-18.3,=,35.1,41.4,23.7,0.1,37.9,44.4,25.7,0.111111111,10.5,9.4,35.6,0.166666667,2.5,2.8,3.3,3.3,25,34.6,0.153846154,0,0,15.4,0.076923077,0,21.2,50,0.222222222,0,33,9,7,3,33.3,0.555555556,0.142857143,0,2.7,2.8,2.4,3.7,0,0,=,=,=,=,University of Pennsylvania,Yes,No,Yes,Yes,Yes,Yes,Yes
"REPRODUCTIVE HEALTH SPECIALISTS, INC.",,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,37%,0%,14%,4%,5%,8%,0%,27%,2%,21%,3%,16%,"Judith L. Albert, M.D.",26,20,18,4,34.6,25,0.222222222,0,30.8,25,0.166666667,0,-35.5,-38,=,=,30.8,0.263157895,0.214285714,0,34.8,0.277777778,0.25,0,0,5,0.222222222,0,2.3,2.4,2.9,3,0.222222222,0,0.25,=,0,0,0,=,0,0,0.333333333,=,2,6,1,0,0.5,0.166666667,0,=,2,2,3,=,0,0,=,=,=,=,"Reproductive Health Specialists, Inc.",Yes,Yes,Yes,Yes,Yes,Yes,Pending
UNIVERSITY OF PITTSBURGH PHYSICIANS,,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,23%,0%,22%,5%,9%,6%,<1%,17%,10%,15%,4%,11%,"Sarah L. Berga, M.D.",62,30,28,9,37.1,20,17.9,0.111111111,27.4,10,14.3,0.111111111,-22.2,-20.7,-25.9,=,31.5,12.5,16,0.111111111,34,13,17.4,0.111111111,12.9,20,10.7,0,2.5,2.9,3,2.9,17.4,0,0,0,8.7,0,0,0,0.235294118,0,0,0,19,9,5,2,0.157894737,0.222222222,0.2,0,2.6,2.9,2.8,3,15,1,0.4,0,2.6,2,University of Pittsburgh Physicians,Yes,Yes,Yes,Yes,Yes,Yes,No
"WOMEN'S CLINIC, LTD.",,READING,PENNSYLVANIA,100%,0%,0%,0%,48%,0%,0%,0%,0%,14%,0%,19%,0%,0%,29%,38%,"Vincent A. Pellegrini, M.D.",11,7,3,0,0.363636364,0.142857143,0.333333333,=,0.363636364,0.142857143,0.333333333,=,=,=,=,=,0.4,0.166666667,0.333333333,=,0.4,0.166666667,0.333333333,=,0.090909091,0.142857143,0,=,4.7,3.7,5.3,=,0.5,0,0,=,0.25,0,0,=,0.75,0,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Women's Clinic, Ltd.",No,No,No,No,No,Yes,Yes
REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY CENTER,,UPLAND,PENNSYLVANIA,>99%,0%,0%,<1%,34%,0%,17%,5%,3%,13%,1%,17%,2%,18%,17%,7%,"Albert El-Roeiy, M.D.",78,24,28,12,23.1,29.2,14.3,0.333333333,20.5,16.7,3.6,0.166666667,-17.9,-29.8,-10.4,=,26.2,0.210526316,0.052631579,0.181818182,31.4,0.210526316,0.055555556,0.181818182,21.8,20.8,32.1,0.083333333,3.7,4.2,4.8,3.3,0.055555556,0.142857143,0,0,0.166666667,0.285714286,0,0,0.25,0.75,0,0,10,6,4,1,0.6,0.5,0,0,3.4,3,4,5,10,7,0.3,0.285714286,3.9,4.3,Reproductive Endocrinology and Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes
REPRODUCTIVE SCIENCE INSTITUTE OF SUBURBAN PHILADELPHIA,,WAYNE,PENNSYLVANIA,100%,0%,0%,0%,48%,0%,9%,8%,21%,5%,3%,8%,7%,9%,19%,11%,"Abraham K. Munabi, M.D.",39,25,10,15,25.6,28,0.1,0.133333333,20.5,28,0.1,0.066666667,-25.4,-35.2,=,=,22.2,29.2,0.1,0.076923077,23.5,30.4,0.111111111,0.083333333,7.7,4,0,0.133333333,4.6,4.7,5,4.5,0.2,0,0,0,0.2,0.285714286,0,0,0.5,0.285714286,0,0,7,2,0,0,0.142857143,0.5,=,=,3.9,2.5,=,=,42,14,28.6,0.071428571,5.1,5.3,Reproductive Science Institute of Suburban Philadelphia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FERTILITY AND GYNECOLOGY ASSOCIATES,,WILLOW GROVE,PENNSYLVANIA,100%,0%,0%,0%,31%,0%,15%,5%,0%,25%,0%,22%,5%,15%,5%,8%,"Maria P. Platia, M.D.",15,8,7,2,0.333333333,0.125,0.571428571,1,0.333333333,0.125,0.571428571,1,=,=,=,=,0.384615385,0.25,0.571428571,1,0.384615385,0.25,0.571428571,1,0.133333333,0.5,0,0,3.5,3,3.4,4.5,0.4,1,0,0,0.2,0,0,0,0.2,1,0,0,2,4,1,0,1,1,0,=,4,3.5,1,=,1,0,0,=,4,=,Fertility and Gynecology Associates,Yes,Yes,Yes,No,Yes,Yes,Yes
DR. PEDRO J. BEAUCHAMP,,BAYAMON,PUERTO RICO,100%,0%,0%,0%,50%,0%,12%,3%,2%,6%,0%,14%,<1%,0%,21%,41%,"Pedro J. Beauchamp, M.D.",80,47,27,13,45,42.6,22.2,0.230769231,35,31.9,18.5,0,-21,-26.6,-29.3,=,36.4,32.6,23.8,0,37.3,33.3,0.263157895,0,3.8,2.1,22.2,0.076923077,4.1,3.3,3.2,3.3,33.3,20,0.5,0,19.4,10,0.166666667,0,57.1,0.4,0.4,=,5,2,0,0,0,0,=,=,2.2,4,=,=,8,1,0.25,0,4.8,2,Dr. Pedro J. Beauchamp,Yes,No,No,No,Yes,Yes,Yes
