OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
327,PORTLAND CENTER FOR REPRODUCTIVE MEDICINE,,PORTLAND,OREGON,100%,0%,0%,0%,58%,<1%,1%,6%,11%,4%,29%,5%,1%,15%,5%,10%,10%,12%,"Robert K. Matteri, MD",151,85,50,28,7,58.9,50.6,44,14.3,0.285714286,55,43.5,38,10.7,0.142857143,(46.7Ð63.1),(32.8Ð54.7),(24.7Ð52.8),(2.3Ð28.2),,58,49.3,41.3,11.5,0.142857143,60.1,50.7,42.2,12.5,0.142857143,37.7,32.9,37.8,8.3,0.142857143,5.3,11.8,8,7.1,0,2.3,2.5,3,3.6,3.3,39.3,34.9,22.7,0.5,0,3.4,4.7,0,0,0,37.3,35.1,0.105263158,0.333333333,0,22,15,9,5,0,59.1,0.6,0.222222222,0.4,=,2.3,2.1,2.3,2.6,=,92,30,72.8,43.3,2,2.6,Oregon Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,OR
328,UNIVERSITY FERTILITY CONSULTANTS,OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OREGON,100%,0%,0%,0%,72%,0%,<1%,6%,11%,9%,4%,4%,<1%,24%,24%,9%,7%,9%,"Marsha J. Gorrill, MD",145,90,65,23,6,40.7,28.9,32.3,17.4,0.166666667,35.9,25.6,26.2,8.7,0.166666667,(28.1Ð44.2),(16.9Ð35.8),(16.0Ð38.5),(1.1Ð28.0),,39.1,29.5,29.8,0.111111111,0.25,41.9,31.1,33.3,0.125,0.333333333,35.5,23,25.5,0.125,0.333333333,8.3,13.3,12.3,21.7,0.333333333,2.2,2.3,2.4,3.9,2.7,20.3,19.2,19,0,0,0,11.5,4.8,0.25,0,15.4,26.1,0.235294118,0,0,59,50,28,8,3,32.2,28,35.7,0.375,0.333333333,2.3,2.4,2.4,3,2,35,54,54.3,33.3,1.9,2.3,"University Fertility Consultants, Oregon Health & Science University",Yes,Yes,Yes,Yes,Yes,Yes,Yes,OR
329,ABINGTON IVF AND GENETICS,TOLL CENTER FOR REPRODUCTIVE SCIENCES,ABINGTON,PENNSYLVANIA,100%,0%,0%,0%,72%,0%,2%,8%,8%,5%,17%,5%,1%,15%,8%,3%,17%,21%,"Stephen G. Somkuti, MD, PhD",140,83,64,23,1,48.6,34.9,25,17.4,0,44.3,25.3,17.2,8.7,0,(35.9Ð52.9),(16.4Ð36.0),(8.9Ð28.7),(1.1Ð28.0),,47.7,28.8,19.3,9.5,0,48.8,32.8,21.6,0.166666667,0,30.7,23.4,21.6,0.083333333,0,7.1,12,10.9,8.7,0,2.2,2.8,2.7,3.4,3,38.2,27.6,0,0,=,1.5,6.9,0.0625,0.25,=,37.1,28.6,0,0.5,=,47,17,9,2,1,34,0.235294118,0.222222222,0,0,2.2,2.4,2.7,4,2,30,13,46.7,0.153846154,2.3,2.2,"Abington IVF and Genetics, Toll Center for Reproductive Sciences",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
330,"INFERTILITY SOLUTIONS, PC",,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,81%,2%,1%,6%,8%,12%,17%,<1%,0%,9%,7%,7%,20%,21%,"Bruce I. Rose, MD, PhD",44,24,11,3,6,38.6,29.2,0,0,0,27.3,29.2,0,0,0,(15.0Ð42.8),(12.6Ð51.1),,,,28.6,0.388888889,0,0,0,30,0.466666667,0,0,0,15,0.2,0,0,0,4.5,25,0.090909091,0.333333333,0.166666667,2.4,2.7,2,4,1.7,0.352941176,0.571428571,=,=,=,0,0,=,=,=,0.5,0.571428571,=,=,=,3,2,0,0,0,0.666666667,0,=,=,=,2.3,1.5,=,=,=,3,2,0.666666667,0,2.7,3,"Infertility Solutions, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
331,LEHIGH VALLEY PHYSICIANS GROUP,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY SPECIALISTS LVPG,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,37%,0%,0%,0%,14%,2%,10%,<1%,0%,21%,10%,3%,10%,29%,"Wendy Schillings, MD",40,23,18,11,1,25,26.1,0.166666667,0,0,25,21.7,0.111111111,0,0,(12.7Ð41.2),(7.5Ð43.7),,,,31.3,23.8,0.153846154,0,=,33.3,25,0.153846154,0,=,30,20,0.076923077,0,=,20,8.7,0.277777778,0.090909091,1,2.8,3.1,4.2,2.8,=,0.1,0,0.333333333,=,=,0,0.166666667,0,=,=,0.1,0.2,0.5,=,=,7,4,1,2,0,0,0.25,0,0.5,=,2.4,2.5,1,3,=,8,1,0.625,0,2.4,3,This clinic has closed or reorganized since 2007.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,PA
332,FAMILY FERTILITY CENTER,,BETHLEHEM,PENNSYLVANIA,99%,0%,1%,0%,75%,0%,0%,5%,6%,7%,14%,0%,0%,13%,<1%,2%,17%,42%,"H. Christina Lee, MD",38,21,19,11,0,60.5,28.6,0.368421053,0.363636364,=,57.9,23.8,0.315789474,0.090909091,=,(40.8Ð73.7),(8.2Ð47.2),,,,57.9,23.8,0.315789474,0.1,=,57.9,25,0.352941176,0.1,=,39.5,10,0.294117647,0.1,=,0,0,0,0.090909091,=,2.3,2.2,2.8,2.5,=,21.7,0.666666667,0.285714286,0,=,8.7,0.166666667,0,0,=,31.8,0.6,0.166666667,0,=,5,0,1,0,0,0,=,1,=,=,2.2,=,2,=,=,9,4,0.333333333,0,2.1,1.5,Family Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,PA
333,MAIN LINE FERTILITY AND REPRODUCTIVE MEDICINE,,BRYN MAWR,PENNSYLVANIA,100%,0%,0%,0%,16%,2%,0%,6%,4%,8%,18%,3%,2%,10%,7%,16%,17%,15%,"Michael J. Glassner, MD",163,133,125,39,21,46.6,25.6,16.8,10.3,0,40.5,22.6,13.6,7.7,0,(32.9Ð48.4),(15.8Ð30.6),(8.1Ð20.9),(1.6Ð20.9),(0.0Ð16.1),44,25.2,16.2,11.5,0,48.9,28.6,18.7,14.3,0,30.4,21,16.5,14.3,0,8,10.5,16,33.3,19,2.3,2.6,2.6,2.8,4.2,34.2,23.5,23.8,0,=,3.9,2.9,0,0,=,37.9,26.7,0.117647059,0,=,65,37,28,14,5,33.8,35.1,28.6,0.357142857,0,2.4,2.8,2.5,3,2.6,28,22,50,31.8,2.3,2.3,Main Line Fertility and Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
334,GEISINGER MEDICAL CENTER FERTILITY PROGRAM,,DANVILLE,PENNSYLVANIA,100%,0%,0%,0%,61%,2%,0%,0%,8%,8%,20%,2%,6%,12%,39%,0%,2%,2%,"Jennifer Gell, MD",35,14,10,2,0,28.6,0.428571429,0.4,0,=,25.7,0.428571429,0.4,0,=,(12.5Ð43.3),,,,,30,0.545454545,0.444444444,0,=,31,0.6,0.444444444,0,=,17.2,0.4,0.333333333,0,=,14.3,0.214285714,0.1,0.5,=,2.2,2.5,3.2,1,=,0.3,0.333333333,0,=,=,0.2,0,0.25,=,=,0.444444444,0.333333333,0.25,=,=,10,6,2,1,0,0.2,0.166666667,0.5,0,=,2.1,1.7,2,2,=,9,8,0.333333333,0.25,2.4,1.9,Geisinger Medical Center Fertility Program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
335,"ADVANCED CENTER FOR INFERTILITY AND REPRODUCTIVE MEDICINE, RPC",,HARRISBURG,PENNSYLVANIA,100%,0%,0%,0%,72%,0%,0%,0%,0%,3%,0%,1%,0%,1%,31%,0%,39%,24%,"Eric P. Fiedler, MD",19,8,4,0,1,0.789473684,0.625,0.25,=,0,0.789473684,0.625,0,=,0,,,,,,0.789473684,0.625,0,=,0,0.882352941,0.714285714,0,=,0,0.352941176,0.285714286,0,=,0,0,0,0,=,0,2.2,2,2.7,=,3,0.666666667,0.6,0,=,=,0.066666667,0,0,=,=,0.6,0.6,=,=,=,9,6,2,0,0,0.555555556,0.333333333,0.5,=,=,2,1.8,2,=,=,9,14,0.777777778,0.357142857,1.9,2,"Advanced Center for Infertility and Reproductive Medicine, RPC",Yes,Yes,Yes,Yes,Yes,No,No,PA
336,PENN STATE MILTON S. HERSHEY MEDICAL CENTER,,HERSHEY,PENNSYLVANIA,100%,0%,0%,0%,84%,0%,0%,0%,14%,13%,4%,5%,0%,29%,5%,23%,2%,7%,"William C. Dodson, MD",31,20,7,3,0,25.8,45,0.714285714,0.333333333,=,19.4,30,0.714285714,0,=,(7.5Ð37.5),(11.9Ð54.3),,,,21.4,0.315789474,0.714285714,0,=,23.1,0.333333333,0.714285714,0,=,19.2,0.222222222,0.714285714,0,=,9.7,5,0,0.333333333,=,2.2,2.6,2.7,3.5,=,0.125,0.333333333,0,1,=,0,0.111111111,0.2,0,=,0.166666667,0.333333333,0,=,=,13,11,1,2,0,0.307692308,0.272727273,0,0,=,2.2,2.1,2,2.5,=,3,2,0.666666667,0,1.7,2.5,Penn State Milton S. Hershey Medical Center,Yes,Yes,No,No,Yes,Yes,Yes,PA
337,"NORTHERN FERTILITY AND REPRODUCTIVE ASSOCIATES, PC",,MEADOWBROOK,PENNSYLVANIA,100%,0%,0%,0%,62%,0%,1%,<1%,5%,11%,15%,4%,0%,17%,2%,6%,19%,21%,"Martin F. Freedman, MD",103,33,32,9,3,38.8,24.2,34.4,0.333333333,0,33,21.2,28.1,0.222222222,0,(24.1Ð43.0),(9.0Ð38.9),(13.7Ð46.7),,,35.1,21.2,30,0.222222222,0,38.2,21.9,34.6,0.333333333,0,20.2,12.5,26.9,0.333333333,0,5.8,0,6.3,0,0.666666667,2.3,2.7,3.4,3.8,1,47.5,0.5,0.363636364,0,=,0,0,0,0,=,47.1,0.428571429,0.222222222,0,=,27,7,10,4,1,25.9,0.142857143,0.2,0.25,0,2.4,2.1,2.5,2.3,3,14,11,0.642857143,0.181818182,2.3,2.5,"Northern Fertility and Reproductive Associates, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
338,JEFFERSON IVF,,PHILADELPHIA,PENNSYLVANIA,100%,0%,0%,0%,16%,0%,0%,0%,14%,23%,5%,5%,0%,18%,0%,0%,5%,32%,"Gregory T. Fossum, MD",4,5,6,1,3,0,0.4,0.333333333,0,0.333333333,0,0.4,0.333333333,0,0,,,,,,0,0.4,0.4,=,0,0,0.4,0.4,=,0,0,0.4,0.2,=,0,0.5,0,0.166666667,1,0.333333333,2,2.4,3,=,4,=,0,0.5,=,0,=,0,0,=,0,=,0,0.5,=,=,1,1,1,0,0,0,0,0,=,=,2,3,1,=,=,0,0,=,=,=,=,Jefferson IVF,Yes,No,Yes,No,Yes,No,Yes,PA
339,UNIVERSITY OF PENNSYLVANIA,PENN FERTILITY CARE,PHILADELPHIA,PENNSYLVANIA,100%,0%,0%,0%,23%,0%,1%,0%,6%,4%,10%,3%,3%,15%,7%,10%,29%,13%,"Christos B. Coutifaris, MD, PhD",154,77,93,31,21,40.9,32.5,23.7,19.4,9.5,34.4,27.3,20.4,6.5,4.8,(27.0Ð42.5),(17.7Ð38.6),(12.8Ð30.1),(0.8Ð21.4),(0.1Ð23.8),40.8,32.3,26.4,9.1,0.071428571,44.9,35.6,27.5,10,0.071428571,31.4,23.7,21.7,5,0.071428571,15.6,15.6,22.6,29,33.3,2.2,2.4,3.1,3.6,3,28.6,28,27.3,0.166666667,0,0,4,0,0,0,30.2,33.3,0.210526316,0.5,0,33,20,15,4,5,24.2,15,0.533333333,0.25,0,2.2,2.5,2.9,2,3,28,16,42.9,0.25,2,1.9,"University of Pennsylvania, Penn Fertility Care",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
340,JONES INSTITUTE AT WEST PENN ALLEGHENY HEALTH SYSTEM,,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,51%,0%,0%,0%,6%,2%,7%,2%,0%,35%,11%,13%,7%,16%,"Scott W. Kauma, MD",57,35,20,9,2,38.6,25.7,25,0,1,35.1,17.1,20,0,1,(22.9Ð48.9),(6.6Ð33.6),(5.7Ð43.7),,,45.5,25,0.307692308,0,1,52.6,27.3,0.307692308,0,1,39.5,9.1,0.307692308,0,1,22.8,31.4,35,0.222222222,0,2.6,3.1,3,4.7,4,18.2,0.333333333,0,=,0,13.6,0.111111111,0,=,0,25,0.666666667,0,=,0,11,9,2,0,0,0.272727273,0.444444444,0,=,=,3,3,3.5,=,=,3,1,0,0,2.7,4,Jones Institute at West Penn Allegheny Health System,Yes,No,Yes,Yes,Yes,Yes,Yes,PA
341,"REPRODUCTIVE HEALTH SPECIALISTS, INC.",,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,55%,0%,2%,0%,9%,4%,6%,8%,<1%,21%,8%,27%,8%,9%,"Judith L. Albert, MD",78,53,48,16,7,64.1,43.4,27.1,0.3125,0,52.6,34,22.9,0.125,0,(40.9Ð64.0),(21.5Ð48.3),(12.0Ð37.3),,,56.9,36.7,26.2,0.142857143,0,59.4,38.3,28.9,0.166666667,0,33.3,25.5,21.1,0.166666667,0,7.7,7.5,12.5,0.125,0.571428571,1.9,1.9,2.2,2.8,2,36,26.1,0.307692308,0,=,4,0,0,0,=,43.9,0.333333333,0.272727273,0,=,18,11,8,1,0,0.166666667,0.363636364,0.125,0,=,1.3,1.5,1.4,1,=,12,10,0.416666667,0.3,2,1.7,"Reproductive Health Specialists, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,PA
342,UNIVERSITY OF PITTSBURGH PHYSICIANS,CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,55%,<1%,<1%,<1%,8%,4%,24%,4%,2%,15%,15%,7%,6%,16%,"Anthony N. Wakim, MD",112,77,52,28,6,33.9,24.7,9.6,14.3,0,28.6,16.9,9.6,0,0,(20.4Ð37.9),(9.3Ð27.1),(3.2Ð21.0),(0.0Ð12.3),,29.9,18.8,11.6,0,0,33.3,22,13.5,0,0,25,11.9,10.8,0,0,4.5,10.4,17.3,32.1,0.166666667,2.2,2.5,2.7,3.1,3.3,26.3,0.368421053,0.2,0.25,=,2.6,0.052631579,0,0,=,25,0.461538462,0.2,=,=,49,29,25,9,3,24.5,27.6,16,0,0.333333333,2.4,2.1,2.4,2.4,3,26,35,50,22.9,2,2.2,"University of Pittsburgh Physicians, Center for Fertility and Reproductive Endocrinology",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
343,REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY CENTER,,UPLAND,PENNSYLVANIA,100%,0%,0%,0%,58%,0%,0%,0%,9%,2%,2%,9%,2%,4%,13%,0%,26%,33%,"Albert El-Roeiy, MD",50,14,13,10,3,28,0.214285714,0.538461538,0.1,0,20,0.142857143,0.384615385,0.1,0,(10.0Ð33.7),,,,,22.2,0.181818182,0.454545455,0.125,0,27.8,0.222222222,0.5,0.125,0,19.4,0,0.1,0.125,0,10,0.214285714,0.153846154,0.2,0,2.6,2.6,3,2.4,3.5,0.285714286,0.666666667,0.428571429,0,=,0,0,0.142857143,0,=,0.3,1,0.8,0,=,23,2,2,0,0,43.5,0.5,0,=,=,2.6,3.5,2,=,=,11,6,0.454545455,0.166666667,2.6,2.8,Reproductive Endocrinology and Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes,PA
344,REPRODUCTIVE SCIENCE INSTITUTE OF SUBURBAN PHILADELPHIA,,WAYNE,PENNSYLVANIA,>99%,0%,<1%,0%,34%,0%,<1%,4%,5%,16%,33%,1%,<1%,9%,2%,3%,13%,17%,"Abraham K. Munabi, MD",99,55,40,9,4,41.4,25.5,27.5,0.111111111,0,35.4,21.8,20,0.111111111,0,(26.0Ð45.6),(11.8Ð35.0),(9.1Ð35.6),,,43.8,31.6,26.7,0.166666667,0,47.9,34.3,29.6,0.166666667,0,30.1,25.7,25.9,0.166666667,0,19.2,30.9,25,0.333333333,0.5,2.5,2.9,3.5,3.5,3.5,34.1,0.285714286,0.181818182,0,=,7.3,0,0,0,=,37.1,0.25,0.125,0,=,14,3,4,1,0,0.5,0.333333333,0.75,0,=,2.6,3.7,3.3,2,=,35,14,51.4,0.285714286,2.1,2.1,Reproductive Science Institute of Suburban Philadelphia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
345,"WOMEN'S CLINIC, LTD.",,WEST READING,PENNSYLVANIA,100%,0%,0%,0%,38%,0%,0%,0%,9%,0%,2%,2%,0%,13%,0%,0%,27%,47%,"Vincent A. Pellegrini, MD",27,11,13,3,1,33.3,0.363636364,0.153846154,0,0,29.6,0.363636364,0.153846154,0,0,(13.8Ð50.2),,,,,32,0.5,0.2,0,=,33.3,0.571428571,0.2,0,=,29.2,0.428571429,0.2,0,=,7.4,0.272727273,0.230769231,0.333333333,1,3,3.6,2.4,2.5,=,0,0.75,0,=,=,0.111111111,0,0,=,=,0.125,0.25,0,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Women's Clinic, Ltd.",No,No,No,No,No,Yes,Yes,PA
346,FERTILITY AND GYNECOLOGY ASSOCIATES,,WILLOW GROVE,PENNSYLVANIA,100%,0%,0%,0%,36%,0%,0%,0%,10%,2%,32%,2%,0%,27%,5%,10%,2%,10%,"Leonore C. Huppert, MD",6,9,6,1,0,0.5,0.555555556,0.5,1,=,0.166666667,0.555555556,0.5,0,=,,,,,,0.166666667,0.714285714,0.6,0,=,0.166666667,0.833333333,0.6,0,=,0.166666667,0.666666667,0.4,0,=,0,0.222222222,0.166666667,0,=,2.5,3.2,2.8,3,=,0,0.2,1,0,=,0,0,0,0,=,0,0.2,0.333333333,=,=,2,0,1,0,0,0.5,=,0,=,=,3,=,1,=,=,4,7,0.75,0.285714286,1.8,2.3,Fertility and Gynecology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA
347,"THE FERTILITY CENTER, LLC",,YORK,PENNSYLVANIA,100%,0%,0%,0%,98%,0%,4%,11%,2%,15%,12%,0%,3%,31%,3%,9%,2%,23%,"Robert B. Filer, MD",29,9,6,2,1,37.9,0.555555556,0.166666667,0,0,34.5,0.555555556,0.166666667,0,0,(17.9Ð54.3),,,,,34.5,0.555555556,0.166666667,0,0,40,0.714285714,0.2,0,0,28,0.428571429,0.2,0,0,0,0,0,0,0,2.4,3.1,2.4,1,4,0.272727273,0.6,0,=,=,0.090909091,0,0,=,=,0.3,0.4,0,=,=,6,3,3,0,0,0.333333333,0.333333333,0,=,=,2.8,3,3.7,=,=,5,1,0.2,1,2.8,3,"The Fertility Center, LLC",Yes,Yes,Yes,Yes,Yes,No,No,PA
348,"PEDRO J. BEAUCHAMP, MD",,BAYAMON,PUERTO RICO,100%,0%,0%,0%,79%,0%,0%,0%,13%,2%,0%,3%,0%,13%,0%,3%,21%,47%,"Pedro J. Beauchamp, MD",44,28,36,14,6,59.1,57.1,41.7,0.357142857,0,38.6,39.3,27.8,0.214285714,0,(24.4Ð54.5),(21.5Ð59.4),(14.2Ð45.2),,,40.5,40.7,32.3,0.3,0,40.5,40.7,34.5,0.3,0,26.2,25.9,27.6,0.3,0,4.5,3.6,13.9,0.285714286,0.166666667,2.7,3.1,3,4.3,2.2,30.8,0.4375,0.066666667,0,=,3.8,0.0625,0.066666667,0,=,0.352941176,0.363636364,0.2,0,=,2,1,0,1,0,0.5,0,=,0,=,3,3,=,1,=,7,0,0.285714286,=,3.1,=,"Pedro J. Beauchamp, MD",Yes,No,No,Yes,Yes,Yes,Yes,PR
349,CLINICA DE FERTILIDAD HIMAÐSAN PABLO CAGUAS,,CAGUAS,PUERTO RICO,100%,0%,0%,0%,33%,0%,0%,0%,28%,2%,11%,7%,4%,20%,0%,20%,4%,4%,"Jose R. Cruz, MD",16,13,6,4,4,0.4375,0.153846154,0.166666667,0.25,0,0.375,0.153846154,0.166666667,0,0,,,,,,0.4,0.166666667,0.166666667,0,0,0.428571429,0.181818182,0.166666667,0,0,0.285714286,0.181818182,0.166666667,0,0,0.0625,0.076923077,0,0,0,3.1,3.4,2.8,3.3,3.5,0.285714286,0,1,0,=,0,0,0,0,=,0.333333333,0,0,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,2,0,0,=,2,=,Clinica de Fertilidad HIMAÐSan Pablo Caguas,Yes,Yes,Yes,Yes,Yes,No,No,PR
350,GREFI,"GYNECOLOGY, REPRODUCTIVE ENDOCRINOLOGY & FERTILITY INSTITUTE",SANTURCE,PUERTO RICO,100%,0%,0%,0%,43%,0%,0%,0%,25%,2%,8%,8%,0%,38%,6%,8%,2%,6%,"Rosa Ileana Cruz, MD",23,10,7,3,1,0,0.3,0.285714286,0,0,0,0.2,0.142857143,0,0,(0.0Ð14.8),,,,,0,0.222222222,0.142857143,0,0,0,0.285714286,0.166666667,0,0,0,0.285714286,0.166666667,0,0,8.7,0.1,0,0,0,2.4,3,3.2,3,1,=,0.333333333,0,=,=,=,0,0,=,=,=,0,0,=,=,2,0,1,1,0,0,=,0,0,=,3,=,3,1,=,4,0,0.25,=,1.8,=,"GREFI, Gynecology, Reproductive Endocrinology & Fertility Institute",Yes,Yes,Yes,No,Yes,Yes,Yes,PR
351,WOMEN AND INFANTS' DIVISION OF REPRODUCTIVE MEDICINE AND INFERTILITY,,PROVIDENCE,RHODE ISLAND,100%,0%,0%,0%,52%,<1%,<1%,8%,9%,6%,2%,9%,2%,14%,5%,36%,4%,15%,"Gary Frishman, MD",242,132,100,53,36,42.6,37.9,32,24.5,2.8,36.8,28.8,23,18.9,2.8,(30.7Ð43.2),(21.2Ð37.3),(15.2Ð32.5),(9.4Ð32.0),(0.1Ð14.5),38.2,30.9,25.3,19.6,3.2,39.6,33.9,29.5,22.7,5,25.3,29.5,25.6,22.7,5,3.7,6.8,9,3.8,13.9,2,2.1,2.7,2.8,3.3,33,16,25,0.076923077,0,2.9,2,0,0,0,36,13.2,13,0,0,47,19,23,8,4,31.9,0.105263158,21.7,0.125,0,2.2,2.1,2.3,2.8,2.8,41,28,41.5,25,2,2.3,Women and Infants' Division of Reproductive Medicine and Infertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,RI
352,"PIEDMONT REPRODUCTIVE ENDOCRINOLOGY GROUP, PA",,GREENVILLE,SOUTH CAROLINA,100%,0%,0%,0%,91%,0%,0%,1%,9%,21%,10%,6%,<1%,7%,<1%,7%,18%,20%,"John E. Nichols, MD",55,9,12,7,0,54.5,0.444444444,0.333333333,0.285714286,=,50.9,0.222222222,0.166666667,0,=,(37.1Ð64.6),,,,,52.8,0.222222222,0.166666667,0,=,54.9,0.222222222,0.166666667,0,=,31.4,0.111111111,0.166666667,0,=,3.6,0,0,0,=,2.3,2.4,2.3,4.3,=,36.7,0.25,0,0,=,6.7,0,0,0,=,42.9,0.5,0,=,=,11,3,3,0,0,0.272727273,0,0.666666667,=,=,1.7,1.7,1.7,=,=,8,4,0.75,0.5,2,2.3,"Piedmont Reproductive Endocrinology Group, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,SC
353,"UNIVERSITY MEDICAL GROUP, DEPARTMENT OF OBSTETRICS AND GYNECOLOGY",REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,GREENVILLE,SOUTH CAROLINA,100%,0%,0%,0%,51%,0%,3%,3%,12%,22%,3%,14%,0%,12%,3%,<1%,22%,13%,"Bruce A. Lessey, MD, PhD",43,29,12,6,0,44.2,37.9,0.333333333,0.166666667,=,44.2,34.5,0.333333333,0.166666667,=,(29.1Ð60.1),(17.9Ð54.3),,,,48.7,38.5,0.5,0.333333333,=,48.7,40,0.5,0.333333333,=,28.2,32,0.5,0.333333333,=,9.3,10.3,0.333333333,0.5,=,2.2,2.2,3.1,3.7,=,0.421052632,0.181818182,0.25,0,=,0.052631579,0.090909091,0,0,=,0.421052632,0.2,0,0,=,13,1,1,1,0,0.384615385,1,0,0,=,2.2,2,1,1,=,9,3,0.333333333,0.333333333,2.4,2,"University Medical Group, Department of Obstetrics and Gynecology, Reproductive Endocrinology and Infertility",Yes,No,Yes,Yes,Yes,Yes,No,SC
354,"SOUTHEASTERN FERTILITY CENTER, PA",,MOUNT PLEASANT,SOUTH CAROLINA,100%,0%,0%,0%,71%,0%,<1%,1%,8%,5%,18%,5%,<1%,17%,3%,10%,16%,19%,"Grant W. Patton, MD",141,77,36,11,0,56,42.9,44.4,0.272727273,=,48.2,36.4,33.3,0.181818182,=,(39.7Ð56.8),(25.7Ð48.1),(18.6Ð51.0),,,50.7,38.9,36.4,0.222222222,=,52.7,40,42.9,0.222222222,=,32.6,28.6,21.4,0.111111111,=,5,6.5,8.3,0.181818182,=,2.1,2.2,2.3,2.2,=,44.3,24.2,0.3125,0.333333333,=,1.3,3,0.1875,0,=,38.2,28.6,0.5,0.5,=,58,17,17,2,0,44.8,0.470588235,0.176470588,0.5,=,2,1.8,1.8,2,=,64,15,67.2,0.533333333,2,1.9,"Southeastern Fertility Center, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,SC
