PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,Medicaldirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinicNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation
FERTILITY INSTITUTE OF VIRGINIA,,RICHMOND,VIRGINIA,100%,0%,0%,0%,50%,0%,22%,4%,2%,9%,<1%,24%,0%,6%,12%,20%,"Kenneth A. Steingold, M.D.",99,56,44,13,48.5,37.5,31.8,0.230769231,43.4,32.1,27.3,0.230769231,-19.5,-24.5,-26.3,=,45.3,35.3,29.3,0.3,45.3,35.3,29.3,0.3,4,8.9,6.8,0.230769231,3.8,3.8,4.3,3.8,29.2,38.1,0.214285714,0.333333333,27.1,14.3,0.142857143,0,58.1,0.388888889,0.333333333,0.333333333,23,10,6,2,8.7,0.4,0.333333333,0,3.5,3.4,3.5,2,6,2,0.166666667,0,4.5,4.5,Fertility Institute of Virginia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LIFESOURCE FERTILITY CENTER,,RICHMOND,VIRGINIA,98%,1%,1%,0%,43%,0%,15%,3%,3%,2%,<1%,7%,2%,0%,23%,44%,"Joseph G. Gianfortoni, M.D.",44,23,10,1,27.3,26.1,0.4,1,22.7,13,0.3,1,-24.8,-26.8,=,=,32.3,14.3,0.3,1,33.3,15,0.3,1,29.5,8.7,0,0,3.8,4,4.4,4,0.25,0,0.25,1,0.083333333,0.333333333,0,0,0.3,0.333333333,0.333333333,0,9,5,4,0,0.333333333,0,0.5,=,3.1,2.6,2.8,=,3,0,0.666666667,=,5,=,LifeSource Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MEDICAL  COLLEGE OF VIRGINIA,VIRGINIA COMMONWEALTH UNIVERSITY IVF/GIFT,RICHMOND,VIRGINIA,100%,0%,0%,0%,50%,0%,29%,22%,14%,0%,0%,14%,0%,0%,7%,14%,"Dale W. Stovall, M.D.",4,1,3,2,0.5,0,0.333333333,0,0.5,0,0.333333333,0,=,=,=,=,0.5,0,0.333333333,0,0.5,0,0.333333333,0,0,0,0,0.5,3.5,4,3.7,1,0,=,0,=,0,=,0,=,0,=,0,=,0,2,1,0,=,0.5,0,=,=,3,3,=,1,0,1,=,4,=,Medical  College of Virginia/ Virginia Commonwealth University IVF/GIFT,Yes,Yes,Yes,No,Yes,Yes,Yes
"THE RICHMOND CENTER FOR FERTILITY AND ENDOCRINOLOGY, LTD.",,RICHMOND,VIRGINIA,100%,0%,0%,0%,46%,0%,17%,9%,0%,20%,0%,17%,0%,5%,5%,27%,"Sanford M. Rosenberg, M.D.",44,12,8,3,29.5,0.25,0,0.333333333,22.7,0.166666667,0,0.333333333,-24.8,=,=,=,25,0.181818182,0,0.5,26.3,0.2,0,0.5,9.1,0.083333333,0.375,0.333333333,4,2.8,4,4.5,0.615384615,0.666666667,=,1,0,0.333333333,=,0,0.5,1,=,1,8,0,0,0,0.25,=,=,=,3.5,=,=,=,3,1,0,0,4,5,The Richmond Center for Fertility and Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,,VIRGINIA BEACH,VIRGINIA,100%,0%,0%,0%,39%,0%,4%,0%,3%,1%,1%,5%,2%,6%,42%,36%,"Robin L. Poe-Zeigler, M.D.",21,20,6,2,19,20,0.166666667,0,14.3,15,0,0,-29.3,-30.6,=,=,0.166666667,0.176470588,0,0,0.2,0.214285714,0,0,14.3,15,0.166666667,0,3.5,3.9,5,3.5,0.25,0,0,=,0,0,0,=,0,0,=,=,12,3,1,1,0,0.333333333,0,1,3.3,3.3,5,4,10,7,0.4,0.142857143,3.3,3.4,The New Hope Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending
WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,,BELLEVUE,WASHINGTON,100%,0%,0%,0%,65%,0%,6%,0%,0%,0%,1%,1%,1%,3%,30%,58%,"James I. Kustin, M.D.",29,16,12,4,17.2,0.3125,0.166666667,0,13.8,0.1875,0.083333333,0,-25.1,=,=,=,19,0.272727273,0.111111111,0,0.210526316,0.272727273,0.166666667,0,27.6,0.3125,0.25,0.25,4.1,3.6,4.2,3.7,0.2,0.4,0.5,=,0.2,0,0,=,0,0.333333333,1,=,1,0,1,0,0,=,0,=,3,=,5,=,2,0,0.5,=,5.5,=,Washington Center for Reproductive Medicine,Yes,Yes,Yes,No,Yes,Yes,Pending
OLYMPIA WOMEN'S HEALTH,,OLYMPIA,WASHINGTON,100%,0%,0%,0%,0%,0%,44%,13%,4%,9%,0%,17%,0%,9%,0%,4%,"James F. Moruzzi, M.D.",7,2,6,0,0.428571429,0.5,0.5,=,0.428571429,0.5,0.5,=,=,=,=,=,0.5,0.5,0.5,=,0.5,0.5,0.5,=,0.142857143,0,0,=,4.5,2.5,3.7,=,0.666666667,1,0.333333333,=,0,0,0,=,0.666666667,1,0.333333333,=,4,0,1,0,0.25,=,0,=,3.8,=,4,=,1,1,1,1,4,4,Olympia Women's Health,Yes,No,Yes,Yes,Yes,Yes,Yes
PACIFIC GYNECOLOGY SPECIALISTS,,SEATTLE,WASHINGTON,>99%,0%,<1%,0%,41%,<1%,15%,4%,6%,5%,<1%,16%,7%,12%,13%,22%,"Lee R. Hickok, M.D.",88,56,49,23,18.2,19.6,8.2,8.7,17,17.9,4.1,4.3,-15.7,-20.1,-9.6,-12.7,20.8,23.3,6.3,0.058823529,28.3,25,7.4,0.066666667,18.2,23.2,34.7,26.1,2.8,3.1,3,3.1,0.25,0.090909091,0,0,0,0.181818182,0,0,0.2,0.2,0,0,87,17,16,15,13.8,0.411764706,0.0625,0,2.6,2.5,3.1,3.7,16,33,0.375,21.2,2.8,2.3,Pacific Gynecology Specialists,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF WASHINGTON,FERTILITY AND ENDOCRINE CENTER,SEATTLE,WASHINGTON,100%,0%,0%,0%,61%,<1%,16%,<1%,7%,6%,<1%,14%,2%,7%,20%,27%,"Nancy A. Klein, M.D.",122,95,82,22,35.2,26.3,22,13.6,32.8,22.1,17.1,13.6,-16.6,-16.6,-16.3,-28,36.7,25,21.2,0.157894737,36.7,25.9,21.5,0.166666667,10.7,11.6,19.5,13.6,2.4,2.7,3.3,3.6,27.9,32,0.222222222,0.666666667,11.6,12,0.222222222,0,32.5,47.6,0.428571429,0,29,26,15,8,27.6,23.1,0.2,0.125,2.5,2.7,2.9,3.1,48,25,39.6,44,2.3,2.7,University of Washington Fertility and Endocrine Center,Yes,No,Yes,Yes,Yes,Yes,Yes
VIRGINIA MASON CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,,SEATTLE,WASHINGTON,100%,0%,0%,0%,56%,0%,13%,4%,31%,7%,<1%,30%,8%,2%,2%,3%,"Gerard S. Letterie, D.O.",83,51,48,17,44.6,31.4,37.5,0.176470588,34.9,23.5,22.9,0.176470588,-20.5,-23.3,-23.8,=,42,36.4,28.9,0.3,42.6,40,29.7,0.375,16.9,35.3,20.8,0.411764706,2.7,3.5,3.7,3.1,35.1,0.1875,0.111111111,0,8.1,0.0625,0.055555556,0,55.2,0.333333333,0.181818182,0,11,7,3,0,0.090909091,0.285714286,0,=,3.2,2.9,3,=,81,13,56.8,0.384615385,2.7,3.1,Virginia Mason Center for Fertility and Reproductive Endocrinology,Yes,No,Yes,No,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY,,SPOKANE,WASHINGTON,100%,0%,0%,0%,36%,0%,15%,8%,14%,8%,0%,24%,17%,7%,<1%,6%,"Edwin Robins, M.D.",76,39,16,9,63.2,61.5,0.25,0.333333333,56.6,51.3,0.1875,0.222222222,-22.3,-31.4,=,=,63.2,60.6,0.25,0.25,64.2,62.5,0.3,0.25,10.5,15.4,0.25,0.111111111,2.7,3.1,3.5,3.6,47.9,54.2,0,0,12.5,20.8,0.25,0.333333333,46.5,75,0.333333333,0,0,1,0,0,=,1,=,=,=,3,=,=,15,1,0.733333333,0,2.5,2,The Center for Reproductive Endocrinology and Fertility,Yes,Yes,Yes,Yes,Yes,Yes,No
"GYFT CLINIC, P.L.L.C.",,TACOMA,WASHINGTON,100%,0%,0%,0%,38%,0%,29%,0%,8%,5%,2%,15%,0%,7%,18%,16%,"Joseph A. Robinette, M.D.",29,7,11,3,41.4,0,0.454545455,0.333333333,27.6,0,0.454545455,0.333333333,-32.6,=,=,=,27.6,0,0.454545455,0.333333333,27.6,0,0.454545455,0.333333333,0,0,0,0,5,4.9,5.3,3.7,0.416666667,=,0.2,0,0.166666667,=,0,0,0.75,=,0,0,0,0,0,0,=,=,=,=,=,=,=,=,5,0,0.4,=,5.2,=,"Gyft Clinic, P.L.L.C.",Yes,No,Yes,Yes,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,WEST VIRGINIA UNIVERSITY HEALTH SCIENCE CENTER,CHARLESTON,WEST VIRGINIA,90%,10%,0%,0%,28%,0%,23%,2%,8%,7%,0%,16%,4%,7%,16%,17%,"Tamer M. Yalcinkaya, M.D.",51,15,13,4,37.3,0.133333333,0.307692308,0,33.3,0.133333333,0.076923077,0,-25.9,=,=,=,38.6,0.166666667,0.1,0,38.6,0.166666667,0.111111111,0,13.7,0.2,0.230769231,0.5,3.8,3.9,4.7,4,0.315789474,0,0,=,0.105263158,0,0,=,0.470588235,0,0,=,11,10,2,0,0.363636364,0.2,1,=,3.2,3.1,2,=,4,4,0.25,0.5,4,4.3,"Center for Reproductive Medicine, West Virginia University Health Science Center",Yes,Yes,Yes,No,Yes,Yes,Yes
FAMILY FERTILITY PROGRAM,APPLETON MEDICAL CENTER,APPLETON,WISCONSIN,91%,9%,0%,0%,0%,0%,65%,0%,0%,6%,0%,0%,0%,6%,23%,0%,"Michael E. West, M.D.",4,5,2,0,0,0.6,0.5,=,0,0.4,0,=,=,=,=,=,0,0.4,0,=,0,0.4,0,=,0,0,0,=,3,4,4.5,=,=,0,0,=,=,0,0,=,=,0,=,=,3,0,1,0,0,=,0,=,2.3,=,3,=,0,0,=,=,=,=,"Family Fertility Program, Appleton Medical Center",No,No,Yes,No,Yes,Yes,Yes
GUNDERSEN/LUTHERAN MEDICAL CENTER,,LACROSSE,WISCONSIN,89%,11%,0%,0%,0%,0%,32%,11%,0%,1%,0%,4%,0%,2%,22%,28%,"Paul D. Silva, M.D.",47,24,12,2,29.8,16.7,0.166666667,0,29.8,16.7,0.083333333,0,-26.2,-29.8,=,=,34.1,0.235294118,0.1,=,41.2,0.285714286,0.111111111,=,12.8,29.2,0.166666667,1,3,2.9,2.7,=,0.357142857,0.5,0.5,=,0,0,0,=,0.214285714,0.5,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Gundersen/Lutheran Medical Center,No,No,No,No,Yes,Yes,Yes
UNIVERSITY OF WISCONSINÐMADISON,WOMEN'S ENDOCRINE SERVICES,MADISON,WISCONSIN,100%,0%,0%,0%,33%,0%,22%,2%,3%,5%,3%,22%,3%,28%,3%,9%,"Sander S. Shapiro, M.D.",66,26,31,4,57.6,38.5,48.4,0.25,42.4,34.6,29,0.25,-23.8,-36.6,-31.9,=,43.1,34.6,29,0.25,46.7,36,30,0.25,1.5,0,0,0,2.6,3,2.9,3.3,34.2,0.4,0.2,0,7.9,0,0,0,39.3,0.444444444,0.333333333,0,6,2,3,0,0.666666667,0,0.666666667,=,3,2.5,3,=,5,2,0.6,0,2.8,2.5,"University of WisconsinÐMadison, Women's Endocrine Services",Yes,Yes,Yes,Yes,Yes,Yes,Yes
ADVANCED INSTITUTE OF FERTILITY,,MILWAUKEE,WISCONSIN,100%,0%,0%,0%,45%,0%,9%,4%,3%,6%,1%,17%,11%,5%,24%,20%,"K. P. Katayama, M.D., Ph.D.",109,43,23,0,40.4,30.2,13,=,35.8,23.3,13,=,-18,-25.3,-26.8,=,37.9,27,0.157894737,=,37.9,27,0.157894737,=,5.5,14,17.4,=,2.7,2.7,2.6,=,27.3,0.153846154,0,=,4.5,0.076923077,0,=,30.8,0.3,0,=,23,19,10,1,17.4,0.263157895,0.4,1,2.3,2.1,2.5,2,14,21,0.285714286,23.8,2.3,2.4,Advanced Institute of Fertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MEDICAL COLLEGE OF WISCONSIN DEPARTMENT OF OB/GYN,,MILWAUKEE,WISCONSIN,100%,0%,0%,0%,37%,0%,20%,16%,0%,9%,0%,22%,0%,23%,6%,4%,"Estil Y. Strawn, Jr., M.D.",38,19,7,3,31.6,0.263157895,0.285714286,0.333333333,23.7,0.210526316,0.285714286,0,-27,=,=,=,23.7,0.210526316,0.285714286,0,23.7,0.210526316,0.4,0,0,0,0,0,2.7,2.7,3.2,3.7,0.5,0,0,0,0,0,0,0,0.555555556,0,0,=,21,9,7,1,9.5,0.333333333,0,0,2.6,3.1,3,4,0,0,=,=,=,=,"Medical College of Wisconsin, Department of OB/GYN",Yes,Yes,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SPECIALTY CENTER,IVF COLUMBIA,MILWAUKEE,WISCONSIN,82%,18%,0%,0%,0%,0%,34%,14%,0%,15%,2%,9%,3%,6%,8%,9%,"Grace M. Janik, M.D.",29,22,9,6,24.1,40.9,0.444444444,0.166666667,13.8,22.7,0.444444444,0,-25.1,-35,=,=,14.3,22.7,0.444444444,0,14.8,22.7,0.444444444,0,3.4,0,0,0.333333333,3.8,3.7,4.7,5,0.285714286,0.333333333,0.25,0,0.285714286,0,0.25,0,0.75,0.6,0.25,=,9,8,4,0,0,0.125,0,=,3.8,3.4,3.5,=,2,0,0.5,=,3.5,=,Reproductive Specialty Center IVF Columbia,Yes,Yes,Yes,Yes,Yes,Yes,Yes
WOMENCARE,,WAUKESHA,WISCONSIN,100%,0%,0%,0%,43%,0%,6%,1%,3%,3%,0%,17%,6%,12%,29%,23%,"Gloria M. Halverson, M.D.",24,6,7,5,16.7,0.166666667,0.142857143,0.2,16.7,0.166666667,0.142857143,0,-29.8,=,=,=,16.7,0.166666667,0.166666667,0,0.210526316,0.2,0.166666667,0,0,0,0.142857143,0.2,2.9,2.6,2.7,4.3,0,0,1,0,0.25,0,0,0,0.25,0,1,=,21,4,2,2,9.5,0.25,0.5,0,2.7,3,3,2,0,1,=,0,=,4,WomenCare,Yes,Yes,No,Yes,Yes,Yes,Yes
"WOMEN'S HEALTH CARE, S.C.",,WAUKESHA,WISCONSIN,100%,0%,0%,0%,43%,0%,9%,0%,4%,9%,0%,11%,0%,4%,31%,32%,"Matthew A. Meyer, M.D.",13,9,3,0,0.538461538,0.222222222,0,=,0.461538462,0.222222222,0,=,=,=,=,=,0.461538462,0.222222222,0,=,0.461538462,0.222222222,0,=,0,0,0,=,2.5,2.4,3,=,0.285714286,0.5,=,=,0,0,=,=,0.333333333,0.5,=,=,9,3,7,0,0.111111111,0.333333333,0,=,2.6,2.7,2.6,=,1,3,0,0,3,3,"Women's Health Care, S.C.",Yes,Yes,Yes,No,Yes,Yes,Yes
"CLINIC OF OBSTETRICS & GYNECOLOGY, LTD.",,WEST ALLIS,WISCONSIN,100%,0%,0%,0%,20%,20%,33%,5%,11%,28%,0%,0%,0%,0%,6%,17%,"Debora J. Sportiello, M.D.",2,4,2,2,1,0.25,0,0,1,0.25,0,0,=,=,=,=,1,0.25,0,0,1,0.25,0,0,0,0,0,0,2.5,1.5,3,1,0,0,=,=,0.5,1,=,=,0.5,1,=,=,5,1,1,1,0.2,0,1,0,3.2,4,2,2,0,0,=,=,=,=,Specialty Care for Women,No,No,No,No,Yes,Yes,Yes
COLUMBIA HOSPITAL FOR WOMEN ART PROGRAM,,WASHINGTON,DISTRICT OF COLUMBIA,100%,0%,0%,0%,29%,<1%,24%,4%,15%,6%,<1%,7%,0%,3%,20%,20%,"Richard J. Falk, M.D.",63,60,88,55,36.5,25,19.3,23.6,28.6,20,12.5,12.7,-22.3,-20.2,-13.8,-17.6,31.6,24.5,18,17.9,33.3,25.5,18,18.4,9.5,18.3,30.7,29.1,4,4.5,4.5,4.8,30.4,0.333333333,0.117647059,0.153846154,21.7,0.266666667,0.176470588,0,0.388888889,0.666666667,0.363636364,0.142857143,12,10,9,3,0.083333333,0.2,0.111111111,0,4.1,3.8,3.4,1.7,30,23,50,8.7,3.6,3.1,Clinic has undergone reorganization since 1999.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this,,,,,,,
FERTILITY INSTITUTE OF FORT LAUDERDALE,,PLANTATION,FLORIDA,100%,0%,0%,0%,38%,5%,34%,0%,5%,0%,0%,21%,0%,0%,29%,11%,"Edward H. Illions, M.D.",13,6,1,1,0.230769231,0.333333333,1,0,0.230769231,0.166666667,1,0,=,=,=,=,0.25,0.2,1,0,0.25,0.2,1,0,0.076923077,0.166666667,0,0,3.6,2.2,2,4,0.666666667,0,0,=,0,0,0,=,0.666666667,0,0,=,2,4,0,0,0.5,0.25,=,=,4,3.8,=,=,6,4,0,0,3.5,3,Clinic has undergone reorganization since 1999.  Information on current clinic services and profile therefore is not provided here.  Contact SART for current information about this,,,,,,,Yes
CENTER FOR REPRODUCTIVE MEDICINE,,ROCKVILLE,MARYLAND,100%,0%,0%,0%,48%,0%,21%,4%,4%,9%,0%,25%,4%,8%,4%,21%,"Burt A. Littman, M.D.",10,6,6,1,0.6,0.333333333,0.166666667,0,0.5,0.333333333,0.166666667,0,=,=,=,=,0.5,0.333333333,0.166666667,0,0.5,0.4,0.2,=,0,0,0,0,2.1,2.2,2,=,0.333333333,0,0,=,0,0,0,=,0.4,0,0,=,1,0,0,0,1,=,=,=,3,=,=,=,0,0,=,=,=,=,Center for Reproductive Medicine,No,No,Yes,No,Yes,Yes,Yes
SHADY GROVE FERTILITY,REPRODUCTIVE SCIENCE CENTER,ROCKVILLE,MARYLAND,100%,0%,0%,0%,38%,<1%,25%,7%,3%,14%,2%,28%,2%,19%,<1%,<1%,"Michael J. Levy, M.D.",487,330,253,58,40.7,33.6,21.7,17.2,32.9,27.9,15.4,13.8,-8.3,-9.7,-8.9,-17.8,36.5,33.1,19.2,20.5,37.6,35,19.7,20.5,10.1,15.8,19.8,32.8,2.7,2.9,3.1,3.6,30.3,19.8,14.5,0,4,1.8,3.6,0,40,26.1,23.1,0,33,11,3,1,21.2,0.090909091,0.333333333,0,2.6,3.1,2.3,2,40,5,42.5,0,2.6,3,"Shady Grove Fertility, Reproductive Science Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
CENTER FOR ASSISTED REPRODUCTION,CENTER FOR REPRODUCTIVE MEDICINE,BOSTON,MASSACHUSETTS,>99%,<1%,0%,0%,30%,0%,14%,5%,1%,10%,2%,18%,14%,15%,10%,11%,"Elizabeth Ginsburg, M.D.",497,308,225,116,44.9,35.7,32,20.7,38.6,28.2,26.7,11.2,-8.5,-10.1,-11.5,-11.4,40.4,29.6,29.1,11.7,42.2,31.1,31.3,11.8,4.4,4.5,8.4,4.3,2.6,3.1,3.6,4,36.8,32.7,19.4,20.8,5.8,6.4,2.8,4.2,41.1,34.5,21.7,0.230769231,26,14,7,5,23.1,0.357142857,0.285714286,0.4,3,2.9,3.6,4.8,44,5,50,0.4,2.6,3,"Center for Assisted Reproduction, Center for Reproductive Medicine",Yes,Yes,Yes,Yes,Yes,Yes,Yes
MASSACHUSETTS GENERAL HOSPITAL VINCENT IVF UNIT,,BOSTON,MASSACHUSETTS,100%,0%,0%,0%,39%,0%,18%,4%,5%,11%,3%,34%,3%,13%,2%,7%,"Thomas L. Toth, M.D.",150,60,68,22,35.3,45,22.1,13.6,28.7,41.7,17.6,4.5,-14.5,-24.9,-18.1,-13.2,32.3,45.5,21.4,0.076923077,33.9,47.2,23.1,0.083333333,11.3,8.3,17.6,40.9,2.5,2.8,3.1,3.7,26.4,22.2,0.133333333,0.333333333,3.8,7.4,0,0,27.9,24,0.083333333,0,5,7,1,1,0,0,0,1,2,2.3,1,3,1,0,1,=,2,=,Massachusetts General Hospital Vincent IVF Unit,Yes,No,Yes,Yes,Yes,Yes,Yes
NEW ENGLAND FERTILITY AND ENDOCRINOLOGY ASSOCIATES,,BROOKLINE,MASSACHUSETTS,100%,0%,0%,0%,0%,69%,13%,0%,0%,6%,0%,6%,0%,6%,69%,0%,"Gary L. Gross, M.D.",4,5,4,3,0.25,0,0.25,0,0.25,0,0.25,0,=,=,=,=,0.25,0,0.25,0,1,0,0.333333333,0,0,0,0,0,1,1,1,1.5,0,=,0,=,0,=,0,=,0,=,0,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,New England Fertility and Endocrinology Associates,No,No,Yes,No,Yes,Yes,Yes
"FERTILITY CENTER OF NEW ENGLAND, INC.",NEW ENGLAND CLINIC OF REPRODUCTIVE MEDICINE,READING,MASSACHUSETTS,100%,0%,0%,0%,39%,<1%,17%,8%,9%,8%,2%,18%,5%,7%,14%,12%,"Vito R.S. Cardone, M.D.",316,191,162,80,39.6,28.8,17.3,13.8,29.1,21.5,13.6,10,-10,-11.7,-10.6,-13.2,29.8,22.5,14.7,10.4,32.7,25,16.8,11.1,2.2,4.7,7.4,3.8,2.6,2.8,2.7,2.8,20,21.8,17.9,0.090909091,5.6,5.5,7.1,0,30.4,26.8,22.7,0,57,30,21,15,21.1,23.3,4.8,0,2.8,3,3,2.9,79,28,45.6,21.4,2.8,3,"Fertility Center of New England, Inc., New England Clinic of Reproductive Medicine",Yes,No,Yes,Yes,Yes,Yes,Yes
BAYSTATE IVF,,SPRINGFIELD,MASSACHUSETTS,100%,0%,0%,0%,44%,0%,19%,9%,2%,8%,3%,15%,2%,10%,18%,14%,"Daniel Grow, M.D.",133,69,63,26,35.3,20.3,25.4,7.7,30.8,20.3,17.5,7.7,-15.7,-19,-18.7,-17.9,34.7,27.5,21.6,0.105263158,38.7,33.3,22.4,0.117647059,11.3,26.1,19,26.9,2.2,2.9,2.8,3.2,19.1,0.357142857,0.1875,0,8.5,0,0.0625,0,26.8,0.285714286,0.090909091,0,40,17,12,3,22.5,0.176470588,0.416666667,0.666666667,2.7,2.6,3,3.3,25,10,28,0.3,2.4,1.7,Baystate IVF,Yes,No,Yes,Yes,Yes,Yes,Yes
BOSTON IVF,,WALTHAM,MASSACHUSETTS,97%,3%,0%,<1%,27%,<1%,15%,4%,0%,8%,2%,17%,26%,18%,4%,6%,"Michael M. Alper, M.D.",1020,619,603,330,28.3,28.1,20.6,17.6,26.1,23.3,15.9,12.7,-5.4,-6.7,-5.8,-7.2,28,26.9,19,16.2,30.1,29.1,20.1,17.5,7,13.4,16.1,21.2,2.6,3,3.2,3.7,31.8,27.6,29.8,17.2,8.3,5.2,8.1,1.7,38,34.7,34.4,16.7,158,70,68,20,19.6,15.7,23.5,25,2.6,3,3.1,3.1,102,30,27.5,23.3,2.9,3.1,Boston IVF,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE SCIENCE CENTER OF BOSTON,,WALTHAM,MASSACHUSETTS,>99%,0%,<1%,0%,37%,<1%,10%,5%,2%,9%,<1%,30%,11%,6%,9%,17%,"Patricia McShane, M.D.",615,341,271,115,34.8,31.4,22.5,10.4,26.7,24.6,15.9,7.8,-7,-9.1,-8.7,-9.8,30.2,28.2,19.4,10.8,33.5,32.2,22.1,13,11.7,12.6,18.1,27.8,2,2.1,2.1,2.5,26.2,25.2,24.6,0.083333333,0.9,3.7,0,0,28,28.6,27.9,0.111111111,44,24,12,4,18.2,16.7,0.166666667,0.25,2,2.1,1.9,2.5,55,11,41.8,0,2.1,1.1,Reproductive Science Center of Boston,Yes,No,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF MICHIGAN,,ANN ARBOR,MICHIGAN,100%,0%,0%,0%,44%,0%,15%,2%,4%,4%,0%,43%,13%,7%,3%,9%,"Gregory M. Christman, M.D.",65,24,7,1,18.5,20.8,0.142857143,0,18.5,20.8,0.142857143,0,-18.9,-32.5,=,=,20.7,0.333333333,0.142857143,=,21.4,0.333333333,0.142857143,=,10.8,37.5,0,1,2.9,3.5,3.3,=,0.166666667,0,1,=,0.166666667,0.2,0,=,0.333333333,0.2,1,=,19,9,7,1,0.157894737,0.222222222,0.142857143,0,3.2,3.4,3.6,5,0,0,=,=,=,=,University of Michigan,No,No,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,OAKWOOD HOSPITAL AND MEDICAL CENTER,DEARBORN,MICHIGAN,100%,0%,0%,0%,34%,1%,17%,7%,6%,11%,<1%,17%,4%,7%,11%,20%,"David M. Magyar, D.O.",130,52,49,18,30.8,23.1,12.2,0.111111111,28.5,19.2,12.2,0.111111111,-15.5,-21.4,-18.3,=,35.2,25.6,22.2,0.166666667,37.8,27,0.333333333,0.222222222,19.2,25,44.9,0.333333333,3.2,3.3,2.7,3.8,27.5,0.25,0,0.5,12.5,0,0,0,37.8,0.1,0,0,15,2,2,0,0.2,0,0,=,2.4,2,3,=,7,1,0.285714286,0,3.3,2,"Center for Reproductive Medicine, Oakwood Hospital and Medical Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes
THE CENTER FOR REPRODUCTIVE MEDICINE,HURLEY MEDICAL CENTER,FLINT,MICHIGAN,51%,<1%,45%,3%,62%,0%,14%,<1%,0%,<1%,2%,12%,2%,<1%,26%,42%,"Mostafa I. Abuzeid, M.D.",76,39,25,4,32.9,17.9,12,0,25,10.3,4,0,-19.4,-19.1,-11.7,=,29.7,11.8,4.3,0,30.6,12.5,4.3,0,15.8,12.8,8,0,4.8,4.4,5.1,5.8,16,0,0,=,8,0.142857143,0,=,0.315789474,0.25,0,=,8,5,3,0,0.25,0,0,=,3,2.6,3.7,=,0,0,=,=,=,=,"The Center for Reproductive Medicine, Hurley Medical Center",No,No,No,No,Yes,Yes,Yes
