PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshCI1,FshCI2,FshCI3,FshCI4,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code,
REPROTECH IVF PROGRAM,,ALLENTOWN,PENNSYLVANIA,100%,0%,0%,0%,0%,0%,0%,63%,0%,0%,0%,0%,13%,0%,25%,0%,0%,"Eric R. Rittenhouse, MD",2,3,0,1,0,0,=,0,0,0,=,0,,,,,0,0,=,0,0,0,=,=,0,0,=,=,0,0,=,0,2,4,=,=,=,=,=,=,=,=,=,=,=,=,=,=,0,1,0,0,=,0,=,=,=,3,=,=,0,0,=,=,=,=,Reprotech IVF Program,No,No,Yes,No,Yes,No,No,PA,
FAMILY FERTILITY CENTER,,BETHLEHEM,PENNSYLVANIA,100%,0%,0%,0%,62%,0%,0%,7%,4%,10%,4%,0%,11%,4%,3%,14%,44%,"H. Christina Lee, MD",30,16,15,4,43.3,0.125,0.133333333,0,40,0.0625,0.133333333,0,(22.7Ð59.4),,,,41.4,0.0625,0.133333333,0,41.4,0.0625,0.153846154,0,27.6,0.0625,0.076923077,0,3.3,0,0,0,2.4,3,3.2,3.5,0.384615385,0,0.5,=,0,0,0,=,0.333333333,0,0.5,=,1,0,0,0,0,=,=,=,2,=,=,=,3,3,0.333333333,0.333333333,2,2.7,Family Fertility Center,Yes,No,Yes,Yes,Yes,Yes,Yes,PA,
MAIN LINE FERTILITY AND REPRODUCTIVE MEDICINE,,BRYN MAWR,PENNSYLVANIA,100%,0%,0%,0%,19%,<1%,<1%,8%,12%,20%,2%,2%,9%,6%,15%,9%,18%,"Michael J. Glassner, MD",136,88,99,44,52.2,37.5,23.2,18.2,41.9,35.2,20.2,4.5,(33.5Ð50.7),(25.3Ð46.1),(12.8Ð29.5),(0.6Ð15.5),45.2,39.2,25.3,6.3,47.1,42.5,27,6.7,30.6,28.8,20.3,3.3,7.4,10.2,20.2,27.3,2.6,3.1,3.3,3.7,29.6,27.3,21.7,0.125,7,9.1,4.3,0.125,35.1,32.3,25,0.5,64,44,31,8,40.6,13.6,41.9,0.25,2.7,2.8,2.6,2.6,18,14,0.277777778,0.285714286,2.3,2.7,Main Line Fertility and Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
GEISINGER MEDICAL CENTER FERTILITY PROGRAM,,DANVILLE,PENNSYLVANIA,100%,0%,0%,0%,51%,0%,0%,8%,19%,30%,5%,5%,3%,24%,0%,4%,1%,"Jennifer S. Gell, MD",28,20,8,6,42.9,25,0.25,0.333333333,35.7,20,0.25,0.333333333,(18.6Ð55.9),(5.7Ð43.7),,,47.6,0.285714286,0.285714286,0.333333333,47.6,0.307692308,0.285714286,0.333333333,33.3,0.153846154,0.142857143,0.166666667,25,30,0.125,0,2.6,3,3,3.8,0.25,0,0.5,0.5,0,0.4,0,0,0.3,0.5,0.5,0.5,7,3,0,0,0.142857143,0.333333333,=,=,2.6,3,=,=,10,8,0.7,0,2.6,2.3,This clinic has closed or reorganized since 2005.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,PA,
"ADVANCED CENTER FOR INFERTILITY AND REPRODUCTIVE MEDICINE, RPC",,HARRISBURG,PENNSYLVANIA,100%,0%,0%,0%,71%,0%,0%,8%,6%,3%,21%,0%,12%,5%,0%,14%,32%,"Eric P. Fiedler, MD",26,9,6,0,53.8,0.666666667,0.333333333,=,46.2,0.666666667,0,=,(26.6Ð66.6),,,,54.5,0.666666667,0,=,0.631578947,0.75,0,=,0.421052632,0.375,0,=,15.4,0,0,=,1.9,2,2.3,=,0.5,0.5,0,=,0,0.166666667,0,=,0.333333333,0.5,=,=,4,1,4,0,0.25,0,0,=,1.8,2,2.5,=,13,0,0.538461538,=,1.9,=,"Advanced Center for Infertility and Reproductive Medicine, RPC",Yes,Yes,Yes,Yes,Yes,No,No,PA,
PENN STATE MILTON S. HERSHEY MEDICAL CENTER,,HERSHEY,PENNSYLVANIA,100%,0%,0%,0%,71%,0%,0%,16%,5%,1%,7%,0%,36%,2%,20%,5%,8%,"William C. Dodson, MD",41,20,6,2,24.4,25,0.5,0.5,19.5,25,0.333333333,0,(8.8Ð34.9),(8.7Ð49.1),,,22.2,0.294117647,0.5,0,24.2,0.3125,0.5,0,24.2,0.0625,0.5,0,12.2,15,0.333333333,0,2.3,2.5,2.5,3,0,0.8,0,0,0.1,0,0,0,0,0.8,0,=,4,7,2,2,0.25,0,0,0,2,2.1,2.5,2,0,2,=,0,=,2,Penn State Milton S. Hershey Medical Center,Yes,No,No,No,Yes,Yes,Yes,PA,
"NORTHERN FERTILITY AND REPRODUCTIVE ASSOCIATES, PC",,MEADOWBROOK,PENNSYLVANIA,100%,0%,0%,0%,55%,0%,0%,7%,3%,10%,8%,0%,16%,<1%,3%,21%,31%,"Martin F. Freedman, MD",76,45,32,12,55.3,44.4,37.5,0.166666667,47.4,31.1,34.4,0.083333333,(35.8Ð59.2),(18.2Ð46.6),(18.6Ð53.2),,49.3,35,40.7,0.090909091,50,37.8,40.7,0.125,31.9,35.1,29.6,0.125,3.9,11.1,15.6,0.083333333,2.5,3,3.3,3.6,28.6,15,0.166666667,0.5,7.1,5,0.083333333,0,36.1,0.071428571,0.272727273,0,12,5,4,2,0.416666667,0.2,0,0,2.4,2.6,1.5,2.5,8,7,0.125,0.285714286,2.4,2.9,"Northern Fertility and Reproductive Associates, PC",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
JEFFERSON IVF,,PHILADELPHIA,PENNSYLVANIA,100%,0%,0%,0%,12%,0%,0%,30%,23%,0%,7%,13%,10%,0%,7%,3%,7%,"Gregory T. Fossum, MD",10,4,9,2,0.5,0,0,0.5,0.3,0,0,0,,,,,0.375,0,0,0,0.375,0,0,0,0.125,0,0,0,0.2,0.25,0.111111111,0.5,3.3,3.3,2.7,5,0.4,=,=,0,0,=,=,0,0.666666667,=,=,=,1,1,0,2,1,0,=,0,3,4,=,3.5,1,0,1,=,3,=,Jefferson IVF,Yes,Yes,Yes,No,Yes,No,Yes,PA,
PENNSYLVANIA REPRODUCTIVE ASSOCIATES,"WOMEN'S INSTITUTE FOR FERTILITY, ENDOCRINOLOGY, AND MENOPAUSE",PHILADELPHIA,PENNSYLVANIA,100%,0%,0%,0%,69%,0%,3%,11%,3%,18%,3%,2%,20%,2%,20%,9%,13%,"Maureen P. Kelly, MD",122,82,63,20,47.5,37.8,28.6,25,45.1,34.1,20.6,10,(36.1Ð54.3),(24.0Ð45.4),(11.5Ð32.7),(1.2Ð31.7),49.1,36.4,22,0.117647059,50.5,37.8,23.2,0.117647059,32.1,25.7,17.9,0.117647059,8.2,6.1,6.3,15,2.5,2.8,3.1,2.9,27.6,29,0.055555556,0,6.9,6.5,0.111111111,0,36.4,32.1,0.230769231,0,19,4,6,5,0.105263158,0.25,0.333333333,0.2,2.1,3,2.8,2.8,51,15,56.9,0.4,2.3,1.7,"Pennsylvania Reproductive Associates, Women's Institute for Fertility, Endocrinology, and Menopause",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
UNIVERSITY OF PENNSYLVANIA,PENN FERTILITY CARE,PHILADELPHIA,PENNSYLVANIA,100%,0%,0%,0%,12%,0%,3%,11%,4%,6%,5%,2%,13%,8%,13%,29%,9%,"Christos B. Coutifaris, MD",140,74,78,35,35,28.4,21.8,8.6,32.9,25.7,16.7,5.7,(25.2Ð41.3),(16.2Ð37.2),(9.2Ð26.8),(0.7Ð19.2),36.5,33.3,21.3,7.4,41.8,36.5,24.5,8.7,28.2,28.8,17,8.7,10,23,21.8,22.9,2.5,2.8,3.5,3.8,26.5,19,0.294117647,0,4.1,0,0.058823529,0.333333333,32.6,0.210526316,0.307692308,0,25,19,11,5,28,0.157894737,0.272727273,0.4,2.5,2.4,2.5,3.6,27,13,25.9,0.230769231,2.4,2.9,"University of Pennsylvania, Penn Fertility Care",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
JONES INSTITUTE AT WEST PENN ALLEGHENY HEALTH SYSTEM,,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,57%,0%,4%,10%,2%,1%,8%,2%,22%,7%,22%,9%,17%,"Scott W. Kauma, MD",35,21,11,2,37.1,38.1,0.272727273,0,34.3,38.1,0.181818182,0,(19.1Ð52.2),(18.1Ð61.6),,,44.4,0.5,0.222222222,=,44.4,0.5,0.222222222,=,33.3,0.375,0.222222222,=,22.9,23.8,0.181818182,1,2.5,2.9,2.9,=,0.384615385,0,0,=,0.076923077,0.25,0,=,0.25,0.25,0,=,9,6,3,0,0.444444444,0,0,=,2.8,2.8,3.7,=,0,1,=,0,=,1,Jones Institute at West Penn Allegheny Health System,Yes,No,Yes,Yes,Yes,Yes,Yes,PA,
"REPRODUCTIVE HEALTH SPECIALISTS, INC.",,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,43%,0%,0%,9%,5%,5%,7%,2%,27%,3%,28%,6%,10%,"Judith L. Albert, MD",82,49,36,10,43.9,44.9,22.2,0.4,41.5,38.8,22.2,0.3,(30.7Ð52.9),(25.2Ð53.8),(10.1Ð39.2),,44.7,41.3,25.8,0.5,47.9,42.2,29.6,0.5,29.6,31.1,18.5,0.5,7.3,6.1,13.9,0.4,1.9,2,2.5,2.5,38.9,13.6,0.5,0,0,9.1,0,0,38.2,0.263157895,0.375,0,20,27,9,5,20,14.8,0.222222222,0.2,2,2.2,1.9,2.6,10,8,0.5,0.25,2,2.3,"Reproductive Health Specialists, Inc.",Yes,No,Yes,Yes,Yes,Yes,Yes,PA,
UNIVERSITY OF PITTSBURGH PHYSICIANS,CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,PITTSBURGH,PENNSYLVANIA,100%,0%,0%,0%,47%,0%,1%,4%,1%,23%,4%,<1%,13%,18%,8%,13%,14%,"Anthony N. Wakim, MD",117,74,71,22,22.2,23,9.9,18.2,20.5,21.6,7,13.6,(13.6Ð29.0),(12.9Ð32.7),(2.3Ð15.7),(2.9Ð34.9),21.8,25.8,8.8,15,23.8,27.6,11.1,0.176470588,17.8,19,8.9,0.176470588,6,16.2,19.7,9.1,2.3,2.7,2.8,2.9,26.9,0.411764706,0.142857143,0.25,3.8,0,0.142857143,0,25,0.3125,0.2,0,72,44,9,6,23.6,11.4,0.222222222,0,2.8,2.6,3,2.8,31,32,35.5,31.3,2.1,2.6,"University of Pittsburgh Physicians, Center for Fertility and Reproductive Endocrinology",Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
REPRODUCTIVE ENDOCRINOLOGY AND FERTILITY CENTER,,UPLAND,PENNSYLVANIA,100%,0%,0%,0%,55%,0%,0%,9%,2%,5%,7%,1%,7%,9%,2%,20%,37%,"Albert El-Roeiy, MD",59,31,28,10,32.2,25.8,10.7,0,30.5,19.4,7.1,0,(19.2Ð43.9),(7.5Ð37.5),(0.9Ð23.5),,36.7,23.1,8.7,0,45,30,0.117647059,0,27.5,20,0.058823529,0,16.9,16.1,17.9,0.3,3,3.1,2.9,3.2,0.368421053,0.25,0.333333333,=,0.052631579,0,0,=,0.388888889,0.333333333,0.5,=,19,4,3,0,0.210526316,0,0.333333333,=,3.4,4,4.7,=,6,6,0.666666667,0,3.2,3.8,Reproductive Endocrinology and Fertility Center,Yes,No,Yes,No,Yes,Yes,Yes,PA,
REPRODUCTIVE SCIENCE INSTITUTE OF SUBURBAN PHILADELPHIA,,WAYNE,PENNSYLVANIA,100%,0%,0%,0%,53%,0%,3%,9%,11%,25%,2%,3%,11%,5%,3%,16%,16%,"Abraham K. Munabi, MD",79,45,31,14,35.4,26.7,19.4,0.071428571,30.4,22.2,16.1,0.071428571,(20.5Ð41.8),(11.2Ð37.1),(5.5Ð33.7),,32.4,24.4,18.5,0.166666667,35.8,27.8,21.7,0.2,26.9,13.9,8.7,0.2,6.3,8.9,12.9,0.571428571,2.8,3.2,3.1,2.8,21.4,0.25,0.333333333,0,0,0.166666667,0.166666667,0,25,0.5,0.6,0,13,0,2,0,0.230769231,=,0.5,=,2.6,=,2,=,38,15,36.8,0.333333333,2.8,3.2,Reproductive Science Institute of Suburban Philadelphia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
"WOMEN'S CLINIC, LTD.",,WEST READING,PENNSYLVANIA,100%,0%,0%,0%,38%,0%,0%,10%,0%,0%,6%,0%,23%,2%,2%,23%,33%,"Vincent A. Pellegrini, MD",20,17,8,3,50,0.235294118,0.375,0,50,0.176470588,0,0,(27.2Ð72.8),,,,0.588235294,0.333333333,0,0,0.714285714,0.333333333,0,0,0.428571429,0.222222222,0,0,15,0.470588235,0.25,0,3.4,3.7,4,2.3,0.3,0.25,0,=,0.1,0,0,=,0.4,0.333333333,=,=,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,"Women's Clinic, Ltd.",No,No,No,No,No,Yes,Yes,PA,
FERTILITY AND GYNECOLOGY ASSOCIATES,,WILLOW GROVE,PENNSYLVANIA,100%,0%,0%,0%,53%,0%,0%,4%,0%,13%,11%,0%,19%,6%,17%,11%,19%,"Leonore C. Huppert, MD",15,5,7,1,0.4,0.4,0.428571429,0,0.333333333,0.4,0.142857143,0,,,,,0.357142857,0.5,0.142857143,0,0.454545455,0.666666667,0.142857143,0,0.272727273,0.333333333,0.142857143,0,0.066666667,0.2,0,0,2.6,4.3,4.1,4,0.333333333,1,0.333333333,=,0,0,0,=,0.4,0.5,0,=,5,2,0,1,0.2,0.5,=,0,3,3.5,=,6,3,6,0.333333333,0.166666667,2,3,Fertility and Gynecology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,PA,
"THE FERTILITY CENTER, LLC",,YORK,PENNSYLVANIA,100%,0%,0%,0%,97%,0%,16%,4%,18%,18%,0%,0%,33%,2%,10%,0%,14%,"Robert B. Filer, MD",18,7,5,1,0.5,0.428571429,0.2,0,0.333333333,0.285714286,0,0,,,,,0.333333333,0.285714286,0,0,0.333333333,0.285714286,0,=,0.222222222,0,0,=,0,0,0,0,2.9,3,2.3,=,0.333333333,0.333333333,0,=,0,0.333333333,0,=,0.333333333,1,=,=,9,3,0,0,0.222222222,0.333333333,=,=,3.2,2.7,=,=,5,0,0.6,=,3,=,"The Fertility Center, LLC",Yes,No,Yes,Yes,Yes,No,No,PA,
"PEDRO J. BEAUCHAMP, MD",,BAYAMON,PUERTO RICO,100%,0%,0%,0%,64%,0%,<1%,11%,3%,<1%,4%,<1%,14%,<1%,1%,29%,36%,"Pedro J. Beauchamp, MD",118,52,39,19,48.3,32.7,17.9,0.052631579,34.7,17.3,12.8,0.052631579,(26.2Ð44.1),(8.2Ð30.3),(4.3Ð27.4),,39.4,20.9,14.7,0.055555556,41.4,23.7,17.2,0.055555556,30.3,15.8,10.3,0.055555556,11.9,17.3,12.8,0.052631579,2.7,3.1,2.8,3.2,29.8,0.235294118,0.142857143,0,1.8,0,0.142857143,0,26.8,0.333333333,0.4,0,2,0,0,0,0,=,=,=,2,=,=,=,12,1,0.5,0,3,4,"Pedro J. Beauchamp, MD",Yes,No,No,No,Yes,Yes,Yes,PR,
CENTRO DE FERTILIDAD DEL CARIBE,,RIO PIEDRAS,PUERTO RICO,100%,0%,0%,0%,59%,0%,0%,15%,4%,0%,1%,0%,12%,1%,1%,20%,46%,"Rene Fernandez-Pelegrina, MD",36,17,23,5,50,0.352941176,34.8,0.4,47.2,0.235294118,26.1,0.4,(30.4Ð64.5),,(10.2Ð48.4),,47.2,0.235294118,26.1,0.4,50,0.25,27.3,0.666666667,32.4,0.0625,13.6,0.666666667,0,0,0,0,2.2,2.1,2.6,2.7,0.333333333,0.5,0.375,0,0,0,0,0,0.352941176,0.75,0.5,0,0,0,0,0,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Centro de Fertilidad del Caribe,No,No,No,No,No,Yes,No,PR,
GREFI,"GYNECOLOGY, REPRODUCTIVE ENDOCRINOLOGY & FERTILITY INSTITUTE",SANTURCE,PUERTO RICO,100%,0%,0%,0%,39%,0%,1%,16%,3%,12%,9%,1%,25%,3%,8%,6%,16%,"Rosa Ileana Cruz, MD",36,16,15,7,36.1,0.25,0.066666667,0.285714286,27.8,0.1875,0,0.285714286,(14.2Ð45.2),,,,29.4,0.1875,0,0.285714286,32.3,0.2,0,0.285714286,25.8,0.2,0,0.285714286,5.6,0,0.066666667,0,2.7,3.1,3.3,3,0.076923077,0,0,0,0.076923077,0,0,0,0.2,0,=,0,2,2,0,1,0,0.5,=,0,2,2.5,=,4,12,2,0.333333333,0,2.8,2,"GREFI, Gynecology, Reproductive Endocrinology & Fertility Institute",Yes,Yes,Yes,No,Yes,Yes,Yes,PR,
WOMEN AND INFANTS' DIVISION OF REPRODUCTIVE MEDICINE AND INFERTILITY,,PROVIDENCE,RHODE ISLAND,100%,0%,0%,0%,56%,<1%,<1%,13%,8%,4%,5%,2%,16%,10%,30%,3%,9%,"Gary Frishman, MD",266,175,132,82,43.2,38.3,28,17.1,35.7,32.6,22.7,12.2,(30.0Ð41.8),(25.7Ð40.1),(15.9Ð30.8),(6.0Ð21.3),37,35.6,24.2,13.3,39.6,38.5,31.3,17.5,24.2,26.4,21.9,15.8,3.4,8.6,6.1,8.5,2,2.2,2.3,2.6,39.1,31.3,27,0.071428571,0.9,3,0,0,38.9,31.6,30,0.1,61,27,17,5,14.8,14.8,0.117647059,0,2.5,2.9,1.8,3,55,29,36.4,13.8,2.1,2.6,This clinic has closed or reorganized since 2005.  Information on current clinic services and profile therefore is not provided here.  Contact the NASS Help Desk for current information about this clinic.,,,,,,,,RI,
CENTER FOR WOMEN'S MEDICINE,REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,GREENVILLE,SOUTH CAROLINA,100%,0%,0%,0%,64%,0%,2%,11%,9%,29%,26%,0%,13%,2%,1%,7%,1%,"Bruce A. Lessey, MD, PhD",75,16,13,2,53.3,0.5,0.461538462,0,41.3,0.4375,0.384615385,0,(30.1Ð53.3),,,,48.4,0.5,0.416666667,0,48.4,0.5,0.416666667,0,20.3,0.357142857,0.333333333,0,14.7,0.125,0.076923077,0.5,2.2,2.3,2.8,4,47.5,0.25,0.166666667,=,7.5,0,0,=,58.1,0.285714286,0.2,=,16,6,2,0,0.3125,0.5,0,=,2.3,2.7,4,=,9,5,0.444444444,0.2,2.1,2.4,"Center for Women's Medicine, Reproductive Endocrinology and Infertility",Yes,No,Yes,Yes,Yes,Yes,Yes,SC,
"PIEDMONT REPRODUCTIVE ENDOCRINOLOGY GROUP, PA",,GREENVILLE,SOUTH CAROLINA,100%,0%,0%,0%,69%,0%,0%,8%,41%,2%,2%,0%,1%,0%,0%,27%,18%,"John E. Nichols, MD",37,13,9,2,43.2,0.384615385,0.444444444,0,37.8,0.307692308,0.333333333,0,(22.5Ð55.2),,,,43.8,0.307692308,0.333333333,0,45.2,0.307692308,0.375,0,22.6,0.153846154,0.375,0,13.5,0,0,0.5,2.5,2.5,3.8,3,0.375,0.2,0,=,0.0625,0.2,0,=,0.5,0.5,0,=,15,2,0,1,0.2,0.5,=,1,2.5,1.5,=,1,6,2,0.166666667,0.5,2.3,4,"Piedmont Reproductive Endocrinology Group, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,SC,
"SOUTHEASTERN FERTILITY CENTER, PA",,MOUNT PLEASANT,SOUTH CAROLINA,100%,0%,0%,0%,58%,0%,<1%,12%,5%,19%,8%,0%,16%,3%,10%,12%,17%,"Grant W. Patton, MD",152,40,26,4,54.6,50,34.6,0.25,48,45,23.1,0,(39.9Ð56.3),(29.3Ð61.5),(9.0Ð43.6),,50,47.4,25,0,53.3,48.6,26.1,0,35,32.4,26.1,0,3.9,5,7.7,0.25,2.1,2.4,2.4,1.7,34.9,55,0,0,3.6,0,0,0,34.2,0.333333333,0,=,50,14,12,3,28,0.785714286,0.25,0.333333333,1.9,1.7,1.8,1.3,56,23,67.9,26.1,2.1,2,"Southeastern Fertility Center, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,SC,
ADVANCED FERTILITY & REPRODUCTIVE ENDOCRINOLOGY,,WEST COLUMBIA,SOUTH CAROLINA,100%,0%,0%,0%,96%,0%,0%,6%,9%,6%,2%,<1%,23%,1%,2%,6%,45%,"Gail F. Whitman-Elia, MD",120,34,24,9,54.2,50,45.8,0.222222222,45.8,41.2,29.2,0,(36.7Ð55.2),(24.6Ð59.3),(12.6Ð51.1),,47.4,42.4,30.4,0,49.5,45.2,31.8,0,33.3,25.8,27.3,0,3.3,2.9,4.2,0.111111111,2.5,3.1,3.3,3,29.2,0.294117647,0.090909091,0.5,4.6,0.058823529,0,0,32.7,0.428571429,0.142857143,=,26,10,5,2,23.1,0,0,0,2.5,2.3,3.4,2.5,12,1,0.5,1,2,4,Advanced Fertility & Reproductive Endocrinology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,SC,
"SIOUX VALLEY CLINIC OB-GYN, LTD.",,SIOUX FALLS,SOUTH DAKOTA,100%,0%,0%,0%,63%,0%,0%,14%,7%,18%,6%,0%,19%,6%,4%,3%,23%,"Keith A. Hansen, MD",81,16,7,4,50.6,0.375,0.142857143,0,40.7,0.375,0.142857143,0,(29.9Ð52.2),,,,43.4,0.4,0.142857143,0,45.2,0.461538462,0.142857143,0,30.1,0.307692308,0.142857143,0,6.2,0.0625,0,0.25,2.6,2.6,3.3,2,34.1,0.333333333,0,=,2.4,0,0,=,33.3,0.333333333,0,=,25,10,3,0,12,0.2,0.333333333,=,3,2.8,1.7,=,4,3,0,0.666666667,1.5,2.7,"Sioux Valley Clinic OB-GYN, Ltd.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,SD,
"FERTILITY CENTER, LLC",,CHATTANOOGA,TENNESSEE,100%,0%,0%,0%,62%,<1%,0%,15%,6%,17%,5%,1%,21%,2%,13%,5%,16%,"Barry W. Donesky, MD",67,25,10,4,37.3,28,0.2,0.25,31.3,24,0.2,0,(20.6Ð43.8),(9.4Ð45.1),,,36.2,0.315789474,0.2,0,38.2,0.333333333,0.2,0,21.8,0.222222222,0.2,0,13.4,24,0,0,2.1,2.1,2.5,1.5,36,0.285714286,0,1,0,0,0,0,42.9,0.333333333,0,=,25,5,1,0,36,0.8,0,=,2.2,2,3,=,17,8,0.705882353,0.375,2.1,2.4,"Fertility Center, LLC",Yes,Yes,No,Yes,Yes,Yes,Yes,TN,
CENTER FOR APPLIED REPRODUCTIVE SCIENCE,,JOHNSON CITY,TENNESSEE,100%,0%,0%,0%,40%,0%,0%,9%,19%,4%,4%,0%,4%,3%,<1%,25%,32%,"Samuel S. Thatcher, MD, PhD",121,41,27,6,41.3,29.3,29.6,0,39.7,22,18.5,0,(30.9Ð49.0),(10.6Ð37.6),(6.3Ð38.1),,45.7,28.1,21.7,0,50.5,33.3,23.8,=,35.8,18.5,23.8,=,13.2,22,14.8,0.666666667,1.9,1.9,1.8,=,30,0.416666667,0,=,0,0,0,=,29.2,0.444444444,0,=,23,6,7,0,21.7,0.5,0.285714286,=,1.8,1.5,2,=,5,24,0.4,37.5,1.4,1.9,Center for Applied Reproductive Science,Yes,Yes,Yes,No,Yes,No,No,TN,
"EAST TENNESSEE IVF, FERTILITY, AND ANDROLOGY CENTER",,KNOXVILLE,TENNESSEE,100%,0%,0%,0%,45%,0%,0%,12%,3%,15%,9%,0%,12%,0%,3%,18%,29%,"Gayla S. Harris, MD",15,2,3,0,0.4,0.5,0.333333333,=,0.4,0.5,0,=,,,,,0.4,0.5,0,=,0.4,0.5,0,=,0.266666667,0.5,0,=,0,0,0,=,2.3,3,3.3,=,0.333333333,0,0,=,0,0,0,=,0.333333333,0,=,=,3,0,0,0,0,=,=,=,3,=,=,=,9,2,0.666666667,0.5,2.1,3,"East Tennessee IVF, Fertility, and Andrology Center",Yes,Yes,No,Yes,Yes,Yes,Pending,TN,
SOUTHEASTERN FERTILITY CENTER,,KNOXVILLE,TENNESSEE,100%,0%,0%,0%,62%,0%,0%,8%,5%,4%,3%,0%,27%,0%,12%,6%,36%,"Jeffrey A. Keenan, MD",16,7,5,1,0.4375,0.428571429,0.4,0,0.375,0.428571429,0.4,0,,,,,0.4,0.428571429,0.4,=,0.428571429,0.428571429,0.4,=,0.357142857,0.428571429,0.2,=,0.0625,0,0,1,2.2,2.4,3.8,=,0.142857143,0,0.5,=,0,0,0,=,0.166666667,0,0.5,=,9,1,0,0,0.333333333,1,=,=,2.8,2,=,=,2,32,0.5,37.5,2.5,2.8,Southeastern Fertility Center,Yes,Yes,No,No,Yes,Yes,No,TN,
"KUTTEH KE FERTILITY ASSOCIATES OF MEMPHIS, PLLC",,MEMPHIS,TENNESSEE,100%,0%,0%,0%,46%,0%,0%,11%,10%,14%,9%,<1%,16%,3%,5%,14%,17%,"Raymond W. Ke, MD",131,54,26,7,56.5,48.1,30.8,0.142857143,50.4,42.6,23.1,0.142857143,(41.5Ð59.2),(29.2Ð56.8),(9.0Ð43.6),,52.8,47.9,27.3,0.2,56.9,48.9,28.6,0.2,36.2,34,14.3,0.2,4.6,11.1,15.4,0.285714286,2.3,2.7,2.7,3,39.2,26.9,0.375,0,2.7,11.5,0,0,36.4,30.4,0.5,0,14,2,1,0,0.571428571,0.5,0,=,2.2,2.5,1,=,8,2,0.75,1,2,2.5,"Kutteh Ke Fertility Associates of Memphis, PLLC",Yes,Yes,No,No,Yes,Yes,Yes,TN,
