OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT_Rate,Combo_Rate,ICSI_Rate,Unstimulated_Rate,Gest_Rate,PGD_Rate,eSETTotal,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,MedicalDirector,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshCI1,FshCI2,FshCI3,FshCI4,FshCI5,FshNDRetsRate1,FshNDRetsRate2,FshNDRetsRate3,FshNDRetsRate4,FshNDRetsRate5,FshNDTransRate1,FshNDTransRate2,FshNDTransRate3,FshNDTransRate4,FshNDTransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDTwinPregsRate1,FshNDTwinPregsRate2,FshNDTwinPregsRate3,FshNDTwinPregsRate4,FshNDTwinPregsRate5,FshNDTripPregsRate1,FshNDTripPregsRate2,FshNDTripPregsRate3,FshNDTripPregsRate4,FshNDTripPregsRate5,FshNDMultInfsRate1,FshNDMultInfsRate2,FshNDMultInfsRate3,FshNDMultInfsRate4,FshNDMultInfsRate5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDLvBirthsRate1,ThwNDLvBirthsRate2,ThwNDLvBirthsRate3,ThwNDLvBirthsRate4,ThwNDLvBirthsRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,FshDnrTransfers,ThwDnrTransfers,FshDnrLvBirthsRate,ThwDnrLvBirthsRate,FshDnrEmbryosRate,ThwDnrEmbryosRate,CurrClinNameAll,DonorEgg,DonorEmbryo,SingleWomen,Surrogates,Cryopreservation,SART_Member,Accreditation,state_code
357,"FERTILITY CENTER, LLC",,CHATTANOOGA,TENNESSEE,100%,0%,0%,0%,82%,0%,0%,9%,6%,11%,4%,6%,2%,0%,26%,5%,5%,18%,24%,"Barry W. Donesky, MD",67,32,7,4,2,37.9,13.2,0.5,0,0,37.3,12.5,0.571428571,0,0,26.9,9.4,0.428571429,0,0,(16.8Ð39.1),(2.0Ð25.0),,,,31.6,11.1,0.5,0,0,36,14.3,0.5,0,0,20,9.5,0.166666667,0,0,14.9,15.6,0.142857143,0.25,0,1.9,1.8,2,2,2,40,0.25,0.5,=,=,4,0,0,=,=,0.444444444,0.333333333,0.666666667,=,=,28,14,3,0,0,57.1,0.357142857,0.333333333,=,=,2.1,2.1,1.3,=,=,14,15,0.642857143,0.533333333,1.9,1.9,"Fertility Center, LLC",Yes,Yes,No,Yes,Yes,Yes,Yes,TN
358,ETSU PHYSICIANS ASSOCIATES,,JOHNSON CITY,TENNESSEE,100%,0%,0%,0%,83%,0%,0%,0%,0%,11%,11%,11%,32%,0%,21%,5%,0%,0%,11%,"Norman A. Assad, MD",9,0,3,0,0,15,=,0.2,=,=,0.444444444,=,0.333333333,=,=,0.333333333,=,0.333333333,=,=,,,,,,0.333333333,=,0.333333333,=,=,0.333333333,=,0.333333333,=,=,0.333333333,=,0.333333333,=,=,0,=,0,=,=,2.2,=,1.7,=,=,0,=,0,=,=,0,=,0,=,=,0,=,0,=,=,2,1,0,0,0,0.5,0,=,=,=,1.5,1,=,=,=,2,1,0.5,0,2,2,ETSU Physicians Associates,Yes,No,Yes,Yes,Yes,Yes,Yes,TN
359,"EAST TENNESSEE IVF, FERTILITY, AND ANDROLOGY CENTER",,KNOXVILLE,TENNESSEE,100%,0%,0%,0%,37%,0%,0%,0%,0%,19%,5%,0%,0%,0%,19%,0%,0%,29%,29%,"Gayla S. Harris, MD",11,7,1,0,0,38.5,0.111111111,0,=,=,0.636363636,0.285714286,0,=,=,0.545454545,0.285714286,0,=,=,,,,,,0.545454545,0.285714286,0,=,=,0.545454545,0.285714286,0,=,=,0.363636364,0.285714286,0,=,=,0,0,0,=,=,2.4,2.6,3,=,=,0.428571429,0,=,=,=,0,0,=,=,=,0.333333333,0,=,=,=,1,0,0,0,0,1,=,=,=,=,2,=,=,=,=,1,0,0,=,2,=,"East Tennessee IVF, Fertility, and Andrology Center",Yes,Yes,No,Yes,Yes,Yes,No,TN
360,SOUTHEASTERN FERTILITY CENTER,,KNOXVILLE,TENNESSEE,100%,0%,0%,0%,71%,0%,0%,0%,4%,4%,5%,11%,10%,0%,32%,2%,17%,6%,11%,"Jeffrey A. Keenan, MD",19,14,3,2,0,46.9,36,0,0,=,0.526315789,0.428571429,0,0,=,0.473684211,0.357142857,0,0,=,,,,,,0.529411765,0.5,0,0,=,0.642857143,0.5,0,0,=,0.285714286,0.2,0,0,=,0.105263158,0.285714286,0,0.5,=,2.3,2.5,3.3,4,=,0.5,0.5,=,=,=,0,0,=,=,=,0.555555556,0.6,=,=,=,7,3,0,0,0,0.571428571,0,=,=,=,2.3,2.3,=,=,=,0,64,=,53.1,=,2.5,Southeastern Fertility Center,Yes,Yes,No,No,Yes,No,No,TN
361,"KUTTEH KE FERTILITY ASSOCIATES OF MEMPHIS, PLLC",,MEMPHIS,TENNESSEE,100%,0%,0%,0%,56%,0%,<1%,<1%,4%,5%,7%,11%,3%,0%,11%,3%,4%,25%,31%,"Raymond W. Ke, MD",132,43,22,10,3,48.3,37.8,19.6,7.7,0.4,55.3,51.2,31.8,0.1,0.333333333,49.2,44.2,31.8,0.1,0.333333333,(40.4Ð58.1),(29.1Ð60.1),(13.9Ð54.9),,,52.4,48.7,33.3,0.111111111,0.333333333,56.5,50,33.3,0.125,0.333333333,29.6,26.3,23.8,0,0,6.1,9.3,4.5,0.1,0,2.1,2.4,2.4,3.3,1.7,56.2,45.5,0.428571429,1,1,0,4.5,0,0,0,47.7,0.473684211,0.285714286,1,1,29,3,0,0,0,62.1,0.333333333,=,=,=,2.1,2.3,=,=,=,24,4,66.7,0.5,1.9,2.3,"Kutteh Ke Fertility Associates of Memphis, PLLC",Yes,Yes,No,Yes,Yes,Yes,Yes,TN
362,THE CENTER FOR REPRODUCTIVE HEALTH,,NASHVILLE,TENNESSEE,100%,0%,0%,0%,93%,0%,2%,0%,0%,1%,8%,4%,1%,0%,4%,3%,1%,9%,68%,"Jaime M. Vasquez, MD",39,5,10,2,1,18.3,0.0625,20,0,0,48.7,0.2,0.2,0,0,25.6,0.2,0.1,0,0,(13.0Ð42.1),,,,,27,0.2,0.125,0,0,27,0.2,0.125,0,0,18.9,0.2,0,0,0,5.1,0,0.2,0,0,2.9,3.2,3.1,3.5,3,0.052631579,0,0,=,=,0.105263158,0,0.5,=,=,0.3,0,1,=,=,10,3,2,2,1,0.4,0,0,0,0,3,3.7,1.5,2.5,2,10,7,0.1,0.142857143,2.9,3.4,The Center for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TN
363,NASHVILLE FERTILITY CENTER,,NASHVILLE,TENNESSEE,100%,0%,0%,0%,69%,0%,<1%,15%,<1%,3%,2%,5%,3%,<1%,14%,1%,2%,30%,39%,"George A. Hill, MD",166,80,51,37,5,36.5,29.8,15.8,4.2,0.125,50.6,35,31.4,10.8,0.2,48.2,30,23.5,5.4,0.2,(40.4Ð56.1),(20.3Ð41.3),(12.8Ð37.5),(0.7Ð18.2),,54.8,39.3,33.3,7.7,0.25,57.1,40,35.3,8.3,0.25,39.3,20,29.4,8.3,0.25,12,23.8,29.4,29.7,0.2,2.3,2.5,3,3,2,33.3,21.4,0.0625,0,0,3.6,21.4,0.0625,0,0,31.3,50,0.166666667,0,0,38,32,14,2,0,44.7,37.5,0.071428571,0,=,2.2,2.5,1.9,2.5,=,26,31,65.4,29,2.1,2,Nashville Fertility Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TN
364,TEXAS FERTILITY CENTER,"DRS. VAUGHN, SILVERBERG, HANSARD AND BURGER",AUSTIN,TEXAS,100%,0%,0%,0%,51%,0%,<1%,4%,3%,6%,4%,6%,9%,2%,12%,10%,7%,28%,17%,"Kaylen Silverberg, MD",272,157,122,57,12,44.7,30.8,18.2,11.5,0,57.4,44.6,30.3,29.8,0,52.2,41.4,20.5,15.8,0,(46.1Ð58.3),(33.6Ð49.5),(13.7Ð28.7),(7.5Ð27.9),,56.6,47.1,24.8,19.1,0,57.7,48.5,26.3,20,0,35.4,35.1,14.7,20,0,7.7,12.1,17.2,17.5,0.583333333,2,2.4,2.8,3.5,3.8,42.9,28.6,29.7,0.117647059,=,1.3,5.7,5.4,0,=,38.7,27.7,44,0,=,58,41,17,8,4,37.9,14.6,0.176470588,0.375,0.25,1.7,1.6,2.2,1.6,1.8,84,22,72.6,31.8,2.1,1.5,"Texas Fertility Center, Drs. Vaughn, Silverberg, Hansard and Burger",Yes,No,Yes,Yes,Yes,Yes,Yes,TX
365,"JEFFREY YOUNGKIN, MD",AUSTIN FERTILITY CENTER,AUSTIN,TEXAS,100%,0%,0%,0%,36%,0%,0%,8%,0%,17%,7%,0%,14%,0%,7%,17%,17%,7%,14%,"Jeffrey T. Youngkin, MD",13,7,4,1,0,60,0.285714286,0.090909091,1,=,0.769230769,0.571428571,0.25,1,=,0.538461538,0.571428571,0.25,1,=,,,,,,0.583333333,0.666666667,0.25,1,=,0.583333333,0.666666667,0.25,1,=,0.166666667,0.666666667,0.25,0,=,0.076923077,0.142857143,0,0,=,2.1,2.3,2.8,3,=,0.6,0,0,0,=,0,0,0,1,=,0.714285714,0,0,1,=,0,3,1,0,0,=,0,1,=,=,=,2,1,=,=,0,0,=,=,=,=,"Jeffrey Youngkin, MD, Austin Fertility Center",No,No,No,No,Yes,Yes,Yes,TX
366,CENTER FOR ASSISTED REPRODUCTION,,BEDFORD,TEXAS,100%,0%,0%,0%,63%,0%,<1%,0%,6%,10%,10%,3%,4%,1%,30%,16%,8%,6%,13%,"Kevin J. Doody, MD",211,75,39,12,15,47.1,30,23.1,19,0.055555556,55.5,45.3,41,0.25,0.066666667,50.7,37.3,28.2,0.166666667,0,(43.8Ð57.6),(26.4Ð49.3),(15.0Ð44.9),,,52.2,38.4,30.6,0.166666667,0,54.6,40,33.3,0.25,0,28.1,25.7,21.2,0.25,0,2.8,2.7,7.7,0,0.266666667,1.9,2,2.4,2.6,2.3,45.3,35.3,0.1875,0.333333333,0,1.7,0,0.0625,0,0,48.6,35.7,0.363636364,0,=,81,40,18,6,2,38.3,32.5,0.055555556,0,0,1.9,2,2.2,2.3,1.5,29,48,37.9,37.5,1.9,1.9,Center for Assisted Reproduction,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
367,TEXAS FERTILITY,,CARROLLTON,TEXAS,100%,0%,0%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,15%,81%,"Barry R. Jacobs, MD",8,8,4,3,1,0.333333333,0.176470588,0,0,0,0.5,0.375,0,0,0,0.5,0.375,0,0,0,,,,,,0.5,0.428571429,0,0,0,0.5,0.428571429,0,0,0,0.25,0.428571429,0,0,0,0,0.125,0.5,0,0,2.3,2.4,3,3.3,3,0.5,0,=,=,=,0,0,=,=,=,0.5,0,=,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,2,0,0,=,2,=,Texas Fertility,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
368,TRINITY INVITRO FERTILIZATION PROGRAM,,CARROLLTON,TEXAS,100%,0%,0%,0%,75%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,80%,"W. F. Howard, MD",1,0,2,1,0,0.5,=,0,0,=,1,=,0,0,=,1,=,0,0,=,,,,,,1,=,0,0,=,1,=,0,0,=,1,=,0,0,=,0,=,0.5,0,=,2,=,2,2,=,0,=,=,=,=,0,=,=,=,=,0,=,=,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,0,1,=,0,=,2,Trinity InVitro Fertilization Program,No,No,Yes,Yes,Yes,Yes,Yes,TX
369,DALLAS-FORT WORTH FERTILITY ASSOCIATES,,DALLAS,TEXAS,100%,0%,0%,0%,35%,0%,<1%,<1%,3%,6%,12%,19%,4%,2%,9%,4%,4%,18%,23%,"Samuel J. Chantilis, MD",164,91,75,33,14,44.6,29.4,26.4,7.5,7.7,58.5,46.2,44,24.2,0.142857143,51.8,38.5,32,9.1,0.142857143,(43.9Ð59.7),(28.4Ð49.2),(21.7Ð43.8),(1.9Ð24.3),,56.7,43.8,36.4,10.7,0.181818182,60.3,47.9,40,12.5,0.181818182,35.5,38.4,26.7,12.5,0.090909091,8.5,12.1,12,15.2,0.214285714,2.1,2.3,2.7,3.3,3.5,42.7,11.9,33.3,0,0.5,2.1,4.8,3,0,0,41.2,20,33.3,0,0.5,21,12,9,2,4,57.1,0.5,0.555555556,0.5,0.5,1.6,1.3,1.4,1.5,1.8,52,16,67.3,0.375,1.9,1.6,Dallas-Fort Worth Fertility Associates,Yes,Yes,No,Yes,Yes,Yes,Yes,TX
370,FERTILITY AND ADVANCED REPRODUCTIVE MEDICINE,,DALLAS,TEXAS,100%,0%,0%,0%,63%,0%,0%,0%,8%,8%,12%,31%,4%,19%,12%,0%,4%,4%,8%,"Karen Bradshaw, MD",10,2,4,2,1,0.363636364,0,0,0,0,0.2,0.5,0,0,0,0.2,0,0,0,0,,,,,,0.222222222,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,1.8,2,3,3,2,1,0,=,=,=,0,0,=,=,=,1,=,=,=,=,1,4,1,0,0,1,0,0,=,=,2,2.5,1,=,=,0,1,=,0,=,2,Fertility and Advanced Reproductive Medicine,No,No,Yes,No,Yes,No,Yes,TX
371,"FERTILITY SPECIALISTS OF DALLAS, PA",,DALLAS,TEXAS,100%,0%,0%,0%,33%,0%,2%,<1%,0%,15%,8%,17%,1%,0%,17%,<1%,8%,19%,16%,"Jerald S. Goldstein, MD",86,17,12,8,6,37.7,31.4,25,0.105263158,0,51.2,0.411764706,0.583333333,0.125,0,47.7,0.352941176,0.5,0.125,0,(36.8Ð58.7),,,,,56.9,0.428571429,0.5,0.166666667,0,57.7,0.428571429,0.5,0.166666667,0,36.6,0.214285714,0.333333333,0.166666667,0,16.3,0.176470588,0,0.25,0.333333333,2.3,2.5,3,3.2,2.8,38.6,0.285714286,0.285714286,1,=,0,0.142857143,0,0,=,36.6,0.5,0.333333333,0,=,3,2,2,0,0,0.666666667,0,1,=,=,2,1.5,1,=,=,7,1,0.571428571,1,2.3,2,"Fertility Specialists of Dallas, PA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
372,REPROMED FERTILITY CENTER,"ANIL PINTO, MD, PA",DALLAS,TEXAS,100%,0%,0%,0%,85%,0%,0%,0%,0%,18%,25%,20%,0%,0%,18%,0%,12%,2%,5%,"Anil BM Pinto, MD",22,8,2,0,1,34,0.388888889,0.25,=,0,59.1,0.625,0.5,=,0,59.1,0.625,0.5,=,0,(36.4Ð79.3),,,,,61.9,0.625,0.5,=,0,65,0.714285714,1,=,0,55,0.428571429,1,=,0,4.5,0,0,=,0,2.5,2.6,4,=,2,0.307692308,0.4,0,=,=,0,0,0,=,=,0.153846154,0.4,0,=,=,14,2,3,1,0,0.642857143,0,0.333333333,0,=,2.1,3,3.3,1,=,4,3,1,0,2.3,2.7,"ReproMed Fertility Center, Anil Pinto, MD, PA",Yes,No,Yes,Yes,Yes,Yes,Yes,TX
373,SHER INSTITUTE FOR REPRODUCTIVE MEDICINEÐDALLAS,,DALLAS,TEXAS,100%,0%,0%,0%,91%,0%,3%,30%,3%,5%,3%,20%,2%,<1%,3%,13%,5%,26%,23%,"Walid Saleh, MD",62,33,21,10,3,45.5,37.7,8.8,0.142857143,=,51.6,36.4,19,0.1,0,48.4,36.4,14.3,0.1,0,(35.5Ð61.4),(20.4Ð54.9),(3.0Ð36.3),,,49.2,37.5,0.176470588,0.1,0,61.2,50,0.2,0.25,=,40.8,20.8,0.2,0.25,=,1.6,3,19,0,0.333333333,2.1,2.2,2.3,1.8,=,25,0.5,0,0,=,9.4,0.083333333,0,0,=,33.3,0.583333333,0,0,=,16,1,7,0,2,0.1875,0,0.285714286,=,0,2.4,3,2.7,=,2,19,6,0.368421053,0.333333333,2.3,2.8,Sher Institute for Reproductive MedicineÐDallas,Yes,No,Yes,Yes,Yes,Yes,Yes,TX
374,TEXAS CENTER FOR REPRODUCTIVE HEALTH,,DALLAS,TEXAS,100%,0%,0%,0%,89%,0%,0%,4%,3%,6%,7%,9%,1%,<1%,18%,5%,2%,21%,30%,"Michael Putman, MD",40,15,10,3,4,25,34.5,25,0.125,0,45,0.6,0.7,0.333333333,0,35,0.6,0.6,0.333333333,0,(20.6Ð51.7),,,,,35,0.642857143,0.666666667,0.333333333,0,35.9,0.75,0.666666667,0.5,0,25.6,0.75,0.555555556,0.5,0,0,0.066666667,0.1,0,0,2.2,2.4,3.1,4,2.8,0.277777778,0.111111111,0.142857143,0,=,0,0,0,0,=,0.285714286,0,0.166666667,0,=,29,13,7,3,3,51.7,0.384615385,0.571428571,0.333333333,0.333333333,2.5,3.1,3.4,3,5.3,10,9,0.6,0.444444444,2,2,Texas Center for Reproductive Health,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
375,THE WOMEN'S PLACE,,DESOTO,TEXAS,100%,0%,0%,0%,29%,0%,0%,0%,0%,4%,33%,4%,0%,0%,4%,4%,0%,29%,21%,"Lisa A. King, MD",10,0,4,0,0,31.8,=,0,=,=,0.4,=,0,=,=,0.3,=,0,=,=,,,,,,0.3,=,0,=,=,0.3,=,0,=,=,0.2,=,0,=,=,0,=,0.5,=,=,2.2,=,3,=,=,0.75,=,=,=,=,0,=,=,=,=,0.333333333,=,=,=,=,4,2,1,0,0,0.25,0,0,=,=,2,2,1,=,=,1,1,0,1,2,2,The Women's Place,Yes,Yes,No,Yes,Yes,Yes,Yes,TX
376,"SOUTHWEST CENTER FOR REPRODUCTIVE HEALTH, PA",,EL PASO,TEXAS,100%,0%,0%,0%,90%,0%,0%,0%,4%,11%,5%,4%,5%,2%,11%,2%,1%,39%,20%,"Luis S. Noble, MD",41,24,13,10,0,48.8,40,14.7,18.5,=,68.3,50,0.461538462,0.3,=,61,45.8,0.230769231,0.1,=,(44.5Ð75.8),(25.6Ð67.2),,,,61,45.8,0.230769231,0.111111111,=,65.8,52.4,0.230769231,0.111111111,=,44.7,38.1,0.230769231,0.111111111,=,0,0,0,0.1,=,2.2,2.1,2.6,3,=,39.3,0.333333333,0,0,=,3.6,0.083333333,0,0.333333333,=,32,0.272727273,0,0,=,17,13,5,2,3,0.647058824,0.307692308,0.4,0.5,0,1.9,1.8,1.8,2.5,1.7,17,4,0.647058824,0.5,1.8,1.8,"Southwest Center for Reproductive Health, PA",Yes,Yes,Yes,Yes,Yes,Yes,No,TX
377,"FORT WORTH FERTILITY, PA",,FORT WORTH,TEXAS,100%,0%,0%,0%,63%,0%,0%,2%,4%,9%,9%,11%,5%,0%,24%,12%,10%,8%,13%,"Robert Kaufmann, MD",121,39,31,13,11,43.2,31.2,14.5,9.1,3.6,59.5,48.7,29,0.230769231,0.090909091,53.7,35.9,25.8,0.153846154,0,(44.4Ð62.8),(21.2Ð52.8),(11.9Ð44.6),,,55.6,37.8,29.6,0.166666667,0,58,40,32,0.2,0,40.2,25.7,28,0.1,0,3.3,5.1,12.9,0.076923077,0.090909091,2.1,2.2,2.5,3.3,3.5,31.9,0.263157895,0.111111111,0.333333333,0,4.2,0.052631579,0,0,0,30.8,0.357142857,0.125,0.5,=,15,4,2,0,0,0.466666667,0,1,=,=,1.9,1,3,=,=,15,1,0.533333333,1,2.2,2,"Fort Worth Fertility, PA",Yes,Yes,Yes,Yes,Yes,Yes,Pending,TX
378,CENTER FOR WOMEN'S MEDICINE,,HOUSTON,TEXAS,100%,0%,0%,0%,95%,0%,0%,9%,0%,4%,10%,2%,4%,<1%,14%,13%,2%,14%,37%,"Michael A. Allon, MD",91,24,23,11,2,32.6,28,27.1,13.6,0,50.5,37.5,39.1,0.090909091,0,48.4,33.3,39.1,0.090909091,0,(37.7Ð59.1),(15.6Ð55.3),(19.7Ð61.5),,,48.4,36.4,40.9,0.090909091,0,51.8,38.1,40.9,0.125,0,32.9,23.8,22.7,0,0,0,8.3,4.3,0,0,2.3,2.4,2.2,2.8,3,37,0.333333333,0.444444444,0,=,0,0.111111111,0,1,=,36.4,0.375,0.444444444,1,=,17,3,3,0,0,0.294117647,0.333333333,1,=,=,2.3,2.3,2.7,=,=,17,5,0.705882353,0.4,2.2,2.4,Center for Women's Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,TX
379,COOPER INSTITUTE FOR ADVANCED REPRODUCTIVE MEDICINE,,HOUSTON,TEXAS,100%,0%,0%,0%,85%,0%,2%,8%,0%,2%,0%,3%,2%,0%,21%,5%,0%,6%,62%,"C. James Chuong, MD",20,15,10,4,2,21,19.6,5.1,5,0,45,0.533333333,0.3,0.25,0,35,0.533333333,0.2,0.25,0,(15.4Ð59.2),,,,,0.368421053,0.533333333,0.222222222,0.25,0,0.388888889,0.571428571,0.222222222,0.25,0,0.277777778,0.428571429,0.222222222,0.25,0,5,0,0.1,0,0.5,3.4,4,4.3,5,2,0.222222222,0.125,0,0,=,0.111111111,0.125,0,0,=,0.285714286,0.25,0,0,=,2,1,0,0,0,0,1,=,=,=,4.5,4,=,=,=,6,4,0.666666667,0.5,4.7,4.5,Cooper Institute for Advanced Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Pending,TX
380,FERTILITY SPECIALISTS OF HOUSTON,,HOUSTON,TEXAS,100%,0%,0%,0%,81%,0%,<1%,6%,2%,7%,4%,8%,5%,<1%,16%,11%,2%,15%,31%,"George M. Grunert, MD",317,182,139,43,31,32.1,20.9,14.3,8.8,4.8,42.3,31.3,23,14,9.7,33.8,24.7,15.8,4.7,6.5,(28.6Ð39.3),(18.6Ð31.7),(10.2Ð23.0),(0.6Ð15.8),(0.8Ð21.4),39.1,30,19.8,6.3,8,42.8,32.8,21.6,8,8.7,26.8,25.5,11.8,8,4.3,13.6,17.6,20.1,25.6,19.4,2.2,2.3,2.6,2.7,2.7,32.1,17.5,28.1,0.166666667,0.333333333,3.7,5.3,3.1,0,0,37.4,22.2,45.5,0,0.5,75,40,34,7,5,33.3,25,14.7,0,0.4,2.1,2.2,2.1,2.1,2.4,98,25,54.1,36,2,2.1,Fertility Specialists of Houston,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
381,HOUSTON INFERTILITY CLINIC,"SONJA KRISTIANSEN, MD",HOUSTON,TEXAS,100%,0%,0%,0%,60%,0%,2%,7%,2%,9%,2%,8%,<1%,2%,44%,11%,11%,2%,11%,"Sonja B. Kristiansen, MD",49,16,27,3,2,28,32.1,22.9,0.25,0,44.9,0.375,29.6,0.333333333,0,32.7,0.375,14.8,0.333333333,0,(19.9Ð47.5),,(4.2Ð33.7),,,41,0.5,0.210526316,0.333333333,0,47.1,0.545454545,0.285714286,0.333333333,0,29.4,0.454545455,0.214285714,0,0,20.4,0.25,29.6,0,0.5,2.9,2.5,2.5,2.7,2,27.3,0.166666667,0.125,1,=,0,0.166666667,0,0,=,0.375,0.166666667,0.25,1,=,7,4,1,0,0,0.571428571,0.5,1,=,=,2.9,2,1,=,=,7,0,0.714285714,=,2.4,=,"Houston Infertility Clinic, Sonja Kristiansen, MD",Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
382,HOUSTON IVF,,HOUSTON,TEXAS,100%,0%,0%,0%,95%,0%,2%,2%,<1%,8%,7%,21%,4%,2%,11%,5%,26%,12%,4%,"Timothy N. Hickman, MD",115,91,75,29,17,43.3,28.7,20.1,9.3,1.7,67.8,48.4,44,37.9,0.117647059,58.3,37.4,37.3,17.2,0,(48.7Ð67.4),(27.4Ð48.1),(26.4Ð49.3),(5.8Ð35.8),,59.8,38.2,39.4,17.9,0,60.9,39.1,39.4,19.2,0,36.4,20.7,28.2,15.4,0,2.6,2.2,5.3,3.4,0.176470588,2.1,2.5,3.3,4.1,4.2,39.7,34.1,30.3,0.090909091,0,0,9.1,6.1,0,0,40.3,47.1,28.6,0.2,=,20,13,8,1,0,50,0.230769231,0.625,1,=,2.2,2.2,2.3,1,=,31,9,64.5,0.444444444,2,2.3,Houston IVF,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
383,"NORTH HOUSTON CENTER FOR REPRODUCTIVE MEDICINE, PA",(NHCRM),HOUSTON,TEXAS,100%,0%,0%,0%,85%,0%,2%,0%,4%,6%,6%,0%,5%,1%,9%,3%,10%,16%,44%,"Dorothy J. Roach, MD",32,10,8,7,2,67.2,0.578947368,0.294117647,0,0,87.5,0.8,0.5,0,0,81.3,0.6,0.375,0,0,(63.6Ð92.8),,,,,81.3,0.6,0.428571429,0,0,81.3,0.6,0.5,0,0,43.8,0.3,0.5,0,0,0,0,0.125,0,0,2.1,1.9,2.8,1.8,2,46.4,0.375,0.25,=,=,7.1,0,0,=,=,46.2,0.5,0,=,=,10,4,5,3,1,0.4,0.5,0.4,0.333333333,1,2,2.3,2.2,3,2,5,0,0.6,=,1.6,=,"North Houston Center for Reproductive Medicine, PA, (NHCRM)",Yes,No,Yes,Yes,Yes,Yes,Yes,TX
384,ADVANCED REPRODUCTIVE CARE CENTER OF IRVING,,IRVING,TEXAS,100%,0%,0%,0%,64%,0%,<1%,0%,4%,6%,4%,24%,3%,<1%,10%,9%,3%,20%,22%,"Sy Q. Le, MD",137,41,46,10,4,36.8,30,18.9,0.277777778,0,56.9,46.3,37,0.4,0,49.6,36.6,30.4,0.3,0,(41.0Ð58.3),(22.1Ð53.1),(17.7Ð45.8),,,50.4,37.5,34.1,0.3,0,51.9,40.5,35.9,0.375,0,32.1,35.1,28.2,0.25,0,1.5,2.4,10.9,0,0.25,2,2.2,2.4,2.3,2,34.6,0.263157895,0.117647059,0.25,=,0,0.052631579,0.058823529,0,=,38.2,0.133333333,0.214285714,0.333333333,=,46,24,17,6,1,26.1,37.5,0.529411765,0.166666667,0,1.9,1.9,2,2.5,2,29,13,55.2,0.230769231,2,2.1,Advanced Reproductive Care Center of Irving,Yes,Yes,Yes,Yes,Yes,Yes,Yes,TX
385,WILFORD HALL MEDICAL CENTER,,LACKLAND AFB,TEXAS,100%,0%,0%,0%,40%,0%,0%,0%,<1%,26%,5%,1%,4%,4%,19%,2%,3%,14%,23%,"Matthew G. Retzloff, MD",91,41,23,0,0,40.9,32.1,13.6,=,=,56,53.7,26.1,=,=,52.7,39,21.7,=,=,(42.0Ð63.3),(24.2Ð55.5),(7.5Ð43.7),,,53.3,41,21.7,=,=,53.3,42.1,22.7,=,=,28.9,28.9,13.6,=,=,1.1,4.9,0,=,=,2.1,2.2,2.7,=,=,47.1,27.3,0.333333333,=,=,3.9,0,0,=,=,45.8,0.3125,0.4,=,=,0,0,0,0,0,=,=,=,=,=,=,=,=,=,=,0,0,=,=,=,=,Wilford Hall Medical Center,No,No,No,No,Yes,Yes,Yes,TX
